year_week,count
2019_29,1
2019_31,2
2019_33,2
2019_34,1
2019_35,2
2019_36,1
2019_37,4
2019_38,2
2019_39,4
2019_40,5
2019_41,3
2019_42,4
2019_43,2
2019_44,2
2019_45,9
2019_46,2
2019_47,7
2019_48,7
2019_49,4
2019_50,7
2019_51,8
2020_00,4
2020_01,10
2020_02,11
2020_03,15
2020_04,11
2020_05,9
2020_06,7
2020_07,5
2020_08,9
2020_09,10
2020_10,15
2020_11,7
2020_12,11
2020_13,11
2020_14,7
2020_15,12
2020_16,10
2020_17,8
2020_18,8
2020_19,11
2020_20,12
2020_21,18
2020_22,9
2020_23,15
2020_24,9
2020_25,13
2020_26,10
2020_27,15
2020_28,28
2020_29,22
2020_30,14
2020_31,15
2020_32,12
2020_33,15
2020_34,14
2020_35,26
2020_36,8
2020_37,15
2020_38,17
2020_39,20
2020_40,22
2020_41,14
2020_42,16
2020_43,13
2020_44,20
2020_45,18
2020_46,19
2020_47,18
2020_48,17
2020_49,18
2020_50,26
2020_51,16
2020_52,7
2021_00,14
2021_01,11
2021_02,26
2021_03,23
2021_04,16
2021_05,19
2021_06,14
2021_07,18
2021_08,24
2021_09,32
2021_10,22
2021_11,26
2021_12,23
2021_13,23
2021_14,23
2021_15,20
2021_16,29
2021_17,20
2021_18,19
2021_19,33
2021_20,29
2021_21,17
2021_22,33
2021_23,30
2021_24,33
2021_25,18
2021_26,25
2021_27,27
2021_28,17
2021_29,25
2021_30,24
2021_31,21
2021_32,27
2021_33,30
2021_34,26
2021_35,33
2021_36,35
2021_37,34
2021_38,39
2021_39,26
2021_40,32
2021_41,26
2021_42,37
2021_43,28
2021_44,34
2021_45,36
2021_46,36
2021_47,34
2021_48,33
2021_49,24
2021_50,28
2021_51,32
2021_52,2
2022_00,32
2022_01,34
2022_02,21
2022_03,41
2022_04,31
2022_05,47
2022_06,39
2022_07,32
2022_08,29
2022_09,42
2022_10,44
2022_11,39
2022_12,30
2022_13,24
2022_14,24
2022_15,32
2022_16,30
2022_17,43
2022_18,36
2022_19,42
2022_20,40
2022_21,28
2022_22,40
2022_23,55
2022_24,31
2022_25,36
2022_26,51
2022_27,43
2022_28,42
2022_29,42
2022_30,36
2022_31,52
2022_32,31
2022_33,42
2022_34,41
2022_35,43
2022_36,51
2022_37,52
2022_38,43
2022_39,43
2022_40,52
2022_41,22
2022_42,38
2022_43,36
2022_44,54
2022_45,46
2022_46,50
2022_47,45
2022_48,64
2022_49,56
2022_50,48
2022_51,47
2022_52,26
2023_00,40
2023_01,48
2023_02,56
2023_03,44
2023_04,47
2023_05,43
2023_06,54
2023_07,64
2023_08,44
2023_09,64
2023_10,47
2023_11,64
2023_12,67
2023_13,48
2023_14,52
2023_15,54
2023_16,53
2023_17,56
2023_18,54
2023_19,67
2023_20,66
2023_21,64
2023_22,53
2023_23,54
2023_24,45
2023_25,46
2023_26,70
2023_27,59
2023_28,50
2023_29,79
2023_30,44
2023_31,49
2023_32,60
2023_33,54
2023_34,62
2023_35,58
2023_36,66
2023_37,56
2023_38,56
2023_39,58
2023_40,58
2023_41,67
2023_42,66
2023_43,69
2023_44,78
2023_45,51
2023_46,60
2023_47,76
2023_48,70
2023_49,33
