year_week,count
2019_28,2
2019_32,3
2019_37,1
2019_38,2
2019_39,7
2019_40,3
2019_41,4
2019_42,6
2019_43,3
2019_44,3
2019_45,3
2019_46,4
2019_47,8
2019_48,7
2019_49,2
2019_50,7
2019_51,7
2019_52,2
2020_00,3
2020_01,9
2020_02,13
2020_03,7
2020_04,10
2020_05,17
2020_06,5
2020_07,10
2020_08,6
2020_09,8
2020_10,11
2020_11,6
2020_12,8
2020_13,7
2020_14,11
2020_15,10
2020_16,13
2020_17,13
2020_18,7
2020_19,12
2020_20,8
2020_21,9
2020_22,11
2020_23,12
2020_24,12
2020_25,14
2020_26,19
2020_27,13
2020_28,16
2020_29,14
2020_30,14
2020_31,15
2020_32,15
2020_33,14
2020_34,16
2020_35,27
2020_36,23
2020_37,19
2020_38,13
2020_39,11
2020_40,15
2020_41,18
2020_42,16
2020_43,19
2020_44,14
2020_45,19
2020_46,14
2020_47,17
2020_48,19
2020_49,28
2020_50,16
2020_51,21
2020_52,6
2021_00,18
2021_01,16
2021_02,18
2021_03,16
2021_04,13
2021_05,23
2021_06,18
2021_07,27
2021_08,15
2021_09,29
2021_10,23
2021_11,19
2021_12,25
2021_13,22
2021_14,21
2021_15,23
2021_16,23
2021_17,24
2021_18,17
2021_19,22
2021_20,24
2021_21,27
2021_22,18
2021_23,24
2021_24,21
2021_25,22
2021_26,30
2021_27,24
2021_28,31
2021_29,27
2021_30,22
2021_31,18
2021_32,32
2021_33,32
2021_34,25
2021_35,34
2021_36,32
2021_37,22
2021_38,43
2021_39,28
2021_40,27
2021_41,34
2021_42,36
2021_43,29
2021_44,36
2021_45,35
2021_46,22
2021_47,34
2021_48,20
2021_49,42
2021_50,27
2021_51,39
2021_52,10
2022_00,32
2022_01,36
2022_02,34
2022_03,33
2022_04,36
2022_05,38
2022_06,43
2022_07,35
2022_08,26
2022_09,50
2022_10,30
2022_11,39
2022_12,32
2022_13,44
2022_14,34
2022_15,37
2022_16,35
2022_17,37
2022_18,37
2022_19,35
2022_20,41
2022_21,43
2022_22,49
2022_23,36
2022_24,45
2022_25,41
2022_26,37
2022_27,43
2022_28,41
2022_29,41
2022_30,47
2022_31,37
2022_32,52
2022_33,32
2022_34,51
2022_35,34
2022_36,47
2022_37,46
2022_38,34
2022_39,42
2022_40,38
2022_41,40
2022_42,46
2022_43,51
2022_44,50
2022_45,57
2022_46,43
2022_47,48
2022_48,51
2022_49,50
2022_50,35
2022_51,43
2022_52,19
2023_00,39
2023_01,40
2023_02,61
2023_03,49
2023_04,49
2023_05,61
2023_06,54
2023_07,48
2023_08,55
2023_09,40
2023_10,48
2023_11,49
2023_12,74
2023_13,50
2023_14,48
2023_15,60
2023_16,56
2023_17,58
2023_18,63
2023_19,56
2023_20,72
2023_21,39
2023_22,45
2023_23,55
2023_24,56
2023_25,61
2023_26,71
2023_27,63
2023_28,53
2023_29,67
2023_30,58
2023_31,53
2023_32,47
2023_33,66
2023_34,64
2023_35,54
2023_36,59
2023_37,67
2023_38,73
2023_39,59
2023_40,53
2023_41,54
2023_42,67
2023_43,55
2023_44,63
2023_45,49
2023_46,71
2023_47,59
2023_48,65
2023_49,27
