year_week,count
2019_27,1
2019_29,1
2019_30,3
2019_31,1
2019_34,2
2019_35,2
2019_38,2
2019_39,3
2019_40,1
2019_41,2
2019_42,2
2019_43,4
2019_44,2
2019_46,3
2019_47,6
2019_48,5
2019_49,2
2019_50,3
2019_51,2
2020_00,1
2020_01,3
2020_02,3
2020_03,5
2020_04,4
2020_05,3
2020_06,2
2020_07,6
2020_08,3
2020_09,6
2020_10,4
2020_11,4
2020_12,8
2020_13,3
2020_14,6
2020_15,6
2020_16,9
2020_17,4
2020_18,6
2020_19,2
2020_20,5
2020_21,8
2020_22,9
2020_23,8
2020_24,9
2020_25,5
2020_26,3
2020_27,7
2020_28,8
2020_29,3
2020_30,9
2020_31,9
2020_32,7
2020_33,8
2020_34,11
2020_35,7
2020_36,4
2020_37,5
2020_38,9
2020_39,8
2020_40,4
2020_41,5
2020_42,7
2020_43,11
2020_44,7
2020_45,6
2020_46,4
2020_47,7
2020_48,7
2020_49,9
2020_50,7
2020_51,14
2020_52,7
2021_00,4
2021_01,12
2021_02,7
2021_03,11
2021_04,10
2021_05,7
2021_06,11
2021_07,7
2021_08,17
2021_09,12
2021_10,14
2021_11,9
2021_12,6
2021_13,5
2021_14,8
2021_15,8
2021_16,8
2021_17,17
2021_18,10
2021_19,10
2021_20,4
2021_21,22
2021_22,17
2021_23,10
2021_24,15
2021_25,11
2021_26,14
2021_27,9
2021_28,8
2021_29,10
2021_30,14
2021_31,15
2021_32,12
2021_33,12
2021_34,11
2021_35,13
2021_36,16
2021_37,11
2021_38,17
2021_39,5
2021_40,14
2021_41,23
2021_42,12
2021_43,18
2021_44,10
2021_45,21
2021_46,14
2021_47,13
2021_48,21
2021_49,8
2021_50,22
2021_51,19
2021_52,3
2022_00,14
2022_01,18
2022_02,16
2022_03,21
2022_04,16
2022_05,16
2022_06,17
2022_07,16
2022_08,18
2022_09,19
2022_10,19
2022_11,16
2022_12,15
2022_13,13
2022_14,21
2022_15,20
2022_16,19
2022_17,16
2022_18,16
2022_19,16
2022_20,26
2022_21,22
2022_22,16
2022_23,23
2022_24,19
2022_25,23
2022_26,21
2022_27,21
2022_28,27
2022_29,22
2022_30,30
2022_31,21
2022_32,14
2022_33,24
2022_34,24
2022_35,25
2022_36,12
2022_37,28
2022_38,42
2022_39,15
2022_40,26
2022_41,19
2022_42,26
2022_43,24
2022_44,16
2022_45,23
2022_46,21
2022_47,22
2022_48,25
2022_49,28
2022_50,24
2022_51,18
2022_52,5
2023_00,22
2023_01,19
2023_02,21
2023_03,30
2023_04,21
2023_05,25
2023_06,19
2023_07,26
2023_08,22
2023_09,22
2023_10,29
2023_11,27
2023_12,24
2023_13,24
2023_14,24
2023_15,36
2023_16,15
2023_17,16
2023_18,24
2023_19,26
2023_20,28
2023_21,30
2023_22,27
2023_23,26
2023_24,29
2023_25,25
2023_26,18
2023_27,20
2023_28,27
2023_29,26
2023_30,36
2023_31,28
2023_32,29
2023_33,30
2023_34,36
2023_35,33
2023_36,33
2023_37,31
2023_38,30
2023_39,25
2023_40,23
2023_41,28
2023_42,22
2023_43,26
2023_44,28
2023_45,32
2023_46,24
2023_47,28
2023_48,35
2023_49,17
