year_week,count
2019_29,2
2019_31,1
2019_34,3
2019_35,2
2019_36,6
2019_37,3
2019_38,3
2019_39,5
2019_40,4
2019_41,5
2019_42,12
2019_43,6
2019_44,8
2019_45,7
2019_46,8
2019_47,8
2019_48,14
2019_49,8
2019_50,12
2019_51,11
2019_52,6
2020_00,10
2020_01,13
2020_02,11
2020_03,12
2020_04,13
2020_05,14
2020_06,22
2020_07,21
2020_08,13
2020_09,13
2020_10,22
2020_11,12
2020_12,8
2020_13,15
2020_14,17
2020_15,15
2020_16,23
2020_17,20
2020_18,17
2020_19,18
2020_20,22
2020_21,26
2020_22,15
2020_23,24
2020_24,27
2020_25,25
2020_26,31
2020_27,22
2020_28,29
2020_29,15
2020_30,20
2020_31,20
2020_32,24
2020_33,21
2020_34,21
2020_35,29
2020_36,20
2020_37,30
2020_38,31
2020_39,29
2020_40,33
2020_41,20
2020_42,33
2020_43,27
2020_44,19
2020_45,31
2020_46,25
2020_47,38
2020_48,26
2020_49,28
2020_50,27
2020_51,26
2020_52,16
2021_00,18
2021_01,27
2021_02,30
2021_03,30
2021_04,37
2021_05,19
2021_06,24
2021_07,29
2021_08,29
2021_09,35
2021_10,42
2021_11,27
2021_12,29
2021_13,34
2021_14,33
2021_15,40
2021_16,39
2021_17,34
2021_18,42
2021_19,42
2021_20,33
2021_21,29
2021_22,29
2021_23,56
2021_24,35
2021_25,36
2021_26,37
2021_27,46
2021_28,40
2021_29,35
2021_30,50
2021_31,42
2021_32,46
2021_33,59
2021_34,51
2021_35,48
2021_36,44
2021_37,41
2021_38,50
2021_39,56
2021_40,51
2021_41,42
2021_42,47
2021_43,34
2021_44,39
2021_45,58
2021_46,56
2021_47,52
2021_48,47
2021_49,63
2021_50,57
2021_51,71
2021_52,13
2022_00,51
2022_01,50
2022_02,63
2022_03,57
2022_04,54
2022_05,62
2022_06,51
2022_07,61
2022_08,48
2022_09,54
2022_10,71
2022_11,75
2022_12,60
2022_13,67
2022_14,49
2022_15,57
2022_16,53
2022_17,55
2022_18,68
2022_19,62
2022_20,71
2022_21,62
2022_22,57
2022_23,62
2022_24,67
2022_25,81
2022_26,86
2022_27,72
2022_28,54
2022_29,69
2022_30,66
2022_31,77
2022_32,76
2022_33,86
2022_34,77
2022_35,60
2022_36,63
2022_37,64
2022_38,62
2022_39,85
2022_40,82
2022_41,71
2022_42,75
2022_43,89
2022_44,87
2022_45,74
2022_46,75
2022_47,76
2022_48,83
2022_49,66
2022_50,83
2022_51,78
2022_52,35
2023_00,43
2023_01,77
2023_02,82
2023_03,88
2023_04,114
2023_05,83
2023_06,90
2023_07,91
2023_08,81
2023_09,95
2023_10,89
2023_11,87
2023_12,97
2023_13,71
2023_14,92
2023_15,107
2023_16,78
2023_17,82
2023_18,76
2023_19,87
2023_20,90
2023_21,110
2023_22,97
2023_23,87
2023_24,99
2023_25,82
2023_26,78
2023_27,91
2023_28,95
2023_29,106
2023_30,86
2023_31,77
2023_32,89
2023_33,106
2023_34,86
2023_35,92
2023_36,106
2023_37,88
2023_38,91
2023_39,97
2023_40,96
2023_41,113
2023_42,95
2023_43,95
2023_44,89
2023_45,115
2023_46,109
2023_47,93
2023_48,97
2023_49,42
