year_week,count
2019_30,4
2019_31,1
2019_33,6
2019_34,2
2019_35,1
2019_36,7
2019_37,3
2019_38,8
2019_39,3
2019_40,8
2019_41,10
2019_42,5
2019_43,5
2019_44,7
2019_45,7
2019_46,8
2019_47,7
2019_48,8
2019_49,7
2019_50,13
2019_51,18
2020_00,7
2020_01,15
2020_02,16
2020_03,14
2020_04,11
2020_05,12
2020_06,6
2020_07,9
2020_08,11
2020_09,16
2020_10,10
2020_11,15
2020_12,12
2020_13,8
2020_14,13
2020_15,11
2020_16,12
2020_17,22
2020_18,18
2020_19,12
2020_20,20
2020_21,23
2020_22,21
2020_23,15
2020_24,29
2020_25,17
2020_26,18
2020_27,16
2020_28,25
2020_29,28
2020_30,29
2020_31,22
2020_32,17
2020_33,26
2020_34,25
2020_35,29
2020_36,24
2020_37,18
2020_38,25
2020_39,18
2020_40,22
2020_41,16
2020_42,23
2020_43,28
2020_44,26
2020_45,30
2020_46,38
2020_47,30
2020_48,30
2020_49,30
2020_50,26
2020_51,33
2020_52,11
2021_00,25
2021_01,32
2021_02,31
2021_03,32
2021_04,19
2021_05,33
2021_06,35
2021_07,35
2021_08,32
2021_09,40
2021_10,43
2021_11,40
2021_12,26
2021_13,26
2021_14,40
2021_15,37
2021_16,24
2021_17,32
2021_18,40
2021_19,40
2021_20,29
2021_21,36
2021_22,41
2021_23,33
2021_24,33
2021_25,40
2021_26,34
2021_27,32
2021_28,38
2021_29,37
2021_30,40
2021_31,37
2021_32,45
2021_33,45
2021_34,40
2021_35,49
2021_36,50
2021_37,48
2021_38,35
2021_39,52
2021_40,34
2021_41,43
2021_42,56
2021_43,49
2021_44,43
2021_45,49
2021_46,47
2021_47,55
2021_48,50
2021_49,50
2021_50,40
2021_51,47
2021_52,7
2022_00,44
2022_01,47
2022_02,60
2022_03,56
2022_04,53
2022_05,52
2022_06,55
2022_07,51
2022_08,76
2022_09,52
2022_10,55
2022_11,51
2022_12,66
2022_13,62
2022_14,55
2022_15,60
2022_16,57
2022_17,58
2022_18,61
2022_19,67
2022_20,66
2022_21,74
2022_22,61
2022_23,82
2022_24,54
2022_25,63
2022_26,65
2022_27,76
2022_28,60
2022_29,61
2022_30,72
2022_31,70
2022_32,74
2022_33,59
2022_34,75
2022_35,68
2022_36,53
2022_37,63
2022_38,55
2022_39,47
2022_40,63
2022_41,63
2022_42,78
2022_43,73
2022_44,69
2022_45,68
2022_46,72
2022_47,73
2022_48,68
2022_49,74
2022_50,67
2022_51,64
2022_52,27
2023_00,48
2023_01,73
2023_02,76
2023_03,67
2023_04,70
2023_05,77
2023_06,66
2023_07,86
2023_08,101
2023_09,88
2023_10,84
2023_11,71
2023_12,92
2023_13,99
2023_14,76
2023_15,87
2023_16,94
2023_17,72
2023_18,73
2023_19,75
2023_20,83
2023_21,89
2023_22,92
2023_23,78
2023_24,80
2023_25,79
2023_26,81
2023_27,93
2023_28,102
2023_29,77
2023_30,112
2023_31,91
2023_32,80
2023_33,82
2023_34,97
2023_35,88
2023_36,104
2023_37,75
2023_38,94
2023_39,115
2023_40,89
2023_41,75
2023_42,113
2023_43,81
2023_44,91
2023_45,87
2023_46,97
2023_47,95
2023_48,103
2023_49,35
