year_week,count
2019_30,1
2019_33,1
2019_35,1
2019_37,1
2019_38,1
2019_39,1
2019_41,6
2019_43,1
2019_44,1
2019_45,2
2019_46,1
2019_47,3
2019_48,1
2019_49,3
2019_50,2
2019_51,4
2020_00,1
2020_01,2
2020_03,1
2020_04,3
2020_06,4
2020_07,2
2020_08,1
2020_09,2
2020_10,2
2020_11,3
2020_12,2
2020_13,3
2020_15,3
2020_16,2
2020_17,2
2020_18,2
2020_19,2
2020_20,4
2020_21,4
2020_22,5
2020_23,6
2020_24,5
2020_25,2
2020_26,4
2020_27,2
2020_28,4
2020_29,3
2020_30,1
2020_31,1
2020_32,2
2020_33,4
2020_34,3
2020_35,3
2020_36,2
2020_37,4
2020_38,3
2020_39,4
2020_40,5
2020_41,1
2020_42,4
2020_43,5
2020_44,2
2020_45,6
2020_46,2
2020_47,4
2020_48,4
2020_49,4
2020_50,3
2020_51,5
2020_52,4
2021_00,5
2021_01,7
2021_02,5
2021_03,8
2021_04,4
2021_05,5
2021_06,2
2021_07,1
2021_08,4
2021_09,5
2021_10,3
2021_11,4
2021_12,9
2021_13,5
2021_14,5
2021_15,4
2021_16,6
2021_17,8
2021_18,11
2021_19,8
2021_20,7
2021_21,5
2021_22,6
2021_23,4
2021_24,6
2021_25,12
2021_26,3
2021_27,8
2021_28,7
2021_29,3
2021_30,6
2021_31,11
2021_32,10
2021_33,8
2021_34,11
2021_35,15
2021_36,7
2021_37,11
2021_38,4
2021_39,8
2021_40,6
2021_41,11
2021_42,6
2021_43,6
2021_44,4
2021_45,2
2021_46,3
2021_47,8
2021_48,11
2021_49,11
2021_50,12
2021_51,6
2021_52,5
2022_00,5
2022_01,7
2022_02,12
2022_03,11
2022_04,9
2022_05,11
2022_06,11
2022_07,11
2022_08,6
2022_09,14
2022_10,9
2022_11,9
2022_12,12
2022_13,13
2022_14,7
2022_15,6
2022_16,11
2022_17,9
2022_18,15
2022_19,12
2022_20,14
2022_21,13
2022_22,12
2022_23,12
2022_24,10
2022_25,9
2022_26,13
2022_27,14
2022_28,8
2022_29,12
2022_30,12
2022_31,8
2022_32,11
2022_33,13
2022_34,11
2022_35,13
2022_36,10
2022_37,8
2022_38,8
2022_39,9
2022_40,12
2022_41,25
2022_42,13
2022_43,9
2022_44,10
2022_45,13
2022_46,14
2022_47,14
2022_48,11
2022_49,19
2022_50,13
2022_51,10
2022_52,4
2023_00,9
2023_01,19
2023_02,17
2023_03,9
2023_04,23
2023_05,17
2023_06,13
2023_07,17
2023_08,9
2023_09,20
2023_10,11
2023_11,15
2023_12,12
2023_13,16
2023_14,15
2023_15,18
2023_16,9
2023_17,12
2023_18,17
2023_19,11
2023_20,15
2023_21,17
2023_22,12
2023_23,10
2023_24,20
2023_25,18
2023_26,13
2023_27,20
2023_28,12
2023_29,15
2023_30,18
2023_31,10
2023_32,8
2023_33,21
2023_34,17
2023_35,18
2023_36,24
2023_37,21
2023_38,14
2023_39,22
2023_40,9
2023_41,18
2023_42,20
2023_43,14
2023_44,23
2023_45,8
2023_46,18
2023_47,22
2023_48,19
2023_49,13
