year_week,count
2019_40,1
2019_42,1
2019_43,1
2019_46,1
2020_01,1
2020_06,1
2020_09,1
2020_10,1
2020_12,2
2020_13,1
2020_14,1
2020_15,1
2020_18,2
2020_20,1
2020_21,1
2020_22,1
2020_24,1
2020_29,1
2020_30,1
2020_32,3
2020_33,4
2020_35,1
2020_37,2
2020_39,1
2020_40,1
2020_43,1
2020_46,2
2020_47,2
2020_48,2
2020_49,3
2020_51,2
2020_52,1
2021_00,1
2021_01,1
2021_03,1
2021_08,1
2021_09,1
2021_10,3
2021_11,1
2021_12,1
2021_13,2
2021_15,3
2021_16,3
2021_17,1
2021_18,1
2021_19,1
2021_20,1
2021_21,2
2021_22,3
2021_23,1
2021_24,2
2021_25,1
2021_26,1
2021_27,2
2021_28,2
2021_29,1
2021_30,1
2021_31,5
2021_34,2
2021_35,2
2021_36,1
2021_39,3
2021_40,3
2021_41,1
2021_42,2
2021_43,2
2021_44,3
2021_45,3
2021_46,4
2021_47,2
2021_48,1
2021_49,3
2021_50,2
2021_51,1
2021_52,1
2022_00,4
2022_01,5
2022_02,1
2022_03,1
2022_04,3
2022_05,1
2022_06,3
2022_07,4
2022_08,1
2022_10,4
2022_11,1
2022_12,4
2022_13,2
2022_15,5
2022_16,1
2022_17,3
2022_18,2
2022_19,2
2022_20,4
2022_21,1
2022_22,5
2022_23,1
2022_24,1
2022_25,6
2022_26,4
2022_27,1
2022_28,2
2022_29,4
2022_30,3
2022_31,4
2022_32,4
2022_33,1
2022_34,4
2022_35,4
2022_36,1
2022_37,2
2022_38,4
2022_39,1
2022_40,4
2022_41,3
2022_42,1
2022_43,3
2022_44,6
2022_45,2
2022_46,4
2022_47,2
2022_48,4
2022_49,2
2022_50,1
2022_51,4
2022_52,1
2023_00,7
2023_01,5
2023_02,2
2023_03,1
2023_04,2
2023_05,2
2023_06,3
2023_07,5
2023_08,2
2023_09,3
2023_10,3
2023_11,4
2023_12,4
2023_13,3
2023_14,2
2023_15,3
2023_16,4
2023_17,4
2023_18,3
2023_19,5
2023_20,7
2023_21,1
2023_22,5
2023_23,3
2023_24,2
2023_25,2
2023_26,3
2023_27,5
2023_28,3
2023_29,6
2023_30,6
2023_31,6
2023_32,5
2023_33,3
2023_34,3
2023_35,3
2023_36,3
2023_37,5
2023_38,6
2023_39,4
2023_40,4
2023_41,3
2023_42,4
2023_43,8
2023_44,5
2023_45,2
2023_46,11
2023_47,5
2023_48,1
2023_49,1
