year_week,count
2019_29,1
2019_30,2
2019_31,1
2019_32,6
2019_33,6
2019_34,1
2019_35,4
2019_36,9
2019_37,4
2019_38,11
2019_39,13
2019_40,8
2019_41,9
2019_42,6
2019_43,9
2019_44,11
2019_45,19
2019_46,6
2019_47,19
2019_48,9
2019_49,8
2019_50,11
2019_51,17
2019_52,4
2020_00,15
2020_01,13
2020_02,17
2020_03,11
2020_04,18
2020_05,8
2020_06,13
2020_07,15
2020_08,20
2020_09,19
2020_10,15
2020_11,18
2020_12,32
2020_13,33
2020_14,30
2020_15,19
2020_16,21
2020_17,18
2020_18,27
2020_19,25
2020_20,27
2020_21,21
2020_22,29
2020_23,25
2020_24,30
2020_25,26
2020_26,28
2020_27,31
2020_28,20
2020_29,33
2020_30,27
2020_31,23
2020_32,39
2020_33,40
2020_34,37
2020_35,33
2020_36,26
2020_37,41
2020_38,28
2020_39,37
2020_40,24
2020_41,46
2020_42,32
2020_43,34
2020_44,35
2020_45,36
2020_46,37
2020_47,52
2020_48,36
2020_49,37
2020_50,36
2020_51,50
2020_52,16
2021_00,40
2021_01,37
2021_02,45
2021_03,33
2021_04,42
2021_05,45
2021_06,44
2021_07,36
2021_08,43
2021_09,36
2021_10,41
2021_11,54
2021_12,46
2021_13,37
2021_14,41
2021_15,44
2021_16,49
2021_17,45
2021_18,39
2021_19,52
2021_20,61
2021_21,59
2021_22,54
2021_23,52
2021_24,46
2021_25,52
2021_26,64
2021_27,42
2021_28,61
2021_29,43
2021_30,43
2021_31,51
2021_32,61
2021_33,50
2021_34,57
2021_35,62
2021_36,63
2021_37,61
2021_38,72
2021_39,48
2021_40,65
2021_41,68
2021_42,55
2021_43,58
2021_44,60
2021_45,72
2021_46,86
2021_47,72
2021_48,71
2021_49,59
2021_50,63
2021_51,64
2021_52,11
2022_00,60
2022_01,78
2022_02,73
2022_03,73
2022_04,86
2022_05,63
2022_06,56
2022_07,77
2022_08,73
2022_09,89
2022_10,84
2022_11,89
2022_12,81
2022_13,69
2022_14,70
2022_15,69
2022_16,81
2022_17,91
2022_18,85
2022_19,80
2022_20,101
2022_21,77
2022_22,83
2022_23,105
2022_24,96
2022_25,91
2022_26,94
2022_27,95
2022_28,103
2022_29,90
2022_30,70
2022_31,98
2022_32,91
2022_33,86
2022_34,97
2022_35,91
2022_36,82
2022_37,90
2022_38,94
2022_39,93
2022_40,105
2022_41,95
2022_42,106
2022_43,107
2022_44,110
2022_45,102
2022_46,84
2022_47,101
2022_48,93
2022_49,95
2022_50,107
2022_51,100
2022_52,34
2023_00,83
2023_01,115
2023_02,109
2023_03,104
2023_04,99
2023_05,91
2023_06,116
2023_07,105
2023_08,119
2023_09,117
2023_10,136
2023_11,100
2023_12,112
2023_13,110
2023_14,105
2023_15,108
2023_16,107
2023_17,94
2023_18,83
2023_19,113
2023_20,106
2023_21,126
2023_22,123
2023_23,129
2023_24,127
2023_25,125
2023_26,133
2023_27,140
2023_28,126
2023_29,130
2023_30,130
2023_31,142
2023_32,104
2023_33,125
2023_34,117
2023_35,119
2023_36,117
2023_37,138
2023_38,115
2023_39,124
2023_40,138
2023_41,140
2023_42,136
2023_43,116
2023_44,147
2023_45,125
2023_46,129
2023_47,152
2023_48,133
2023_49,50
