year_week,count
2019_31,1
2019_32,1
2019_33,2
2019_35,1
2019_37,2
2019_39,2
2019_40,3
2019_41,2
2019_42,2
2019_43,3
2019_44,6
2019_45,2
2019_46,4
2019_47,1
2019_48,3
2019_49,2
2019_50,4
2019_51,3
2019_52,1
2020_00,1
2020_01,7
2020_02,9
2020_03,3
2020_04,4
2020_05,5
2020_06,6
2020_07,7
2020_08,3
2020_09,8
2020_10,6
2020_11,3
2020_12,4
2020_13,10
2020_14,8
2020_15,6
2020_16,1
2020_17,8
2020_18,7
2020_19,6
2020_20,10
2020_21,10
2020_22,6
2020_23,7
2020_24,7
2020_25,9
2020_26,7
2020_27,9
2020_28,13
2020_29,4
2020_30,5
2020_31,11
2020_32,2
2020_33,8
2020_34,5
2020_35,7
2020_36,7
2020_37,12
2020_38,18
2020_39,10
2020_40,8
2020_41,10
2020_42,12
2020_43,6
2020_44,8
2020_45,7
2020_46,11
2020_47,9
2020_48,13
2020_49,10
2020_50,7
2020_51,17
2020_52,5
2021_00,13
2021_01,13
2021_02,15
2021_03,9
2021_04,19
2021_05,18
2021_06,13
2021_07,10
2021_08,5
2021_09,15
2021_10,16
2021_11,18
2021_12,15
2021_13,16
2021_14,22
2021_15,12
2021_16,16
2021_17,13
2021_18,10
2021_19,10
2021_20,12
2021_21,11
2021_22,12
2021_23,11
2021_24,18
2021_25,17
2021_26,17
2021_27,20
2021_28,17
2021_29,15
2021_30,18
2021_31,15
2021_32,23
2021_33,12
2021_34,23
2021_35,20
2021_36,19
2021_37,18
2021_38,22
2021_39,22
2021_40,12
2021_41,24
2021_42,13
2021_43,19
2021_44,18
2021_45,19
2021_46,18
2021_47,16
2021_48,26
2021_49,22
2021_50,23
2021_51,33
2021_52,1
2022_00,19
2022_01,23
2022_02,19
2022_03,17
2022_04,25
2022_05,24
2022_06,31
2022_07,17
2022_08,17
2022_09,20
2022_10,22
2022_11,24
2022_12,22
2022_13,27
2022_14,18
2022_15,13
2022_16,18
2022_17,19
2022_18,16
2022_19,24
2022_20,41
2022_21,32
2022_22,29
2022_23,22
2022_24,22
2022_25,20
2022_26,20
2022_27,27
2022_28,20
2022_29,20
2022_30,24
2022_31,34
2022_32,25
2022_33,27
2022_34,20
2022_35,30
2022_36,22
2022_37,30
2022_38,23
2022_39,24
2022_40,27
2022_41,35
2022_42,25
2022_43,19
2022_44,18
2022_45,38
2022_46,39
2022_47,31
2022_48,34
2022_49,26
2022_50,25
2022_51,40
2022_52,9
2023_00,23
2023_01,29
2023_02,25
2023_03,37
2023_04,36
2023_05,33
2023_06,33
2023_07,33
2023_08,33
2023_09,44
2023_10,36
2023_11,23
2023_12,30
2023_13,22
2023_14,46
2023_15,24
2023_16,27
2023_17,32
2023_18,29
2023_19,31
2023_20,29
2023_21,36
2023_22,32
2023_23,51
2023_24,37
2023_25,37
2023_26,33
2023_27,38
2023_28,27
2023_29,26
2023_30,44
2023_31,46
2023_32,36
2023_33,37
2023_34,36
2023_35,32
2023_36,34
2023_37,35
2023_38,42
2023_39,32
2023_40,24
2023_41,48
2023_42,37
2023_43,40
2023_44,30
2023_45,34
2023_46,40
2023_47,36
2023_48,35
2023_49,29
