year_week,count
2019_29,1
2019_31,1
2019_32,1
2019_34,1
2019_36,1
2019_37,2
2019_41,2
2019_42,1
2019_43,1
2019_44,1
2019_47,1
2019_50,1
2019_51,2
2020_01,1
2020_02,1
2020_03,1
2020_04,3
2020_06,1
2020_08,1
2020_09,3
2020_10,2
2020_11,1
2020_12,3
2020_13,1
2020_14,3
2020_15,2
2020_16,4
2020_17,5
2020_19,1
2020_20,2
2020_21,2
2020_22,5
2020_23,2
2020_24,3
2020_25,3
2020_26,1
2020_27,3
2020_28,6
2020_30,2
2020_31,3
2020_32,5
2020_33,4
2020_34,1
2020_35,3
2020_36,3
2020_38,7
2020_39,3
2020_40,5
2020_42,3
2020_43,9
2020_44,3
2020_45,3
2020_46,5
2020_47,6
2020_48,4
2020_49,5
2020_51,2
2020_52,1
2021_00,4
2021_01,4
2021_02,2
2021_03,5
2021_04,4
2021_05,4
2021_06,2
2021_07,1
2021_08,6
2021_09,3
2021_10,5
2021_11,7
2021_12,3
2021_13,4
2021_14,11
2021_15,9
2021_16,2
2021_17,6
2021_18,7
2021_19,9
2021_20,5
2021_21,6
2021_22,8
2021_23,6
2021_24,9
2021_25,5
2021_26,7
2021_27,3
2021_28,5
2021_29,8
2021_30,6
2021_31,5
2021_32,9
2021_33,8
2021_34,5
2021_35,4
2021_36,1
2021_37,5
2021_38,6
2021_39,8
2021_40,6
2021_41,2
2021_42,8
2021_43,4
2021_44,4
2021_45,7
2021_46,4
2021_47,4
2021_48,6
2021_49,5
2021_50,3
2021_51,13
2021_52,4
2022_00,6
2022_01,2
2022_02,7
2022_03,13
2022_04,9
2022_05,4
2022_06,9
2022_07,12
2022_08,6
2022_09,6
2022_10,9
2022_11,13
2022_12,11
2022_13,10
2022_14,5
2022_15,10
2022_16,6
2022_17,11
2022_18,5
2022_19,8
2022_20,12
2022_21,12
2022_22,5
2022_23,8
2022_24,7
2022_25,8
2022_26,6
2022_27,3
2022_28,10
2022_29,7
2022_30,9
2022_31,11
2022_32,8
2022_33,7
2022_34,4
2022_35,10
2022_36,12
2022_37,12
2022_38,9
2022_39,7
2022_40,6
2022_41,8
2022_42,4
2022_43,14
2022_44,11
2022_45,9
2022_46,11
2022_47,9
2022_48,11
2022_49,10
2022_50,6
2022_51,10
2022_52,4
2023_00,11
2023_01,9
2023_02,14
2023_03,7
2023_04,14
2023_05,9
2023_06,8
2023_07,16
2023_08,12
2023_09,10
2023_10,9
2023_11,9
2023_12,11
2023_13,7
2023_14,8
2023_15,5
2023_16,9
2023_17,14
2023_18,8
2023_19,10
2023_20,9
2023_21,10
2023_22,14
2023_23,16
2023_24,13
2023_25,13
2023_26,13
2023_27,9
2023_28,14
2023_29,13
2023_30,15
2023_31,19
2023_32,4
2023_33,14
2023_34,16
2023_35,8
2023_36,16
2023_37,8
2023_38,17
2023_39,12
2023_40,10
2023_41,9
2023_42,12
2023_43,12
2023_44,9
2023_45,7
2023_46,15
2023_47,11
2023_48,9
2023_49,6
