year_week,count
2019_32,1
2019_33,1
2019_34,2
2019_35,1
2019_36,1
2019_38,1
2019_39,1
2019_41,1
2019_42,1
2019_43,1
2019_45,1
2019_47,1
2019_48,1
2019_49,1
2019_50,2
2019_51,1
2019_52,1
2020_00,2
2020_01,1
2020_03,1
2020_04,1
2020_05,1
2020_06,2
2020_09,1
2020_10,3
2020_11,3
2020_12,1
2020_13,8
2020_14,6
2020_15,3
2020_17,4
2020_18,1
2020_19,4
2020_20,3
2020_21,6
2020_22,1
2020_23,6
2020_24,5
2020_25,6
2020_26,4
2020_27,1
2020_28,3
2020_29,1
2020_31,5
2020_32,4
2020_33,4
2020_34,3
2020_35,11
2020_36,3
2020_37,2
2020_38,3
2020_39,3
2020_40,6
2020_41,8
2020_42,5
2020_43,6
2020_44,2
2020_45,5
2020_46,3
2020_47,6
2020_48,5
2020_49,5
2020_50,8
2020_51,7
2021_00,1
2021_01,6
2021_02,8
2021_03,7
2021_04,5
2021_05,4
2021_06,4
2021_07,7
2021_08,5
2021_09,7
2021_10,4
2021_11,4
2021_12,3
2021_13,6
2021_14,10
2021_15,2
2021_16,8
2021_17,2
2021_18,6
2021_19,7
2021_20,6
2021_21,14
2021_22,5
2021_23,5
2021_24,7
2021_25,5
2021_26,4
2021_27,4
2021_28,5
2021_29,6
2021_30,4
2021_31,6
2021_32,8
2021_33,8
2021_34,6
2021_35,8
2021_36,9
2021_37,8
2021_38,9
2021_39,8
2021_40,4
2021_41,9
2021_42,3
2021_43,11
2021_44,9
2021_45,9
2021_46,12
2021_47,11
2021_48,10
2021_49,9
2021_50,16
2021_51,5
2021_52,2
2022_00,10
2022_01,14
2022_02,6
2022_03,17
2022_04,8
2022_05,5
2022_06,7
2022_07,15
2022_08,16
2022_09,10
2022_10,13
2022_11,9
2022_12,12
2022_13,15
2022_14,11
2022_15,10
2022_16,7
2022_17,13
2022_18,12
2022_19,6
2022_20,10
2022_21,14
2022_22,16
2022_23,10
2022_24,9
2022_25,5
2022_26,14
2022_27,14
2022_28,9
2022_29,9
2022_30,10
2022_31,14
2022_32,13
2022_33,12
2022_34,15
2022_35,14
2022_36,16
2022_37,7
2022_38,15
2022_39,14
2022_40,11
2022_41,17
2022_42,13
2022_43,7
2022_44,12
2022_45,20
2022_46,12
2022_47,11
2022_48,13
2022_49,13
2022_50,16
2022_51,11
2022_52,2
2023_00,6
2023_01,12
2023_02,10
2023_03,19
2023_04,15
2023_05,12
2023_06,10
2023_07,9
2023_08,16
2023_09,17
2023_10,15
2023_11,12
2023_12,12
2023_13,19
2023_14,7
2023_15,9
2023_16,9
2023_17,20
2023_18,14
2023_19,18
2023_20,15
2023_21,17
2023_22,16
2023_23,18
2023_24,9
2023_25,19
2023_26,15
2023_27,21
2023_28,18
2023_29,11
2023_30,30
2023_31,22
2023_32,12
2023_33,25
2023_34,18
2023_35,15
2023_36,11
2023_37,14
2023_38,22
2023_39,21
2023_40,17
2023_41,13
2023_42,24
2023_43,20
2023_44,16
2023_45,21
2023_46,14
2023_47,14
2023_48,19
2023_49,11
