year_week,count
2019_37,1
2019_38,1
2019_43,1
2019_45,3
2019_48,2
2019_50,1
2020_00,2
2020_01,1
2020_04,1
2020_06,2
2020_07,1
2020_08,1
2020_10,3
2020_11,2
2020_12,2
2020_13,4
2020_15,1
2020_16,1
2020_17,1
2020_18,2
2020_19,3
2020_20,2
2020_22,2
2020_23,1
2020_24,2
2020_26,2
2020_27,2
2020_28,1
2020_29,1
2020_30,3
2020_31,1
2020_32,5
2020_33,4
2020_34,4
2020_35,5
2020_36,1
2020_37,3
2020_38,3
2020_39,2
2020_40,4
2020_41,4
2020_42,1
2020_43,5
2020_45,4
2020_47,2
2020_48,2
2020_50,4
2020_51,4
2020_52,1
2021_00,3
2021_01,2
2021_02,2
2021_03,4
2021_04,6
2021_05,5
2021_06,1
2021_07,2
2021_08,2
2021_09,5
2021_10,6
2021_11,2
2021_12,3
2021_13,6
2021_14,2
2021_15,3
2021_16,2
2021_17,2
2021_18,2
2021_19,3
2021_20,3
2021_21,1
2021_22,4
2021_23,3
2021_24,4
2021_25,3
2021_26,3
2021_27,4
2021_28,2
2021_29,2
2021_30,2
2021_31,1
2021_32,5
2021_33,3
2021_34,4
2021_35,7
2021_36,4
2021_37,3
2021_38,4
2021_39,2
2021_40,5
2021_41,4
2021_42,1
2021_43,9
2021_44,3
2021_45,5
2021_46,5
2021_47,7
2021_48,4
2021_49,2
2021_50,4
2021_51,7
2022_00,4
2022_01,5
2022_02,6
2022_03,6
2022_04,3
2022_05,4
2022_06,3
2022_07,8
2022_08,6
2022_09,7
2022_10,5
2022_11,8
2022_12,9
2022_13,5
2022_14,1
2022_15,2
2022_16,2
2022_17,3
2022_18,4
2022_19,6
2022_20,6
2022_21,3
2022_22,7
2022_23,3
2022_24,6
2022_25,4
2022_26,10
2022_27,5
2022_28,6
2022_29,1
2022_30,5
2022_31,9
2022_32,7
2022_33,2
2022_34,8
2022_35,8
2022_36,3
2022_37,4
2022_38,8
2022_39,6
2022_40,10
2022_41,8
2022_42,6
2022_43,8
2022_44,10
2022_45,5
2022_46,8
2022_47,12
2022_48,7
2022_49,7
2022_50,5
2022_51,8
2023_00,6
2023_01,10
2023_02,6
2023_03,2
2023_04,9
2023_05,12
2023_06,13
2023_07,7
2023_08,8
2023_09,3
2023_10,3
2023_11,8
2023_12,9
2023_13,9
2023_14,9
2023_15,10
2023_16,12
2023_17,5
2023_18,8
2023_19,11
2023_20,10
2023_21,10
2023_22,7
2023_23,8
2023_24,7
2023_25,2
2023_26,6
2023_27,9
2023_28,10
2023_29,8
2023_30,11
2023_31,12
2023_32,14
2023_33,16
2023_34,7
2023_35,10
2023_36,5
2023_37,8
2023_38,10
2023_39,8
2023_40,6
2023_41,12
2023_42,9
2023_43,5
2023_44,5
2023_45,7
2023_46,12
2023_47,7
2023_48,7
2023_49,6
