year_week,count
2019_32,1
2019_37,1
2019_38,1
2019_39,3
2019_40,3
2019_41,1
2019_42,2
2019_43,1
2019_44,1
2019_45,3
2019_46,1
2019_47,2
2019_49,2
2019_50,1
2019_51,4
2019_52,2
2020_00,4
2020_01,2
2020_02,3
2020_03,4
2020_04,4
2020_05,2
2020_06,6
2020_07,5
2020_08,5
2020_09,5
2020_10,4
2020_11,3
2020_12,3
2020_13,5
2020_14,3
2020_15,2
2020_16,4
2020_17,4
2020_18,5
2020_19,2
2020_20,2
2020_21,5
2020_22,7
2020_23,4
2020_24,9
2020_25,8
2020_26,2
2020_27,4
2020_28,5
2020_29,6
2020_30,7
2020_31,3
2020_32,8
2020_33,7
2020_34,2
2020_35,5
2020_36,4
2020_37,1
2020_38,7
2020_39,7
2020_40,2
2020_41,6
2020_42,8
2020_43,4
2020_44,7
2020_45,8
2020_46,4
2020_47,8
2020_48,5
2020_49,11
2020_50,4
2020_51,5
2020_52,3
2021_00,9
2021_01,3
2021_02,7
2021_03,9
2021_04,5
2021_05,7
2021_06,1
2021_07,6
2021_08,10
2021_09,4
2021_10,13
2021_11,12
2021_12,6
2021_13,7
2021_14,8
2021_15,8
2021_16,9
2021_17,9
2021_18,10
2021_19,6
2021_20,4
2021_21,4
2021_22,7
2021_23,10
2021_24,7
2021_25,10
2021_26,12
2021_27,8
2021_28,8
2021_29,7
2021_30,12
2021_31,13
2021_32,9
2021_33,14
2021_34,7
2021_35,10
2021_36,10
2021_37,9
2021_38,10
2021_39,15
2021_40,9
2021_41,7
2021_42,9
2021_43,7
2021_44,11
2021_45,15
2021_46,9
2021_47,12
2021_48,20
2021_49,9
2021_50,18
2021_51,12
2022_00,15
2022_01,8
2022_02,6
2022_03,8
2022_04,11
2022_05,7
2022_06,10
2022_07,11
2022_08,10
2022_09,12
2022_10,10
2022_11,11
2022_12,11
2022_13,12
2022_14,14
2022_15,5
2022_16,16
2022_17,18
2022_18,13
2022_19,15
2022_20,11
2022_21,16
2022_22,17
2022_23,11
2022_24,18
2022_25,18
2022_26,13
2022_27,17
2022_28,13
2022_29,19
2022_30,14
2022_31,17
2022_32,16
2022_33,12
2022_34,12
2022_35,12
2022_36,10
2022_37,12
2022_38,13
2022_39,16
2022_40,20
2022_41,15
2022_42,19
2022_43,16
2022_44,14
2022_45,9
2022_46,19
2022_47,14
2022_48,14
2022_49,21
2022_50,12
2022_51,17
2022_52,5
2023_00,9
2023_01,9
2023_02,18
2023_03,15
2023_04,15
2023_05,12
2023_06,9
2023_07,20
2023_08,26
2023_09,16
2023_10,18
2023_11,26
2023_12,20
2023_13,23
2023_14,16
2023_15,19
2023_16,17
2023_17,18
2023_18,16
2023_19,24
2023_20,13
2023_21,20
2023_22,18
2023_23,14
2023_24,17
2023_25,24
2023_26,16
2023_27,19
2023_28,23
2023_29,21
2023_30,12
2023_31,25
2023_32,19
2023_33,14
2023_34,24
2023_35,20
2023_36,18
2023_37,26
2023_38,23
2023_39,25
2023_40,14
2023_41,20
2023_42,22
2023_43,17
2023_44,19
2023_45,24
2023_46,21
2023_47,15
2023_48,18
2023_49,12
