year_week,count
2019_35,3
2019_38,4
2019_39,3
2019_40,3
2019_41,6
2019_42,4
2019_43,3
2019_44,4
2019_45,3
2019_46,7
2019_47,8
2019_48,4
2019_49,6
2019_50,3
2019_51,7
2020_00,2
2020_01,9
2020_02,4
2020_03,2
2020_04,5
2020_05,8
2020_06,3
2020_07,9
2020_08,7
2020_09,8
2020_10,5
2020_11,10
2020_12,9
2020_13,9
2020_14,13
2020_15,11
2020_16,8
2020_17,6
2020_18,12
2020_19,11
2020_20,16
2020_21,13
2020_22,16
2020_23,5
2020_24,8
2020_25,7
2020_26,20
2020_27,12
2020_28,13
2020_29,10
2020_30,10
2020_31,13
2020_32,18
2020_33,18
2020_34,16
2020_35,15
2020_36,20
2020_37,16
2020_38,17
2020_39,22
2020_40,24
2020_41,23
2020_42,12
2020_43,21
2020_44,23
2020_45,16
2020_46,22
2020_47,12
2020_48,13
2020_49,17
2020_50,18
2020_51,23
2020_52,4
2021_00,15
2021_01,19
2021_02,24
2021_03,16
2021_04,26
2021_05,21
2021_06,28
2021_07,24
2021_08,23
2021_09,17
2021_10,33
2021_11,19
2021_12,26
2021_13,17
2021_14,24
2021_15,21
2021_16,21
2021_17,20
2021_18,23
2021_19,28
2021_20,31
2021_21,26
2021_22,27
2021_23,30
2021_24,34
2021_25,26
2021_26,25
2021_27,25
2021_28,25
2021_29,28
2021_30,38
2021_31,35
2021_32,27
2021_33,41
2021_34,44
2021_35,25
2021_36,28
2021_37,26
2021_38,26
2021_39,29
2021_40,26
2021_41,40
2021_42,39
2021_43,35
2021_44,29
2021_45,40
2021_46,23
2021_47,39
2021_48,27
2021_49,29
2021_50,25
2021_51,35
2021_52,2
2022_00,25
2022_01,40
2022_02,30
2022_03,35
2022_04,31
2022_05,30
2022_06,23
2022_07,33
2022_08,35
2022_09,27
2022_10,39
2022_11,39
2022_12,34
2022_13,33
2022_14,28
2022_15,42
2022_16,37
2022_17,36
2022_18,45
2022_19,28
2022_20,29
2022_21,41
2022_22,43
2022_23,42
2022_24,44
2022_25,35
2022_26,41
2022_27,37
2022_28,31
2022_29,36
2022_30,60
2022_31,35
2022_32,56
2022_33,55
2022_34,48
2022_35,42
2022_36,62
2022_37,48
2022_38,53
2022_39,43
2022_40,57
2022_41,48
2022_42,48
2022_43,49
2022_44,41
2022_45,38
2022_46,39
2022_47,48
2022_48,43
2022_49,48
2022_50,43
2022_51,46
2022_52,23
2023_00,40
2023_01,47
2023_02,53
2023_03,45
2023_04,66
2023_05,57
2023_06,59
2023_07,64
2023_08,59
2023_09,54
2023_10,48
2023_11,54
2023_12,40
2023_13,55
2023_14,48
2023_15,58
2023_16,53
2023_17,56
2023_18,59
2023_19,63
2023_20,58
2023_21,51
2023_22,48
2023_23,53
2023_24,49
2023_25,56
2023_26,52
2023_27,70
2023_28,62
2023_29,44
2023_30,51
2023_31,58
2023_32,43
2023_33,52
2023_34,55
2023_35,62
2023_36,71
2023_37,73
2023_38,54
2023_39,56
2023_40,62
2023_41,58
2023_42,63
2023_43,62
2023_44,71
2023_45,59
2023_46,54
2023_47,68
2023_48,67
2023_49,20
