year_week,count
2019_28,1
2019_30,3
2019_31,2
2019_32,1
2019_33,1
2019_34,3
2019_35,4
2019_36,4
2019_37,6
2019_38,4
2019_39,2
2019_40,3
2019_41,10
2019_42,1
2019_43,9
2019_44,5
2019_45,8
2019_46,12
2019_47,13
2019_48,8
2019_49,12
2019_50,6
2019_51,7
2019_52,3
2020_00,14
2020_01,11
2020_02,10
2020_03,13
2020_04,13
2020_05,11
2020_06,7
2020_07,17
2020_08,17
2020_09,18
2020_10,12
2020_11,7
2020_12,18
2020_13,19
2020_14,13
2020_15,16
2020_16,20
2020_17,21
2020_18,13
2020_19,12
2020_20,19
2020_21,17
2020_22,21
2020_23,25
2020_24,12
2020_25,17
2020_26,14
2020_27,17
2020_28,18
2020_29,24
2020_30,28
2020_31,22
2020_32,21
2020_33,32
2020_34,28
2020_35,30
2020_36,32
2020_37,17
2020_38,26
2020_39,24
2020_40,17
2020_41,26
2020_42,22
2020_43,27
2020_44,31
2020_45,34
2020_46,20
2020_47,24
2020_48,38
2020_49,23
2020_50,30
2020_51,26
2020_52,4
2021_00,21
2021_01,20
2021_02,27
2021_03,23
2021_04,37
2021_05,27
2021_06,24
2021_07,26
2021_08,22
2021_09,25
2021_10,29
2021_11,40
2021_12,34
2021_13,23
2021_14,34
2021_15,41
2021_16,25
2021_17,38
2021_18,28
2021_19,36
2021_20,38
2021_21,42
2021_22,31
2021_23,29
2021_24,42
2021_25,40
2021_26,47
2021_27,33
2021_28,41
2021_29,45
2021_30,35
2021_31,31
2021_32,50
2021_33,50
2021_34,35
2021_35,43
2021_36,47
2021_37,41
2021_38,54
2021_39,31
2021_40,43
2021_41,57
2021_42,46
2021_43,38
2021_44,30
2021_45,56
2021_46,42
2021_47,58
2021_48,59
2021_49,40
2021_50,54
2021_51,50
2021_52,13
2022_00,47
2022_01,60
2022_02,55
2022_03,44
2022_04,43
2022_05,43
2022_06,63
2022_07,53
2022_08,75
2022_09,63
2022_10,58
2022_11,62
2022_12,72
2022_13,45
2022_14,53
2022_15,62
2022_16,48
2022_17,58
2022_18,51
2022_19,62
2022_20,67
2022_21,62
2022_22,68
2022_23,69
2022_24,62
2022_25,73
2022_26,76
2022_27,72
2022_28,64
2022_29,50
2022_30,60
2022_31,80
2022_32,69
2022_33,66
2022_34,67
2022_35,63
2022_36,71
2022_37,75
2022_38,71
2022_39,76
2022_40,74
2022_41,65
2022_42,62
2022_43,66
2022_44,80
2022_45,58
2022_46,75
2022_47,87
2022_48,73
2022_49,85
2022_50,68
2022_51,71
2022_52,30
2023_00,53
2023_01,87
2023_02,60
2023_03,75
2023_04,88
2023_05,83
2023_06,68
2023_07,79
2023_08,80
2023_09,78
2023_10,83
2023_11,69
2023_12,75
2023_13,69
2023_14,87
2023_15,82
2023_16,97
2023_17,86
2023_18,81
2023_19,76
2023_20,93
2023_21,77
2023_22,81
2023_23,80
2023_24,87
2023_25,92
2023_26,87
2023_27,84
2023_28,75
2023_29,83
2023_30,102
2023_31,90
2023_32,84
2023_33,95
2023_34,83
2023_35,70
2023_36,95
2023_37,88
2023_38,90
2023_39,82
2023_40,95
2023_41,83
2023_42,85
2023_43,91
2023_44,80
2023_45,87
2023_46,95
2023_47,101
2023_48,84
2023_49,27
