year_week,count
2019_29,1
2019_30,1
2019_31,1
2019_32,3
2019_33,2
2019_34,2
2019_35,7
2019_36,9
2019_37,10
2019_38,13
2019_39,16
2019_40,11
2019_41,15
2019_42,11
2019_43,12
2019_44,13
2019_45,19
2019_46,16
2019_47,21
2019_48,14
2019_49,27
2019_50,15
2019_51,25
2019_52,6
2020_00,20
2020_01,23
2020_02,22
2020_03,34
2020_04,42
2020_05,27
2020_06,30
2020_07,45
2020_08,29
2020_09,39
2020_10,41
2020_11,49
2020_12,46
2020_13,43
2020_14,57
2020_15,39
2020_16,38
2020_17,40
2020_18,37
2020_19,51
2020_20,42
2020_21,47
2020_22,47
2020_23,56
2020_24,51
2020_25,45
2020_26,51
2020_27,47
2020_28,62
2020_29,49
2020_30,49
2020_31,44
2020_32,58
2020_33,69
2020_34,73
2020_35,72
2020_36,70
2020_37,57
2020_38,77
2020_39,61
2020_40,63
2020_41,86
2020_42,72
2020_43,66
2020_44,60
2020_45,68
2020_46,72
2020_47,70
2020_48,74
2020_49,72
2020_50,72
2020_51,67
2020_52,28
2021_00,76
2021_01,78
2021_02,89
2021_03,98
2021_04,87
2021_05,106
2021_06,80
2021_07,79
2021_08,73
2021_09,85
2021_10,96
2021_11,98
2021_12,91
2021_13,101
2021_14,92
2021_15,101
2021_16,93
2021_17,102
2021_18,92
2021_19,104
2021_20,112
2021_21,91
2021_22,108
2021_23,95
2021_24,95
2021_25,108
2021_26,123
2021_27,101
2021_28,106
2021_29,112
2021_30,112
2021_31,110
2021_32,129
2021_33,129
2021_34,132
2021_35,117
2021_36,115
2021_37,111
2021_38,133
2021_39,122
2021_40,126
2021_41,132
2021_42,136
2021_43,120
2021_44,137
2021_45,138
2021_46,153
2021_47,127
2021_48,135
2021_49,117
2021_50,135
2021_51,131
2021_52,34
2022_00,108
2022_01,125
2022_02,161
2022_03,162
2022_04,118
2022_05,131
2022_06,147
2022_07,116
2022_08,132
2022_09,152
2022_10,155
2022_11,169
2022_12,141
2022_13,142
2022_14,144
2022_15,131
2022_16,143
2022_17,159
2022_18,164
2022_19,131
2022_20,168
2022_21,146
2022_22,137
2022_23,150
2022_24,156
2022_25,169
2022_26,155
2022_27,157
2022_28,168
2022_29,155
2022_30,185
2022_31,171
2022_32,164
2022_33,159
2022_34,170
2022_35,140
2022_36,169
2022_37,188
2022_38,155
2022_39,176
2022_40,176
2022_41,180
2022_42,187
2022_43,191
2022_44,207
2022_45,161
2022_46,200
2022_47,180
2022_48,224
2022_49,173
2022_50,179
2022_51,184
2022_52,75
2023_00,159
2023_01,165
2023_02,198
2023_03,193
2023_04,200
2023_05,234
2023_06,206
2023_07,202
2023_08,194
2023_09,239
2023_10,188
2023_11,219
2023_12,230
2023_13,191
2023_14,207
2023_15,205
2023_16,220
2023_17,203
2023_18,212
2023_19,231
2023_20,220
2023_21,224
2023_22,236
2023_23,228
2023_24,231
2023_25,226
2023_26,207
2023_27,214
2023_28,209
2023_29,241
2023_30,223
2023_31,206
2023_32,254
2023_33,234
2023_34,219
2023_35,260
2023_36,247
2023_37,223
2023_38,226
2023_39,241
2023_40,269
2023_41,221
2023_42,238
2023_43,238
2023_44,279
2023_45,235
2023_46,233
2023_47,268
2023_48,267
2023_49,91
