year_week,count
2019_28,1
2019_32,3
2019_33,2
2019_34,5
2019_35,3
2019_36,2
2019_37,6
2019_38,3
2019_39,8
2019_40,8
2019_41,7
2019_42,7
2019_43,7
2019_44,10
2019_45,9
2019_46,8
2019_47,10
2019_48,14
2019_49,14
2019_50,11
2019_51,12
2019_52,1
2020_00,12
2020_01,14
2020_02,13
2020_03,22
2020_04,15
2020_05,15
2020_06,15
2020_07,17
2020_08,19
2020_09,21
2020_10,20
2020_11,17
2020_12,21
2020_13,26
2020_14,15
2020_15,21
2020_16,28
2020_17,23
2020_18,27
2020_19,22
2020_20,17
2020_21,26
2020_22,27
2020_23,25
2020_24,27
2020_25,25
2020_26,23
2020_27,28
2020_28,42
2020_29,18
2020_30,36
2020_31,36
2020_32,39
2020_33,34
2020_34,35
2020_35,32
2020_36,26
2020_37,44
2020_38,30
2020_39,35
2020_40,39
2020_41,37
2020_42,40
2020_43,35
2020_44,36
2020_45,34
2020_46,41
2020_47,38
2020_48,34
2020_49,37
2020_50,35
2020_51,40
2020_52,13
2021_00,29
2021_01,31
2021_02,46
2021_03,35
2021_04,45
2021_05,41
2021_06,32
2021_07,51
2021_08,37
2021_09,30
2021_10,41
2021_11,53
2021_12,37
2021_13,39
2021_14,53
2021_15,44
2021_16,59
2021_17,47
2021_18,41
2021_19,55
2021_20,43
2021_21,47
2021_22,53
2021_23,42
2021_24,63
2021_25,61
2021_26,59
2021_27,47
2021_28,49
2021_29,56
2021_30,61
2021_31,56
2021_32,45
2021_33,59
2021_34,61
2021_35,58
2021_36,70
2021_37,55
2021_38,58
2021_39,68
2021_40,72
2021_41,67
2021_42,81
2021_43,60
2021_44,79
2021_45,74
2021_46,66
2021_47,77
2021_48,65
2021_49,72
2021_50,51
2021_51,67
2021_52,9
2022_00,59
2022_01,71
2022_02,69
2022_03,72
2022_04,49
2022_05,73
2022_06,63
2022_07,72
2022_08,64
2022_09,70
2022_10,75
2022_11,70
2022_12,99
2022_13,63
2022_14,89
2022_15,77
2022_16,48
2022_17,67
2022_18,79
2022_19,91
2022_20,64
2022_21,65
2022_22,72
2022_23,77
2022_24,79
2022_25,80
2022_26,75
2022_27,77
2022_28,96
2022_29,87
2022_30,87
2022_31,82
2022_32,84
2022_33,88
2022_34,90
2022_35,85
2022_36,89
2022_37,83
2022_38,71
2022_39,75
2022_40,70
2022_41,86
2022_42,88
2022_43,97
2022_44,83
2022_45,85
2022_46,105
2022_47,79
2022_48,92
2022_49,80
2022_50,102
2022_51,86
2022_52,25
2023_00,83
2023_01,86
2023_02,95
2023_03,128
2023_04,81
2023_05,97
2023_06,110
2023_07,94
2023_08,106
2023_09,126
2023_10,96
2023_11,105
2023_12,94
2023_13,96
2023_14,107
2023_15,107
2023_16,107
2023_17,92
2023_18,99
2023_19,131
2023_20,116
2023_21,118
2023_22,118
2023_23,105
2023_24,99
2023_25,109
2023_26,133
2023_27,114
2023_28,118
2023_29,101
2023_30,107
2023_31,104
2023_32,121
2023_33,106
2023_34,117
2023_35,114
2023_36,107
2023_37,147
2023_38,121
2023_39,125
2023_40,121
2023_41,134
2023_42,132
2023_43,116
2023_44,126
2023_45,117
2023_46,125
2023_47,119
2023_48,132
2023_49,52
