year_week,count
2019_30,1
2019_32,1
2019_33,1
2019_34,1
2019_36,2
2019_37,4
2019_38,1
2019_39,4
2019_40,1
2019_41,1
2019_42,3
2019_43,1
2019_44,1
2019_45,2
2019_46,4
2019_48,3
2019_49,4
2019_50,1
2019_51,2
2020_00,1
2020_01,2
2020_02,2
2020_03,1
2020_04,3
2020_05,6
2020_06,3
2020_08,1
2020_09,6
2020_10,7
2020_11,6
2020_12,4
2020_13,4
2020_14,6
2020_15,5
2020_16,3
2020_18,3
2020_19,7
2020_20,10
2020_21,4
2020_22,5
2020_23,2
2020_24,3
2020_25,4
2020_26,4
2020_27,5
2020_28,8
2020_29,7
2020_30,6
2020_31,3
2020_32,7
2020_33,4
2020_34,6
2020_35,2
2020_36,8
2020_37,6
2020_38,4
2020_39,6
2020_40,2
2020_41,9
2020_42,5
2020_43,7
2020_44,9
2020_45,2
2020_46,4
2020_47,9
2020_48,5
2020_49,7
2020_50,9
2020_51,8
2020_52,4
2021_00,8
2021_01,9
2021_02,8
2021_03,12
2021_04,10
2021_05,7
2021_06,6
2021_07,10
2021_08,2
2021_09,7
2021_10,8
2021_11,6
2021_12,12
2021_13,9
2021_14,10
2021_15,14
2021_16,13
2021_17,6
2021_18,14
2021_19,9
2021_20,8
2021_21,9
2021_22,12
2021_23,11
2021_24,7
2021_25,12
2021_26,8
2021_27,10
2021_28,6
2021_29,13
2021_30,10
2021_31,12
2021_32,16
2021_33,10
2021_34,8
2021_35,17
2021_36,15
2021_37,5
2021_38,12
2021_39,14
2021_40,14
2021_41,16
2021_42,10
2021_43,24
2021_44,17
2021_45,14
2021_46,16
2021_47,8
2021_48,11
2021_49,11
2021_50,14
2021_51,16
2021_52,3
2022_00,5
2022_01,15
2022_02,18
2022_03,13
2022_04,11
2022_05,15
2022_06,11
2022_07,16
2022_08,20
2022_09,12
2022_10,13
2022_11,14
2022_12,23
2022_13,15
2022_14,15
2022_15,14
2022_16,15
2022_17,11
2022_18,7
2022_19,18
2022_20,24
2022_21,28
2022_22,19
2022_23,19
2022_24,24
2022_25,24
2022_26,18
2022_27,14
2022_28,15
2022_29,18
2022_30,14
2022_31,21
2022_32,21
2022_33,16
2022_34,16
2022_35,21
2022_36,13
2022_37,21
2022_38,14
2022_39,22
2022_40,9
2022_41,12
2022_42,14
2022_43,14
2022_44,26
2022_45,20
2022_46,23
2022_47,20
2022_48,21
2022_49,13
2022_50,19
2022_51,20
2022_52,5
2023_00,19
2023_01,20
2023_02,19
2023_03,28
2023_04,24
2023_05,15
2023_06,16
2023_07,25
2023_08,21
2023_09,25
2023_10,23
2023_11,13
2023_12,24
2023_13,21
2023_14,24
2023_15,22
2023_16,28
2023_17,22
2023_18,20
2023_19,17
2023_20,26
2023_21,18
2023_22,26
2023_23,32
2023_24,20
2023_25,26
2023_26,20
2023_27,26
2023_28,22
2023_29,26
2023_30,29
2023_31,26
2023_32,26
2023_33,24
2023_34,27
2023_35,33
2023_36,25
2023_37,21
2023_38,26
2023_39,28
2023_40,28
2023_41,19
2023_42,22
2023_43,26
2023_44,26
2023_45,22
2023_46,28
2023_47,26
2023_48,28
2023_49,17
