year_week,count
2019_34,1
2019_37,1
2019_39,1
2019_40,1
2019_43,2
2019_44,1
2019_47,1
2019_48,1
2019_49,2
2020_01,1
2020_04,1
2020_05,1
2020_06,1
2020_07,3
2020_08,2
2020_09,1
2020_11,6
2020_12,2
2020_13,2
2020_14,4
2020_15,1
2020_16,1
2020_17,3
2020_20,3
2020_21,4
2020_22,1
2020_23,1
2020_24,2
2020_25,1
2020_26,2
2020_28,1
2020_29,3
2020_31,3
2020_32,3
2020_33,2
2020_34,1
2020_35,3
2020_36,2
2020_37,4
2020_38,2
2020_39,2
2020_40,2
2020_41,1
2020_42,4
2020_43,1
2020_44,3
2020_45,4
2020_46,2
2020_47,3
2020_48,2
2020_49,3
2020_50,3
2020_51,3
2021_00,3
2021_01,3
2021_02,4
2021_03,3
2021_04,3
2021_05,1
2021_07,4
2021_08,1
2021_09,4
2021_10,7
2021_11,2
2021_12,6
2021_13,2
2021_14,3
2021_15,4
2021_16,6
2021_17,2
2021_18,2
2021_19,3
2021_20,5
2021_21,1
2021_22,3
2021_23,4
2021_24,4
2021_25,4
2021_26,4
2021_27,1
2021_28,4
2021_29,4
2021_30,5
2021_31,2
2021_32,3
2021_33,3
2021_34,4
2021_36,7
2021_37,1
2021_38,2
2021_39,4
2021_40,2
2021_41,2
2021_42,11
2021_43,4
2021_44,3
2021_45,5
2021_46,3
2021_47,7
2021_48,5
2021_49,2
2021_50,7
2021_51,1
2021_52,2
2022_00,6
2022_01,7
2022_02,3
2022_03,1
2022_04,4
2022_05,4
2022_06,6
2022_07,7
2022_08,3
2022_09,4
2022_10,4
2022_11,5
2022_12,2
2022_13,3
2022_14,4
2022_15,2
2022_16,5
2022_17,5
2022_18,6
2022_19,7
2022_20,6
2022_21,5
2022_22,3
2022_23,7
2022_24,6
2022_25,3
2022_26,6
2022_27,10
2022_28,2
2022_29,5
2022_30,10
2022_31,3
2022_32,7
2022_33,2
2022_34,10
2022_35,6
2022_36,5
2022_37,2
2022_38,9
2022_39,7
2022_40,5
2022_41,4
2022_42,3
2022_43,1
2022_44,3
2022_45,8
2022_46,12
2022_47,7
2022_48,9
2022_49,8
2022_50,9
2022_51,12
2022_52,1
2023_00,5
2023_01,6
2023_02,6
2023_03,3
2023_04,11
2023_05,6
2023_06,6
2023_07,10
2023_08,9
2023_09,5
2023_10,9
2023_11,6
2023_12,6
2023_13,6
2023_14,3
2023_15,8
2023_16,9
2023_17,8
2023_18,8
2023_19,4
2023_20,4
2023_21,2
2023_22,9
2023_23,5
2023_24,6
2023_25,8
2023_26,9
2023_27,6
2023_28,6
2023_29,12
2023_30,8
2023_31,3
2023_32,9
2023_33,9
2023_34,7
2023_35,5
2023_36,9
2023_37,7
2023_38,11
2023_39,18
2023_40,11
2023_41,10
2023_42,16
2023_43,11
2023_44,8
2023_45,10
2023_46,7
2023_47,8
2023_48,10
2023_49,3
