year_week,count
2019_34,1
2019_39,1
2019_46,1
2019_47,1
2019_49,1
2019_51,1
2019_52,1
2020_01,2
2020_02,1
2020_07,2
2020_12,1
2020_13,2
2020_15,1
2020_16,2
2020_17,1
2020_19,2
2020_20,1
2020_22,1
2020_23,1
2020_24,3
2020_25,1
2020_26,1
2020_28,2
2020_29,2
2020_30,3
2020_32,2
2020_33,1
2020_34,3
2020_36,2
2020_39,1
2020_40,1
2020_42,1
2020_43,1
2020_44,4
2020_45,3
2020_46,2
2020_47,4
2020_48,1
2020_49,1
2020_50,1
2021_01,3
2021_03,3
2021_04,3
2021_05,2
2021_08,1
2021_09,1
2021_10,1
2021_11,1
2021_14,2
2021_15,1
2021_16,2
2021_17,2
2021_18,1
2021_19,1
2021_20,3
2021_21,4
2021_22,2
2021_23,1
2021_24,2
2021_25,1
2021_26,3
2021_27,1
2021_28,1
2021_29,1
2021_30,3
2021_32,4
2021_33,2
2021_34,3
2021_36,3
2021_37,1
2021_38,1
2021_39,1
2021_40,6
2021_41,4
2021_43,1
2021_44,2
2021_45,1
2021_46,2
2021_47,4
2021_48,2
2021_49,3
2021_51,2
2021_52,1
2022_00,3
2022_01,3
2022_02,2
2022_03,2
2022_04,2
2022_05,1
2022_06,1
2022_07,5
2022_08,5
2022_09,2
2022_10,1
2022_11,2
2022_12,4
2022_13,3
2022_14,1
2022_15,2
2022_16,4
2022_18,4
2022_19,2
2022_20,3
2022_21,4
2022_22,3
2022_23,3
2022_24,1
2022_25,3
2022_26,2
2022_27,6
2022_28,4
2022_29,5
2022_31,5
2022_32,5
2022_33,2
2022_34,5
2022_35,2
2022_36,3
2022_37,4
2022_38,4
2022_39,2
2022_40,3
2022_41,2
2022_42,3
2022_44,1
2022_45,3
2022_46,6
2022_47,4
2022_48,4
2022_49,6
2022_50,2
2022_51,3
2022_52,1
2023_00,2
2023_01,2
2023_02,7
2023_03,5
2023_04,7
2023_05,1
2023_06,2
2023_07,1
2023_08,2
2023_09,4
2023_10,6
2023_11,4
2023_12,4
2023_13,3
2023_14,7
2023_15,6
2023_16,5
2023_17,3
2023_18,6
2023_19,4
2023_20,3
2023_22,7
2023_23,7
2023_24,5
2023_25,3
2023_26,3
2023_27,3
2023_28,6
2023_29,5
2023_30,6
2023_31,9
2023_32,3
2023_33,5
2023_34,5
2023_35,3
2023_36,6
2023_37,5
2023_38,8
2023_39,2
2023_40,4
2023_41,2
2023_42,1
2023_43,2
2023_44,3
2023_45,3
2023_46,1
2023_47,4
2023_48,2
2023_49,1
