year_week,count
2019_29,1
2019_33,1
2019_34,1
2019_38,2
2019_41,2
2019_42,1
2019_43,3
2019_44,1
2019_45,1
2019_48,2
2019_49,1
2019_50,4
2019_51,3
2020_00,5
2020_02,1
2020_03,2
2020_05,2
2020_06,3
2020_07,3
2020_08,1
2020_09,3
2020_10,3
2020_11,1
2020_12,2
2020_13,6
2020_14,3
2020_15,5
2020_16,3
2020_17,2
2020_18,3
2020_19,8
2020_20,3
2020_21,2
2020_22,3
2020_23,3
2020_24,9
2020_25,5
2020_26,2
2020_27,1
2020_28,2
2020_29,1
2020_30,4
2020_31,4
2020_32,2
2020_33,2
2020_34,4
2020_35,4
2020_36,4
2020_38,3
2020_39,5
2020_40,3
2020_41,6
2020_42,5
2020_43,7
2020_44,3
2020_45,5
2020_46,8
2020_47,4
2020_48,4
2020_49,9
2020_50,2
2020_51,9
2021_00,8
2021_01,3
2021_02,4
2021_03,5
2021_04,3
2021_05,5
2021_06,5
2021_07,3
2021_08,4
2021_09,4
2021_10,4
2021_11,10
2021_12,5
2021_13,8
2021_14,5
2021_15,6
2021_16,9
2021_17,7
2021_18,4
2021_19,6
2021_20,10
2021_21,9
2021_22,7
2021_23,5
2021_24,7
2021_25,10
2021_26,9
2021_27,6
2021_28,14
2021_29,7
2021_30,7
2021_31,6
2021_32,6
2021_33,11
2021_34,8
2021_35,8
2021_36,8
2021_37,6
2021_38,7
2021_39,9
2021_40,12
2021_41,8
2021_42,8
2021_43,4
2021_44,7
2021_45,10
2021_46,13
2021_47,7
2021_48,7
2021_49,9
2021_50,12
2021_51,15
2021_52,1
2022_00,9
2022_01,8
2022_02,6
2022_03,10
2022_04,11
2022_05,13
2022_06,10
2022_07,6
2022_08,13
2022_09,9
2022_10,11
2022_11,8
2022_12,14
2022_13,13
2022_14,21
2022_15,9
2022_16,7
2022_17,9
2022_18,15
2022_19,14
2022_20,14
2022_21,9
2022_22,13
2022_23,9
2022_24,10
2022_25,14
2022_26,8
2022_27,12
2022_28,12
2022_29,5
2022_30,12
2022_31,8
2022_32,13
2022_33,9
2022_34,16
2022_35,15
2022_36,11
2022_37,14
2022_38,15
2022_39,17
2022_40,13
2022_41,9
2022_42,11
2022_43,15
2022_44,12
2022_45,11
2022_46,18
2022_47,14
2022_48,10
2022_49,17
2022_50,14
2022_51,9
2022_52,4
2023_00,8
2023_01,9
2023_02,16
2023_03,23
2023_04,14
2023_05,9
2023_06,19
2023_07,14
2023_08,14
2023_09,20
2023_10,17
2023_11,9
2023_12,13
2023_13,22
2023_14,12
2023_15,14
2023_16,13
2023_17,17
2023_18,15
2023_19,22
2023_20,11
2023_21,13
2023_22,16
2023_23,14
2023_24,13
2023_25,22
2023_26,13
2023_27,20
2023_28,11
2023_29,22
2023_30,10
2023_31,24
2023_32,15
2023_33,13
2023_34,23
2023_35,18
2023_36,12
2023_37,13
2023_38,15
2023_39,19
2023_40,17
2023_41,13
2023_42,17
2023_43,11
2023_44,18
2023_45,17
2023_46,18
2023_47,15
2023_48,16
2023_49,7
