year_week,count
2019_28,1
2019_31,3
2019_33,2
2019_34,2
2019_35,1
2019_36,1
2019_37,4
2019_39,2
2019_42,4
2019_43,2
2019_44,3
2019_45,7
2019_46,8
2019_47,5
2019_48,6
2019_49,6
2019_50,3
2019_51,5
2019_52,1
2020_00,4
2020_01,3
2020_02,4
2020_03,3
2020_04,3
2020_05,8
2020_06,8
2020_07,5
2020_08,3
2020_10,11
2020_11,5
2020_12,6
2020_13,6
2020_14,5
2020_15,9
2020_16,11
2020_17,6
2020_18,7
2020_19,4
2020_20,11
2020_21,5
2020_22,9
2020_23,5
2020_24,6
2020_25,10
2020_26,12
2020_27,8
2020_28,13
2020_29,8
2020_30,8
2020_31,3
2020_32,9
2020_33,7
2020_34,5
2020_35,15
2020_36,12
2020_37,5
2020_38,12
2020_39,9
2020_40,11
2020_41,16
2020_42,12
2020_43,11
2020_44,10
2020_45,10
2020_46,9
2020_47,20
2020_48,11
2020_49,10
2020_50,5
2020_51,13
2020_52,3
2021_00,14
2021_01,10
2021_02,9
2021_03,7
2021_04,17
2021_05,11
2021_06,19
2021_07,9
2021_08,11
2021_09,17
2021_10,15
2021_11,19
2021_12,17
2021_13,18
2021_14,13
2021_15,14
2021_16,24
2021_17,18
2021_18,21
2021_19,13
2021_20,10
2021_21,20
2021_22,15
2021_23,10
2021_24,21
2021_25,17
2021_26,13
2021_27,16
2021_28,15
2021_29,20
2021_30,12
2021_31,15
2021_32,19
2021_33,13
2021_34,17
2021_35,23
2021_36,19
2021_37,16
2021_38,19
2021_39,18
2021_40,25
2021_41,13
2021_42,21
2021_43,13
2021_44,15
2021_45,20
2021_46,28
2021_47,22
2021_48,16
2021_49,14
2021_50,17
2021_51,30
2021_52,5
2022_00,19
2022_01,18
2022_02,20
2022_03,18
2022_04,20
2022_05,16
2022_06,29
2022_07,22
2022_08,22
2022_09,18
2022_10,27
2022_11,31
2022_12,28
2022_13,23
2022_14,16
2022_15,15
2022_16,35
2022_17,21
2022_18,26
2022_19,26
2022_20,24
2022_21,17
2022_22,23
2022_23,23
2022_24,15
2022_25,26
2022_26,26
2022_27,33
2022_28,28
2022_29,24
2022_30,39
2022_31,26
2022_32,18
2022_33,34
2022_34,25
2022_35,31
2022_36,26
2022_37,25
2022_38,25
2022_39,24
2022_40,35
2022_41,24
2022_42,31
2022_43,25
2022_44,31
2022_45,27
2022_46,21
2022_47,27
2022_48,24
2022_49,30
2022_50,26
2022_51,25
2022_52,5
2023_00,16
2023_01,28
2023_02,26
2023_03,26
2023_04,35
2023_05,27
2023_06,32
2023_07,31
2023_08,25
2023_09,32
2023_10,41
2023_11,35
2023_12,34
2023_13,31
2023_14,36
2023_15,24
2023_16,39
2023_17,26
2023_18,34
2023_19,27
2023_20,36
2023_21,31
2023_22,41
2023_23,38
2023_24,35
2023_25,27
2023_26,30
2023_27,30
2023_28,40
2023_29,46
2023_30,46
2023_31,34
2023_32,26
2023_33,32
2023_34,39
2023_35,38
2023_36,31
2023_37,38
2023_38,27
2023_39,35
2023_40,41
2023_41,36
2023_42,44
2023_43,43
2023_44,34
2023_45,48
2023_46,42
2023_47,39
2023_48,39
2023_49,11
