year_week,count
2019_29,1
2019_34,3
2019_35,1
2019_37,3
2019_39,1
2019_42,1
2019_43,8
2019_44,2
2019_47,3
2019_48,1
2019_49,1
2019_50,2
2019_51,3
2019_52,1
2020_00,2
2020_01,2
2020_02,3
2020_03,2
2020_04,2
2020_05,3
2020_06,2
2020_07,5
2020_08,6
2020_09,1
2020_10,3
2020_11,3
2020_12,5
2020_13,4
2020_14,3
2020_15,2
2020_16,4
2020_17,2
2020_18,5
2020_19,7
2020_20,6
2020_21,4
2020_22,5
2020_23,10
2020_24,8
2020_25,10
2020_26,7
2020_27,12
2020_28,8
2020_29,3
2020_30,7
2020_31,5
2020_32,7
2020_33,3
2020_34,6
2020_35,8
2020_36,6
2020_37,5
2020_38,9
2020_39,9
2020_40,4
2020_41,2
2020_42,5
2020_43,6
2020_44,14
2020_45,6
2020_46,10
2020_47,8
2020_48,5
2020_49,7
2020_50,5
2020_51,10
2021_00,12
2021_01,13
2021_02,12
2021_03,9
2021_04,11
2021_05,11
2021_06,7
2021_07,7
2021_08,9
2021_09,12
2021_10,6
2021_11,8
2021_12,10
2021_13,16
2021_14,3
2021_15,10
2021_16,13
2021_17,15
2021_18,15
2021_19,9
2021_20,7
2021_21,14
2021_22,10
2021_23,5
2021_24,12
2021_25,6
2021_26,12
2021_27,9
2021_28,8
2021_29,11
2021_30,10
2021_31,7
2021_32,10
2021_33,10
2021_34,7
2021_35,16
2021_36,17
2021_37,17
2021_38,16
2021_39,9
2021_40,13
2021_41,9
2021_42,9
2021_43,8
2021_44,9
2021_45,14
2021_46,14
2021_47,17
2021_48,10
2021_49,13
2021_50,14
2021_51,17
2021_52,2
2022_00,12
2022_01,25
2022_02,15
2022_03,19
2022_04,9
2022_05,13
2022_06,11
2022_07,19
2022_08,11
2022_09,13
2022_10,12
2022_11,13
2022_12,22
2022_13,12
2022_14,26
2022_15,13
2022_16,16
2022_17,20
2022_18,14
2022_19,17
2022_20,20
2022_21,18
2022_22,13
2022_23,18
2022_24,17
2022_25,16
2022_26,16
2022_27,22
2022_28,13
2022_29,14
2022_30,16
2022_31,13
2022_32,22
2022_33,17
2022_34,19
2022_35,23
2022_36,26
2022_37,23
2022_38,9
2022_39,21
2022_40,25
2022_41,22
2022_42,13
2022_43,10
2022_44,23
2022_45,19
2022_46,15
2022_47,17
2022_48,20
2022_49,12
2022_50,27
2022_51,21
2022_52,8
2023_00,10
2023_01,31
2023_02,33
2023_03,14
2023_04,10
2023_05,16
2023_06,20
2023_07,29
2023_08,22
2023_09,23
2023_10,19
2023_11,20
2023_12,20
2023_13,20
2023_14,29
2023_15,28
2023_16,23
2023_17,18
2023_18,24
2023_19,27
2023_20,14
2023_21,24
2023_22,25
2023_23,21
2023_24,16
2023_25,31
2023_26,18
2023_27,18
2023_28,16
2023_29,29
2023_30,16
2023_31,19
2023_32,27
2023_33,28
2023_34,29
2023_35,36
2023_36,23
2023_37,23
2023_38,30
2023_39,25
2023_40,35
2023_41,25
2023_42,29
2023_43,30
2023_44,26
2023_45,31
2023_46,21
2023_47,32
2023_48,18
2023_49,5
