year_week,count
2019_29,1
2019_31,1
2019_37,1
2019_39,1
2019_40,3
2019_42,1
2019_43,2
2019_44,1
2019_48,1
2019_49,1
2019_50,1
2019_51,2
2020_00,2
2020_01,2
2020_02,1
2020_03,4
2020_05,3
2020_06,4
2020_07,2
2020_09,2
2020_10,2
2020_11,2
2020_12,1
2020_13,2
2020_14,3
2020_15,3
2020_16,5
2020_18,3
2020_19,5
2020_20,1
2020_21,4
2020_22,5
2020_23,5
2020_24,4
2020_25,2
2020_27,4
2020_28,2
2020_29,4
2020_30,2
2020_31,4
2020_32,2
2020_33,3
2020_34,3
2020_35,3
2020_36,3
2020_37,4
2020_38,4
2020_39,3
2020_40,1
2020_41,7
2020_42,5
2020_43,3
2020_44,5
2020_45,6
2020_46,6
2020_47,5
2020_48,4
2020_49,5
2020_50,5
2020_51,4
2020_52,4
2021_00,4
2021_01,8
2021_02,6
2021_03,5
2021_04,2
2021_05,1
2021_06,4
2021_07,7
2021_08,9
2021_09,9
2021_10,6
2021_11,7
2021_12,8
2021_13,8
2021_14,3
2021_15,5
2021_16,9
2021_17,9
2021_18,5
2021_19,7
2021_20,1
2021_21,2
2021_22,4
2021_23,5
2021_24,5
2021_25,14
2021_26,10
2021_27,4
2021_28,5
2021_29,6
2021_30,8
2021_31,11
2021_32,10
2021_33,8
2021_34,9
2021_35,10
2021_36,7
2021_37,10
2021_38,9
2021_39,7
2021_40,8
2021_41,11
2021_42,7
2021_43,3
2021_44,9
2021_45,9
2021_46,3
2021_47,9
2021_48,10
2021_49,11
2021_50,6
2021_51,10
2021_52,1
2022_00,7
2022_01,9
2022_02,5
2022_03,7
2022_04,7
2022_05,7
2022_06,15
2022_07,6
2022_08,9
2022_09,8
2022_10,5
2022_11,14
2022_12,16
2022_13,11
2022_14,13
2022_15,10
2022_16,12
2022_17,8
2022_18,10
2022_19,11
2022_20,8
2022_21,15
2022_22,10
2022_23,13
2022_24,11
2022_25,17
2022_26,12
2022_27,15
2022_28,10
2022_29,12
2022_30,12
2022_31,9
2022_32,4
2022_33,11
2022_34,13
2022_35,16
2022_36,12
2022_37,8
2022_38,7
2022_39,16
2022_40,8
2022_41,18
2022_42,8
2022_43,13
2022_44,13
2022_45,8
2022_46,9
2022_47,15
2022_48,11
2022_49,11
2022_50,13
2022_51,16
2022_52,1
2023_00,9
2023_01,10
2023_02,19
2023_03,18
2023_04,11
2023_05,17
2023_06,14
2023_07,20
2023_08,16
2023_09,14
2023_10,12
2023_11,14
2023_12,15
2023_13,15
2023_14,17
2023_15,13
2023_16,14
2023_17,19
2023_18,23
2023_19,18
2023_20,16
2023_21,8
2023_22,12
2023_23,11
2023_24,10
2023_25,15
2023_26,19
2023_27,20
2023_28,17
2023_29,16
2023_30,15
2023_31,21
2023_32,20
2023_33,17
2023_34,18
2023_35,12
2023_36,13
2023_37,16
2023_38,9
2023_39,15
2023_40,20
2023_41,25
2023_42,11
2023_43,24
2023_44,14
2023_45,11
2023_46,15
2023_47,11
2023_48,16
2023_49,6
