year_week,count
2019_29,1
2019_31,2
2019_36,1
2019_37,1
2019_38,4
2019_40,2
2019_42,5
2019_44,1
2019_45,3
2019_47,3
2019_48,3
2019_49,4
2019_50,3
2019_51,4
2019_52,1
2020_00,3
2020_01,2
2020_02,5
2020_03,5
2020_04,3
2020_05,4
2020_06,4
2020_07,5
2020_08,1
2020_09,2
2020_10,5
2020_11,5
2020_12,5
2020_13,5
2020_14,8
2020_15,5
2020_16,5
2020_17,8
2020_18,3
2020_19,15
2020_20,4
2020_21,12
2020_22,6
2020_23,4
2020_24,5
2020_25,5
2020_26,6
2020_27,5
2020_28,10
2020_29,7
2020_30,9
2020_31,7
2020_32,12
2020_33,7
2020_34,10
2020_35,6
2020_36,5
2020_37,5
2020_38,7
2020_39,5
2020_40,8
2020_41,10
2020_42,13
2020_43,5
2020_44,8
2020_45,9
2020_46,6
2020_47,6
2020_48,9
2020_49,6
2020_50,9
2020_51,11
2020_52,2
2021_00,7
2021_01,13
2021_02,14
2021_03,5
2021_04,8
2021_05,8
2021_06,17
2021_07,6
2021_08,13
2021_09,9
2021_10,14
2021_11,15
2021_12,11
2021_13,11
2021_14,8
2021_15,8
2021_16,9
2021_17,7
2021_18,6
2021_19,9
2021_20,17
2021_21,10
2021_22,11
2021_23,13
2021_24,13
2021_25,12
2021_26,21
2021_27,17
2021_28,12
2021_29,2
2021_30,10
2021_31,16
2021_32,15
2021_33,12
2021_34,19
2021_35,14
2021_36,14
2021_37,10
2021_38,17
2021_39,12
2021_40,22
2021_41,14
2021_42,14
2021_43,7
2021_44,20
2021_45,20
2021_46,16
2021_47,20
2021_48,11
2021_49,9
2021_50,25
2021_51,19
2021_52,4
2022_00,14
2022_01,18
2022_02,12
2022_03,12
2022_04,24
2022_05,17
2022_06,18
2022_07,15
2022_08,13
2022_09,13
2022_10,14
2022_11,22
2022_12,14
2022_13,13
2022_14,24
2022_15,19
2022_16,21
2022_17,23
2022_18,17
2022_19,27
2022_20,16
2022_21,22
2022_22,23
2022_23,27
2022_24,19
2022_25,25
2022_26,19
2022_27,16
2022_28,11
2022_29,20
2022_30,31
2022_31,22
2022_32,25
2022_33,18
2022_34,21
2022_35,16
2022_36,18
2022_37,22
2022_38,16
2022_39,21
2022_40,23
2022_41,28
2022_42,16
2022_43,16
2022_44,15
2022_45,21
2022_46,27
2022_47,34
2022_48,25
2022_49,26
2022_50,20
2022_51,24
2022_52,8
2023_00,21
2023_01,22
2023_02,32
2023_03,20
2023_04,19
2023_05,28
2023_06,28
2023_07,23
2023_08,32
2023_09,29
2023_10,28
2023_11,21
2023_12,31
2023_13,32
2023_14,29
2023_15,23
2023_16,31
2023_17,35
2023_18,24
2023_19,25
2023_20,24
2023_21,22
2023_22,34
2023_23,31
2023_24,29
2023_25,36
2023_26,29
2023_27,32
2023_28,32
2023_29,30
2023_30,23
2023_31,28
2023_32,32
2023_33,21
2023_34,32
2023_35,34
2023_36,33
2023_37,28
2023_38,23
2023_39,32
2023_40,29
2023_41,23
2023_42,27
2023_43,24
2023_44,26
2023_45,35
2023_46,25
2023_47,34
2023_48,22
2023_49,6
