year_week,count
2019_29,2
2019_30,1
2019_31,1
2019_32,2
2019_33,2
2019_34,2
2019_35,2
2019_36,2
2019_37,1
2019_38,6
2019_39,4
2019_40,7
2019_41,3
2019_42,2
2019_43,4
2019_44,9
2019_45,6
2019_46,2
2019_47,3
2019_48,7
2019_49,6
2019_50,9
2019_51,9
2020_00,4
2020_01,13
2020_02,8
2020_03,11
2020_04,11
2020_05,6
2020_06,6
2020_07,7
2020_08,9
2020_09,10
2020_10,11
2020_11,12
2020_12,15
2020_13,13
2020_14,10
2020_15,5
2020_16,8
2020_17,10
2020_18,12
2020_19,13
2020_20,20
2020_21,17
2020_22,18
2020_23,11
2020_24,13
2020_25,13
2020_26,18
2020_27,12
2020_28,14
2020_29,11
2020_30,15
2020_31,10
2020_32,21
2020_33,19
2020_34,13
2020_35,16
2020_36,20
2020_37,11
2020_38,19
2020_39,23
2020_40,18
2020_41,17
2020_42,17
2020_43,19
2020_44,25
2020_45,20
2020_46,21
2020_47,22
2020_48,18
2020_49,23
2020_50,23
2020_51,18
2020_52,3
2021_00,20
2021_01,21
2021_02,18
2021_03,19
2021_04,30
2021_05,24
2021_06,23
2021_07,34
2021_08,31
2021_09,19
2021_10,26
2021_11,22
2021_12,25
2021_13,18
2021_14,20
2021_15,29
2021_16,39
2021_17,23
2021_18,36
2021_19,31
2021_20,32
2021_21,39
2021_22,34
2021_23,27
2021_24,23
2021_25,31
2021_26,26
2021_27,30
2021_28,28
2021_29,30
2021_30,27
2021_31,33
2021_32,31
2021_33,18
2021_34,33
2021_35,30
2021_36,35
2021_37,32
2021_38,30
2021_39,25
2021_40,28
2021_41,29
2021_42,35
2021_43,41
2021_44,42
2021_45,37
2021_46,39
2021_47,41
2021_48,40
2021_49,27
2021_50,39
2021_51,38
2021_52,4
2022_00,26
2022_01,38
2022_02,38
2022_03,47
2022_04,42
2022_05,40
2022_06,33
2022_07,33
2022_08,45
2022_09,48
2022_10,37
2022_11,45
2022_12,44
2022_13,40
2022_14,42
2022_15,37
2022_16,45
2022_17,46
2022_18,56
2022_19,55
2022_20,46
2022_21,45
2022_22,56
2022_23,57
2022_24,47
2022_25,38
2022_26,41
2022_27,54
2022_28,55
2022_29,60
2022_30,49
2022_31,49
2022_32,52
2022_33,41
2022_34,53
2022_35,46
2022_36,50
2022_37,41
2022_38,45
2022_39,56
2022_40,48
2022_41,59
2022_42,48
2022_43,55
2022_44,55
2022_45,71
2022_46,57
2022_47,56
2022_48,55
2022_49,51
2022_50,55
2022_51,53
2022_52,17
2023_00,41
2023_01,71
2023_02,72
2023_03,58
2023_04,66
2023_05,62
2023_06,62
2023_07,75
2023_08,62
2023_09,50
2023_10,58
2023_11,62
2023_12,70
2023_13,68
2023_14,51
2023_15,58
2023_16,69
2023_17,72
2023_18,53
2023_19,80
2023_20,62
2023_21,66
2023_22,60
2023_23,66
2023_24,53
2023_25,49
2023_26,61
2023_27,74
2023_28,64
2023_29,74
2023_30,69
2023_31,81
2023_32,55
2023_33,74
2023_34,60
2023_35,58
2023_36,78
2023_37,64
2023_38,61
2023_39,69
2023_40,76
2023_41,72
2023_42,78
2023_43,67
2023_44,53
2023_45,61
2023_46,81
2023_47,63
2023_48,74
2023_49,28
