year_week,count
2019_28,4
2019_29,4
2019_30,13
2019_31,10
2019_32,9
2019_33,15
2019_34,25
2019_35,19
2019_36,43
2019_37,29
2019_38,38
2019_39,49
2019_40,54
2019_41,47
2019_42,56
2019_43,72
2019_44,80
2019_45,50
2019_46,63
2019_47,65
2019_48,82
2019_49,67
2019_50,105
2019_51,85
2019_52,25
2020_00,78
2020_01,93
2020_02,110
2020_03,104
2020_04,95
2020_05,119
2020_06,109
2020_07,97
2020_08,110
2020_09,110
2020_10,105
2020_11,117
2020_12,136
2020_13,132
2020_14,125
2020_15,135
2020_16,125
2020_17,109
2020_18,157
2020_19,180
2020_20,179
2020_21,157
2020_22,183
2020_23,142
2020_24,174
2020_25,158
2020_26,168
2020_27,174
2020_28,199
2020_29,179
2020_30,194
2020_31,160
2020_32,205
2020_33,179
2020_34,174
2020_35,214
2020_36,216
2020_37,185
2020_38,218
2020_39,178
2020_40,182
2020_41,196
2020_42,211
2020_43,201
2020_44,224
2020_45,233
2020_46,221
2020_47,243
2020_48,256
2020_49,253
2020_50,206
2020_51,252
2020_52,76
2021_00,212
2021_01,230
2021_02,242
2021_03,256
2021_04,232
2021_05,285
2021_06,270
2021_07,238
2021_08,280
2021_09,267
2021_10,275
2021_11,314
2021_12,295
2021_13,266
2021_14,294
2021_15,266
2021_16,304
2021_17,289
2021_18,277
2021_19,316
2021_20,301
2021_21,306
2021_22,313
2021_23,311
2021_24,323
2021_25,341
2021_26,348
2021_27,315
2021_28,302
2021_29,320
2021_30,305
2021_31,361
2021_32,341
2021_33,392
2021_34,356
2021_35,349
2021_36,421
2021_37,329
2021_38,358
2021_39,370
2021_40,387
2021_41,407
2021_42,376
2021_43,366
2021_44,381
2021_45,408
2021_46,404
2021_47,390
2021_48,431
2021_49,391
2021_50,449
2021_51,435
2021_52,91
2022_00,369
2022_01,421
2022_02,427
2022_03,458
2022_04,423
2022_05,433
2022_06,455
2022_07,444
2022_08,445
2022_09,460
2022_10,466
2022_11,444
2022_12,533
2022_13,497
2022_14,469
2022_15,472
2022_16,485
2022_17,460
2022_18,532
2022_19,524
2022_20,532
2022_21,513
2022_22,542
2022_23,567
2022_24,567
2022_25,548
2022_26,522
2022_27,553
2022_28,498
2022_29,578
2022_30,547
2022_31,568
2022_32,564
2022_33,582
2022_34,624
2022_35,567
2022_36,531
2022_37,575
2022_38,543
2022_39,589
2022_40,603
2022_41,587
2022_42,589
2022_43,594
2022_44,621
2022_45,651
2022_46,611
2022_47,616
2022_48,598
2022_49,597
2022_50,588
2022_51,601
2022_52,196
2023_00,519
2023_01,644
2023_02,617
2023_03,687
2023_04,664
2023_05,581
2023_06,679
2023_07,733
2023_08,679
2023_09,669
2023_10,665
2023_11,665
2023_12,695
2023_13,714
2023_14,745
2023_15,741
2023_16,662
2023_17,671
2023_18,666
2023_19,722
2023_20,689
2023_21,705
2023_22,742
2023_23,704
2023_24,737
2023_25,738
2023_26,670
2023_27,708
2023_28,709
2023_29,772
2023_30,796
2023_31,768
2023_32,690
2023_33,721
2023_34,753
2023_35,712
2023_36,757
2023_37,795
2023_38,777
2023_39,707
2023_40,818
2023_41,743
2023_42,822
2023_43,727
2023_44,760
2023_45,821
2023_46,764
2023_47,802
2023_48,803
2023_49,328
