year_week,count
2019_30,1
2019_32,3
2019_33,3
2019_34,2
2019_35,3
2019_36,7
2019_37,4
2019_38,10
2019_39,8
2019_40,8
2019_41,16
2019_42,5
2019_43,17
2019_44,11
2019_45,8
2019_46,13
2019_47,17
2019_48,12
2019_49,12
2019_50,17
2019_51,15
2019_52,2
2020_00,25
2020_01,11
2020_02,18
2020_03,19
2020_04,17
2020_05,18
2020_06,20
2020_07,14
2020_08,25
2020_09,16
2020_10,15
2020_11,16
2020_12,27
2020_13,22
2020_14,29
2020_15,23
2020_16,29
2020_17,24
2020_18,22
2020_19,30
2020_20,22
2020_21,36
2020_22,23
2020_23,29
2020_24,34
2020_25,28
2020_26,31
2020_27,27
2020_28,32
2020_29,33
2020_30,27
2020_31,32
2020_32,28
2020_33,34
2020_34,31
2020_35,34
2020_36,31
2020_37,32
2020_38,33
2020_39,27
2020_40,40
2020_41,44
2020_42,31
2020_43,30
2020_44,35
2020_45,32
2020_46,39
2020_47,44
2020_48,42
2020_49,43
2020_50,36
2020_51,46
2020_52,13
2021_00,47
2021_01,47
2021_02,31
2021_03,47
2021_04,46
2021_05,49
2021_06,48
2021_07,45
2021_08,39
2021_09,45
2021_10,38
2021_11,61
2021_12,50
2021_13,48
2021_14,53
2021_15,44
2021_16,44
2021_17,64
2021_18,52
2021_19,53
2021_20,48
2021_21,48
2021_22,50
2021_23,66
2021_24,47
2021_25,52
2021_26,63
2021_27,49
2021_28,86
2021_29,61
2021_30,54
2021_31,49
2021_32,63
2021_33,79
2021_34,73
2021_35,70
2021_36,50
2021_37,64
2021_38,70
2021_39,49
2021_40,72
2021_41,49
2021_42,62
2021_43,66
2021_44,65
2021_45,46
2021_46,57
2021_47,54
2021_48,76
2021_49,75
2021_50,59
2021_51,81
2021_52,14
2022_00,70
2022_01,66
2022_02,76
2022_03,81
2022_04,83
2022_05,72
2022_06,73
2022_07,87
2022_08,89
2022_09,81
2022_10,70
2022_11,90
2022_12,82
2022_13,87
2022_14,89
2022_15,76
2022_16,101
2022_17,79
2022_18,87
2022_19,82
2022_20,99
2022_21,93
2022_22,110
2022_23,105
2022_24,97
2022_25,93
2022_26,92
2022_27,107
2022_28,94
2022_29,81
2022_30,104
2022_31,77
2022_32,86
2022_33,77
2022_34,98
2022_35,101
2022_36,96
2022_37,101
2022_38,85
2022_39,109
2022_40,101
2022_41,103
2022_42,102
2022_43,106
2022_44,91
2022_45,87
2022_46,115
2022_47,96
2022_48,105
2022_49,115
2022_50,105
2022_51,100
2022_52,40
2023_00,68
2023_01,104
2023_02,104
2023_03,107
2023_04,114
2023_05,111
2023_06,122
2023_07,117
2023_08,132
2023_09,105
2023_10,123
2023_11,105
2023_12,127
2023_13,116
2023_14,115
2023_15,135
2023_16,108
2023_17,113
2023_18,104
2023_19,113
2023_20,129
2023_21,124
2023_22,125
2023_23,141
2023_24,128
2023_25,120
2023_26,141
2023_27,105
2023_28,114
2023_29,131
2023_30,133
2023_31,131
2023_32,136
2023_33,136
2023_34,136
2023_35,137
2023_36,131
2023_37,123
2023_38,121
2023_39,115
2023_40,130
2023_41,134
2023_42,115
2023_43,130
2023_44,132
2023_45,131
2023_46,127
2023_47,147
2023_48,116
2023_49,64
