year_week,count
2019_28,2
2019_29,1
2019_30,1
2019_33,1
2019_34,1
2019_35,2
2019_36,5
2019_37,2
2019_38,5
2019_39,5
2019_40,2
2019_41,3
2019_42,4
2019_43,1
2019_44,2
2019_45,6
2019_46,4
2019_47,5
2019_48,4
2019_49,9
2019_50,4
2019_51,7
2020_00,6
2020_01,8
2020_02,3
2020_03,10
2020_04,6
2020_05,12
2020_06,9
2020_07,10
2020_08,5
2020_09,8
2020_10,12
2020_11,7
2020_12,13
2020_13,14
2020_14,6
2020_15,10
2020_16,9
2020_17,10
2020_18,11
2020_19,8
2020_20,7
2020_21,7
2020_22,8
2020_23,9
2020_24,10
2020_25,9
2020_26,14
2020_27,15
2020_28,11
2020_29,23
2020_30,11
2020_31,10
2020_32,12
2020_33,16
2020_34,13
2020_35,16
2020_36,20
2020_37,15
2020_38,18
2020_39,18
2020_40,17
2020_41,27
2020_42,28
2020_43,20
2020_44,23
2020_45,25
2020_46,14
2020_47,18
2020_48,14
2020_49,26
2020_50,17
2020_51,12
2020_52,7
2021_00,15
2021_01,20
2021_02,30
2021_03,23
2021_04,31
2021_05,21
2021_06,23
2021_07,15
2021_08,21
2021_09,32
2021_10,22
2021_11,27
2021_12,27
2021_13,26
2021_14,19
2021_15,14
2021_16,28
2021_17,16
2021_18,17
2021_19,26
2021_20,17
2021_21,30
2021_22,39
2021_23,24
2021_24,16
2021_25,24
2021_26,28
2021_27,22
2021_28,24
2021_29,19
2021_30,27
2021_31,28
2021_32,20
2021_33,31
2021_34,22
2021_35,30
2021_36,27
2021_37,38
2021_38,37
2021_39,32
2021_40,24
2021_41,33
2021_42,34
2021_43,31
2021_44,27
2021_45,31
2021_46,30
2021_47,38
2021_48,25
2021_49,39
2021_50,39
2021_51,40
2021_52,8
2022_00,31
2022_01,39
2022_02,39
2022_03,42
2022_04,30
2022_05,42
2022_06,32
2022_07,36
2022_08,30
2022_09,30
2022_10,28
2022_11,47
2022_12,31
2022_13,34
2022_14,31
2022_15,39
2022_16,33
2022_17,39
2022_18,41
2022_19,43
2022_20,40
2022_21,46
2022_22,32
2022_23,44
2022_24,36
2022_25,46
2022_26,43
2022_27,36
2022_28,26
2022_29,44
2022_30,47
2022_31,42
2022_32,25
2022_33,58
2022_34,39
2022_35,43
2022_36,44
2022_37,55
2022_38,43
2022_39,28
2022_40,44
2022_41,40
2022_42,41
2022_43,52
2022_44,54
2022_45,43
2022_46,42
2022_47,60
2022_48,42
2022_49,49
2022_50,48
2022_51,49
2022_52,15
2023_00,40
2023_01,35
2023_02,49
2023_03,64
2023_04,59
2023_05,71
2023_06,48
2023_07,34
2023_08,59
2023_09,50
2023_10,56
2023_11,52
2023_12,50
2023_13,45
2023_14,53
2023_15,48
2023_16,48
2023_17,39
2023_18,50
2023_19,55
2023_20,56
2023_21,47
2023_22,60
2023_23,43
2023_24,62
2023_25,44
2023_26,48
2023_27,58
2023_28,58
2023_29,59
2023_30,44
2023_31,55
2023_32,61
2023_33,46
2023_34,74
2023_35,49
2023_36,71
2023_37,49
2023_38,59
2023_39,57
2023_40,58
2023_41,75
2023_42,53
2023_43,73
2023_44,66
2023_45,53
2023_46,65
2023_47,63
2023_48,67
2023_49,27
