year_week,count
2019_27,1
2019_28,1
2019_29,3
2019_30,3
2019_31,3
2019_32,2
2019_33,3
2019_34,6
2019_35,6
2019_36,5
2019_37,5
2019_38,9
2019_39,8
2019_40,13
2019_41,11
2019_42,14
2019_43,14
2019_44,14
2019_45,14
2019_46,15
2019_47,21
2019_48,23
2019_49,17
2019_50,15
2019_51,21
2019_52,6
2020_00,17
2020_01,27
2020_02,21
2020_03,20
2020_04,33
2020_05,17
2020_06,19
2020_07,29
2020_08,23
2020_09,28
2020_10,28
2020_11,29
2020_12,30
2020_13,32
2020_14,35
2020_15,33
2020_16,37
2020_17,28
2020_18,37
2020_19,30
2020_20,37
2020_21,37
2020_22,34
2020_23,31
2020_24,43
2020_25,49
2020_26,38
2020_27,45
2020_28,49
2020_29,42
2020_30,57
2020_31,52
2020_32,47
2020_33,53
2020_34,47
2020_35,43
2020_36,35
2020_37,39
2020_38,52
2020_39,53
2020_40,51
2020_41,40
2020_42,45
2020_43,53
2020_44,53
2020_45,44
2020_46,52
2020_47,68
2020_48,54
2020_49,57
2020_50,48
2020_51,60
2020_52,21
2021_00,48
2021_01,69
2021_02,59
2021_03,47
2021_04,50
2021_05,61
2021_06,58
2021_07,63
2021_08,69
2021_09,67
2021_10,67
2021_11,77
2021_12,64
2021_13,73
2021_14,67
2021_15,69
2021_16,78
2021_17,76
2021_18,56
2021_19,85
2021_20,70
2021_21,63
2021_22,84
2021_23,75
2021_24,74
2021_25,72
2021_26,94
2021_27,74
2021_28,75
2021_29,64
2021_30,78
2021_31,86
2021_32,75
2021_33,77
2021_34,81
2021_35,98
2021_36,98
2021_37,78
2021_38,87
2021_39,79
2021_40,88
2021_41,76
2021_42,83
2021_43,92
2021_44,91
2021_45,108
2021_46,95
2021_47,102
2021_48,106
2021_49,100
2021_50,105
2021_51,106
2021_52,16
2022_00,86
2022_01,105
2022_02,102
2022_03,106
2022_04,103
2022_05,118
2022_06,97
2022_07,119
2022_08,122
2022_09,107
2022_10,110
2022_11,111
2022_12,127
2022_13,119
2022_14,107
2022_15,102
2022_16,94
2022_17,127
2022_18,121
2022_19,125
2022_20,137
2022_21,136
2022_22,135
2022_23,129
2022_24,138
2022_25,146
2022_26,110
2022_27,128
2022_28,126
2022_29,140
2022_30,108
2022_31,135
2022_32,125
2022_33,113
2022_34,121
2022_35,127
2022_36,125
2022_37,114
2022_38,144
2022_39,133
2022_40,140
2022_41,128
2022_42,152
2022_43,146
2022_44,130
2022_45,150
2022_46,151
2022_47,151
2022_48,133
2022_49,165
2022_50,142
2022_51,155
2022_52,48
2023_00,132
2023_01,164
2023_02,134
2023_03,148
2023_04,166
2023_05,170
2023_06,149
2023_07,178
2023_08,160
2023_09,147
2023_10,157
2023_11,154
2023_12,180
2023_13,156
2023_14,162
2023_15,146
2023_16,159
2023_17,164
2023_18,140
2023_19,166
2023_20,156
2023_21,177
2023_22,164
2023_23,206
2023_24,178
2023_25,168
2023_26,182
2023_27,184
2023_28,173
2023_29,198
2023_30,179
2023_31,168
2023_32,176
2023_33,181
2023_34,188
2023_35,188
2023_36,193
2023_37,167
2023_38,206
2023_39,170
2023_40,186
2023_41,163
2023_42,178
2023_43,163
2023_44,189
2023_45,199
2023_46,204
2023_47,201
2023_48,192
2023_49,80
