year_week,count
2019_32,1
2019_34,1
2019_35,2
2019_36,2
2019_37,2
2019_38,2
2019_39,3
2019_40,3
2019_41,7
2019_43,6
2019_44,3
2019_45,2
2019_46,5
2019_47,8
2019_48,6
2019_49,6
2019_50,8
2019_51,8
2020_00,6
2020_01,5
2020_02,8
2020_03,5
2020_04,10
2020_05,6
2020_06,3
2020_07,13
2020_08,12
2020_09,9
2020_10,13
2020_11,9
2020_12,10
2020_13,15
2020_14,9
2020_15,9
2020_16,14
2020_17,12
2020_18,10
2020_19,14
2020_20,7
2020_21,14
2020_22,12
2020_23,5
2020_24,20
2020_25,14
2020_26,10
2020_27,13
2020_28,16
2020_29,20
2020_30,24
2020_31,21
2020_32,17
2020_33,18
2020_34,11
2020_35,21
2020_36,19
2020_37,13
2020_38,20
2020_39,20
2020_40,19
2020_41,28
2020_42,22
2020_43,28
2020_44,17
2020_45,25
2020_46,27
2020_47,14
2020_48,20
2020_49,16
2020_50,11
2020_51,19
2020_52,9
2021_00,23
2021_01,17
2021_02,19
2021_03,21
2021_04,25
2021_05,18
2021_06,10
2021_07,17
2021_08,23
2021_09,29
2021_10,17
2021_11,20
2021_12,17
2021_13,28
2021_14,21
2021_15,22
2021_16,22
2021_17,25
2021_18,27
2021_19,22
2021_20,30
2021_21,25
2021_22,18
2021_23,23
2021_24,16
2021_25,49
2021_26,32
2021_27,22
2021_28,25
2021_29,28
2021_30,31
2021_31,30
2021_32,23
2021_33,25
2021_34,34
2021_35,33
2021_36,36
2021_37,31
2021_38,32
2021_39,48
2021_40,35
2021_41,36
2021_42,37
2021_43,44
2021_44,30
2021_45,27
2021_46,23
2021_47,31
2021_48,37
2021_49,35
2021_50,45
2021_51,42
2021_52,7
2022_00,23
2022_01,44
2022_02,37
2022_03,27
2022_04,38
2022_05,32
2022_06,37
2022_07,33
2022_08,30
2022_09,37
2022_10,41
2022_11,34
2022_12,41
2022_13,41
2022_14,28
2022_15,27
2022_16,40
2022_17,32
2022_18,26
2022_19,37
2022_20,38
2022_21,37
2022_22,36
2022_23,34
2022_24,39
2022_25,47
2022_26,43
2022_27,46
2022_28,33
2022_29,39
2022_30,47
2022_31,41
2022_32,42
2022_33,40
2022_34,53
2022_35,38
2022_36,39
2022_37,42
2022_38,39
2022_39,48
2022_40,58
2022_41,31
2022_42,56
2022_43,58
2022_44,42
2022_45,35
2022_46,49
2022_47,48
2022_48,49
2022_49,43
2022_50,48
2022_51,37
2022_52,16
2023_00,40
2023_01,43
2023_02,49
2023_03,48
2023_04,61
2023_05,44
2023_06,44
2023_07,43
2023_08,48
2023_09,51
2023_10,56
2023_11,65
2023_12,64
2023_13,58
2023_14,42
2023_15,55
2023_16,45
2023_17,58
2023_18,43
2023_19,67
2023_20,43
2023_21,62
2023_22,57
2023_23,68
2023_24,61
2023_25,70
2023_26,41
2023_27,74
2023_28,50
2023_29,77
2023_30,57
2023_31,53
2023_32,55
2023_33,66
2023_34,61
2023_35,58
2023_36,68
2023_37,62
2023_38,68
2023_39,66
2023_40,61
2023_41,64
2023_42,61
2023_43,70
2023_44,58
2023_45,61
2023_46,68
2023_47,58
2023_48,55
2023_49,21
