year_week,count
2019_32,1
2019_33,1
2019_35,2
2019_36,1
2019_38,1
2019_44,3
2019_46,1
2019_47,3
2019_48,1
2019_49,2
2019_50,3
2020_00,2
2020_01,1
2020_02,1
2020_04,1
2020_05,2
2020_06,1
2020_07,2
2020_08,1
2020_09,2
2020_10,2
2020_11,3
2020_14,2
2020_15,5
2020_18,1
2020_19,2
2020_20,3
2020_21,3
2020_22,2
2020_23,2
2020_24,4
2020_26,3
2020_27,5
2020_28,2
2020_29,5
2020_30,3
2020_31,3
2020_32,3
2020_33,2
2020_34,6
2020_35,6
2020_36,3
2020_37,2
2020_38,2
2020_39,5
2020_40,1
2020_41,3
2020_42,2
2020_43,2
2020_44,3
2020_45,7
2020_46,2
2020_47,7
2020_48,4
2020_49,5
2020_50,2
2020_51,6
2020_52,2
2021_00,5
2021_01,4
2021_02,5
2021_03,3
2021_04,3
2021_05,4
2021_06,4
2021_07,5
2021_08,6
2021_09,3
2021_10,7
2021_11,9
2021_12,5
2021_13,4
2021_14,5
2021_15,4
2021_16,8
2021_17,3
2021_18,5
2021_19,5
2021_20,5
2021_21,4
2021_22,7
2021_23,3
2021_24,5
2021_25,3
2021_26,3
2021_27,9
2021_28,2
2021_29,7
2021_30,7
2021_31,3
2021_32,5
2021_33,4
2021_34,5
2021_35,6
2021_36,9
2021_37,4
2021_38,4
2021_39,4
2021_40,7
2021_41,6
2021_42,9
2021_43,7
2021_44,3
2021_45,3
2021_46,6
2021_47,8
2021_48,12
2021_49,5
2021_50,7
2021_51,15
2021_52,1
2022_00,7
2022_01,9
2022_02,4
2022_03,6
2022_04,5
2022_05,8
2022_06,10
2022_07,6
2022_08,10
2022_09,11
2022_10,12
2022_11,12
2022_12,7
2022_13,8
2022_14,10
2022_15,10
2022_16,5
2022_17,7
2022_18,3
2022_19,8
2022_20,6
2022_21,8
2022_22,10
2022_23,5
2022_24,17
2022_25,9
2022_26,9
2022_27,5
2022_28,10
2022_29,9
2022_30,11
2022_31,5
2022_32,18
2022_33,9
2022_34,17
2022_35,9
2022_36,7
2022_37,8
2022_38,11
2022_39,12
2022_40,8
2022_41,6
2022_42,8
2022_43,8
2022_44,6
2022_45,10
2022_46,3
2022_47,6
2022_48,8
2022_49,13
2022_50,10
2022_51,15
2022_52,2
2023_00,6
2023_01,10
2023_02,10
2023_03,12
2023_04,6
2023_05,6
2023_06,10
2023_07,8
2023_08,15
2023_09,12
2023_10,9
2023_11,10
2023_12,10
2023_13,13
2023_14,10
2023_15,15
2023_16,12
2023_17,13
2023_18,10
2023_19,18
2023_20,12
2023_21,11
2023_22,12
2023_23,10
2023_24,12
2023_25,5
2023_26,8
2023_27,10
2023_28,15
2023_29,13
2023_30,16
2023_31,9
2023_32,12
2023_33,8
2023_34,11
2023_35,11
2023_36,13
2023_37,12
2023_38,14
2023_39,14
2023_40,9
2023_41,7
2023_42,9
2023_43,17
2023_44,16
2023_45,13
2023_46,24
2023_47,12
2023_48,13
2023_49,5
