year_week,count
2019_35,1
2019_38,1
2019_39,2
2019_40,2
2019_43,1
2019_44,1
2019_46,2
2019_48,2
2019_49,1
2019_50,1
2020_00,1
2020_01,1
2020_03,1
2020_05,1
2020_08,1
2020_11,1
2020_12,1
2020_13,2
2020_16,1
2020_17,1
2020_18,1
2020_20,1
2020_21,1
2020_22,3
2020_24,3
2020_26,1
2020_27,3
2020_28,1
2020_29,1
2020_30,1
2020_31,1
2020_32,1
2020_33,3
2020_34,1
2020_35,3
2020_36,1
2020_37,1
2020_38,1
2020_39,2
2020_40,1
2020_41,1
2020_42,1
2020_43,1
2020_44,2
2020_45,3
2020_47,1
2020_48,1
2020_49,1
2020_50,1
2020_51,2
2020_52,1
2021_01,1
2021_02,1
2021_03,1
2021_04,2
2021_06,2
2021_07,2
2021_08,2
2021_09,1
2021_10,2
2021_12,2
2021_13,1
2021_14,2
2021_15,3
2021_16,2
2021_17,3
2021_19,2
2021_20,3
2021_22,2
2021_24,2
2021_26,1
2021_29,1
2021_31,3
2021_32,1
2021_33,1
2021_34,1
2021_35,1
2021_36,4
2021_37,3
2021_38,4
2021_39,4
2021_41,2
2021_42,5
2021_43,3
2021_44,2
2021_46,1
2021_47,2
2021_48,1
2021_49,1
2021_50,2
2021_51,1
2022_00,2
2022_01,3
2022_03,1
2022_04,4
2022_05,5
2022_08,1
2022_09,2
2022_10,3
2022_11,4
2022_12,8
2022_13,3
2022_14,3
2022_15,4
2022_16,4
2022_17,3
2022_18,2
2022_19,3
2022_20,1
2022_21,3
2022_22,4
2022_23,2
2022_24,1
2022_25,3
2022_26,2
2022_27,7
2022_28,2
2022_29,4
2022_30,3
2022_31,6
2022_32,2
2022_34,5
2022_35,2
2022_36,2
2022_37,4
2022_38,2
2022_39,4
2022_40,5
2022_41,4
2022_42,3
2022_43,3
2022_44,5
2022_45,1
2022_46,4
2022_47,4
2022_48,5
2022_49,3
2022_50,3
2022_51,2
2022_52,1
2023_00,4
2023_01,2
2023_02,2
2023_04,7
2023_05,3
2023_06,2
2023_07,3
2023_08,1
2023_09,2
2023_10,2
2023_11,2
2023_12,5
2023_14,2
2023_15,4
2023_16,4
2023_17,3
2023_18,3
2023_19,5
2023_20,2
2023_22,1
2023_23,3
2023_24,2
2023_25,3
2023_26,4
2023_27,1
2023_28,4
2023_29,7
2023_30,4
2023_31,3
2023_33,1
2023_34,2
2023_35,3
2023_36,9
2023_37,5
2023_38,9
2023_39,8
2023_40,4
2023_41,3
2023_42,3
2023_43,3
2023_44,6
2023_45,3
2023_46,7
2023_47,1
2023_48,3
2023_49,1
