year_week,count
2019_36,1
2019_37,1
2019_39,1
2019_41,1
2019_43,2
2019_44,3
2019_46,2
2019_47,2
2019_48,3
2019_49,1
2019_50,1
2019_51,2
2020_00,1
2020_01,2
2020_02,4
2020_04,3
2020_05,2
2020_06,4
2020_07,3
2020_08,3
2020_09,2
2020_10,4
2020_11,1
2020_12,6
2020_13,4
2020_14,3
2020_16,1
2020_17,1
2020_18,2
2020_19,2
2020_20,2
2020_21,5
2020_22,6
2020_23,2
2020_24,4
2020_25,1
2020_26,1
2020_27,6
2020_28,2
2020_29,1
2020_30,4
2020_31,3
2020_32,4
2020_33,3
2020_34,5
2020_35,6
2020_36,8
2020_37,4
2020_38,7
2020_39,6
2020_40,3
2020_41,2
2020_42,6
2020_43,4
2020_44,7
2020_45,12
2020_46,2
2020_47,8
2020_48,7
2020_49,5
2020_50,4
2020_51,6
2020_52,4
2021_00,4
2021_01,9
2021_02,4
2021_03,7
2021_04,8
2021_05,6
2021_06,7
2021_07,5
2021_08,6
2021_09,4
2021_10,3
2021_11,9
2021_12,13
2021_13,7
2021_14,7
2021_15,5
2021_16,3
2021_17,9
2021_18,9
2021_19,2
2021_20,6
2021_21,3
2021_22,3
2021_23,15
2021_24,9
2021_25,4
2021_26,8
2021_27,6
2021_28,5
2021_29,7
2021_30,7
2021_31,5
2021_32,4
2021_33,7
2021_34,8
2021_35,13
2021_36,10
2021_37,9
2021_38,6
2021_39,4
2021_40,10
2021_41,6
2021_42,10
2021_43,11
2021_44,8
2021_45,15
2021_46,10
2021_47,7
2021_48,7
2021_49,11
2021_50,10
2021_51,13
2021_52,3
2022_00,8
2022_01,6
2022_02,8
2022_03,7
2022_04,12
2022_05,16
2022_06,10
2022_07,12
2022_08,14
2022_09,7
2022_10,13
2022_11,9
2022_12,15
2022_13,11
2022_14,8
2022_15,10
2022_16,9
2022_17,11
2022_18,13
2022_19,12
2022_20,11
2022_21,18
2022_22,9
2022_23,12
2022_24,7
2022_25,10
2022_26,8
2022_27,6
2022_28,10
2022_29,11
2022_30,12
2022_31,8
2022_32,15
2022_33,13
2022_34,17
2022_35,11
2022_36,9
2022_37,15
2022_38,14
2022_39,13
2022_40,17
2022_41,15
2022_42,8
2022_43,15
2022_44,13
2022_45,11
2022_46,15
2022_47,11
2022_48,16
2022_49,12
2022_50,22
2022_51,12
2022_52,3
2023_00,13
2023_01,16
2023_02,11
2023_03,7
2023_04,14
2023_05,17
2023_06,17
2023_07,12
2023_08,13
2023_09,15
2023_10,6
2023_11,18
2023_12,19
2023_13,7
2023_14,11
2023_15,19
2023_16,12
2023_17,18
2023_18,13
2023_19,13
2023_20,16
2023_21,19
2023_22,11
2023_23,13
2023_24,13
2023_25,10
2023_26,17
2023_27,20
2023_28,12
2023_29,19
2023_30,17
2023_31,17
2023_32,16
2023_33,14
2023_34,19
2023_35,10
2023_36,15
2023_37,15
2023_38,16
2023_39,15
2023_40,13
2023_41,22
2023_42,13
2023_43,13
2023_44,15
2023_45,21
2023_46,11
2023_47,12
2023_48,11
2023_49,6
