year_week,count
2019_28,1
2019_31,2
2019_32,2
2019_33,2
2019_34,4
2019_35,2
2019_36,7
2019_37,3
2019_38,7
2019_39,4
2019_40,4
2019_41,9
2019_42,8
2019_43,7
2019_44,8
2019_45,9
2019_46,6
2019_47,10
2019_48,5
2019_49,17
2019_50,8
2019_51,16
2020_00,9
2020_01,12
2020_02,14
2020_03,12
2020_04,6
2020_05,18
2020_06,19
2020_07,19
2020_08,14
2020_09,17
2020_10,25
2020_11,21
2020_12,16
2020_13,18
2020_14,19
2020_15,18
2020_16,21
2020_17,21
2020_18,13
2020_19,21
2020_20,20
2020_21,16
2020_22,29
2020_23,21
2020_24,13
2020_25,17
2020_26,22
2020_27,24
2020_28,30
2020_29,37
2020_30,26
2020_31,23
2020_32,34
2020_33,25
2020_34,25
2020_35,32
2020_36,39
2020_37,39
2020_38,29
2020_39,22
2020_40,33
2020_41,29
2020_42,35
2020_43,30
2020_44,33
2020_45,36
2020_46,38
2020_47,47
2020_48,39
2020_49,48
2020_50,32
2020_51,36
2020_52,11
2021_00,23
2021_01,44
2021_02,42
2021_03,28
2021_04,42
2021_05,49
2021_06,46
2021_07,48
2021_08,41
2021_09,44
2021_10,54
2021_11,43
2021_12,55
2021_13,42
2021_14,51
2021_15,42
2021_16,45
2021_17,46
2021_18,44
2021_19,51
2021_20,45
2021_21,47
2021_22,48
2021_23,50
2021_24,51
2021_25,58
2021_26,47
2021_27,47
2021_28,52
2021_29,60
2021_30,64
2021_31,49
2021_32,50
2021_33,53
2021_34,62
2021_35,63
2021_36,62
2021_37,54
2021_38,73
2021_39,61
2021_40,71
2021_41,57
2021_42,65
2021_43,76
2021_44,54
2021_45,67
2021_46,65
2021_47,73
2021_48,61
2021_49,78
2021_50,52
2021_51,64
2021_52,13
2022_00,47
2022_01,61
2022_02,82
2022_03,76
2022_04,59
2022_05,75
2022_06,70
2022_07,77
2022_08,82
2022_09,73
2022_10,78
2022_11,70
2022_12,63
2022_13,68
2022_14,73
2022_15,54
2022_16,70
2022_17,72
2022_18,65
2022_19,88
2022_20,72
2022_21,71
2022_22,78
2022_23,74
2022_24,74
2022_25,91
2022_26,77
2022_27,88
2022_28,64
2022_29,91
2022_30,90
2022_31,71
2022_32,88
2022_33,102
2022_34,92
2022_35,71
2022_36,94
2022_37,86
2022_38,94
2022_39,73
2022_40,85
2022_41,88
2022_42,95
2022_43,103
2022_44,93
2022_45,81
2022_46,92
2022_47,99
2022_48,101
2022_49,94
2022_50,69
2022_51,100
2022_52,31
2023_00,74
2023_01,112
2023_02,91
2023_03,107
2023_04,99
2023_05,97
2023_06,108
2023_07,88
2023_08,98
2023_09,91
2023_10,107
2023_11,100
2023_12,104
2023_13,112
2023_14,108
2023_15,95
2023_16,103
2023_17,98
2023_18,98
2023_19,116
2023_20,116
2023_21,117
2023_22,127
2023_23,102
2023_24,101
2023_25,118
2023_26,101
2023_27,117
2023_28,107
2023_29,98
2023_30,112
2023_31,121
2023_32,130
2023_33,137
2023_34,124
2023_35,90
2023_36,146
2023_37,106
2023_38,137
2023_39,112
2023_40,129
2023_41,114
2023_42,119
2023_43,103
2023_44,110
2023_45,127
2023_46,123
2023_47,113
2023_48,125
2023_49,49
