year_week,count
2019_27,1
2019_29,1
2019_30,4
2019_31,4
2019_32,1
2019_33,2
2019_34,2
2019_35,6
2019_36,5
2019_37,6
2019_38,4
2019_39,3
2019_40,4
2019_41,9
2019_42,7
2019_43,10
2019_44,8
2019_45,7
2019_46,10
2019_47,9
2019_48,13
2019_49,14
2019_50,15
2019_51,19
2019_52,3
2020_00,15
2020_01,18
2020_02,16
2020_03,11
2020_04,8
2020_05,13
2020_06,16
2020_07,15
2020_08,14
2020_09,17
2020_10,17
2020_11,14
2020_12,10
2020_13,14
2020_14,16
2020_15,14
2020_16,21
2020_17,21
2020_18,17
2020_19,14
2020_20,14
2020_21,27
2020_22,25
2020_23,19
2020_24,18
2020_25,24
2020_26,23
2020_27,15
2020_28,17
2020_29,24
2020_30,25
2020_31,25
2020_32,27
2020_33,27
2020_34,29
2020_35,34
2020_36,28
2020_37,16
2020_38,29
2020_39,25
2020_40,16
2020_41,30
2020_42,25
2020_43,27
2020_44,36
2020_45,25
2020_46,26
2020_47,43
2020_48,36
2020_49,40
2020_50,33
2020_51,37
2020_52,11
2021_00,26
2021_01,34
2021_02,32
2021_03,31
2021_04,26
2021_05,28
2021_06,39
2021_07,32
2021_08,46
2021_09,25
2021_10,43
2021_11,44
2021_12,50
2021_13,34
2021_14,39
2021_15,34
2021_16,31
2021_17,53
2021_18,44
2021_19,38
2021_20,46
2021_21,31
2021_22,43
2021_23,44
2021_24,47
2021_25,55
2021_26,58
2021_27,51
2021_28,51
2021_29,37
2021_30,50
2021_31,40
2021_32,58
2021_33,57
2021_34,53
2021_35,55
2021_36,50
2021_37,45
2021_38,54
2021_39,51
2021_40,45
2021_41,50
2021_42,46
2021_43,59
2021_44,46
2021_45,46
2021_46,54
2021_47,61
2021_48,57
2021_49,68
2021_50,66
2021_51,53
2021_52,10
2022_00,45
2022_01,73
2022_02,52
2022_03,61
2022_04,55
2022_05,61
2022_06,69
2022_07,62
2022_08,66
2022_09,70
2022_10,59
2022_11,67
2022_12,63
2022_13,58
2022_14,61
2022_15,68
2022_16,67
2022_17,80
2022_18,66
2022_19,89
2022_20,90
2022_21,74
2022_22,83
2022_23,82
2022_24,60
2022_25,72
2022_26,81
2022_27,72
2022_28,69
2022_29,88
2022_30,101
2022_31,72
2022_32,69
2022_33,78
2022_34,88
2022_35,73
2022_36,69
2022_37,85
2022_38,71
2022_39,99
2022_40,80
2022_41,85
2022_42,79
2022_43,90
2022_44,94
2022_45,87
2022_46,78
2022_47,89
2022_48,84
2022_49,92
2022_50,82
2022_51,85
2022_52,25
2023_00,71
2023_01,91
2023_02,76
2023_03,90
2023_04,89
2023_05,88
2023_06,85
2023_07,88
2023_08,92
2023_09,100
2023_10,94
2023_11,101
2023_12,101
2023_13,111
2023_14,85
2023_15,102
2023_16,92
2023_17,87
2023_18,102
2023_19,100
2023_20,82
2023_21,91
2023_22,100
2023_23,96
2023_24,120
2023_25,98
2023_26,80
2023_27,115
2023_28,97
2023_29,117
2023_30,113
2023_31,124
2023_32,96
2023_33,107
2023_34,99
2023_35,90
2023_36,109
2023_37,104
2023_38,96
2023_39,103
2023_40,109
2023_41,98
2023_42,99
2023_43,108
2023_44,113
2023_45,102
2023_46,104
2023_47,116
2023_48,131
2023_49,47
