year_week,count
2019_30,1
2019_31,1
2019_32,1
2019_36,1
2019_37,1
2019_39,1
2019_40,3
2019_41,1
2019_42,1
2019_43,1
2019_46,2
2019_48,1
2019_49,1
2019_51,1
2020_01,3
2020_03,2
2020_05,1
2020_07,1
2020_09,1
2020_10,4
2020_11,1
2020_12,2
2020_14,1
2020_16,1
2020_17,1
2020_18,2
2020_19,3
2020_20,2
2020_21,1
2020_22,2
2020_24,2
2020_25,3
2020_30,3
2020_31,1
2020_32,2
2020_33,1
2020_34,1
2020_35,3
2020_36,2
2020_37,1
2020_38,4
2020_40,3
2020_41,3
2020_42,4
2020_43,2
2020_44,3
2020_45,1
2020_46,2
2020_47,4
2020_48,2
2020_49,2
2020_50,2
2020_51,1
2020_52,1
2021_00,3
2021_01,2
2021_02,5
2021_03,1
2021_04,2
2021_05,1
2021_06,3
2021_07,2
2021_09,2
2021_10,2
2021_11,2
2021_12,2
2021_13,3
2021_14,1
2021_15,1
2021_16,3
2021_17,6
2021_18,10
2021_19,2
2021_20,5
2021_21,5
2021_22,4
2021_24,5
2021_25,3
2021_26,6
2021_27,2
2021_28,5
2021_29,3
2021_30,2
2021_31,4
2021_32,5
2021_33,3
2021_34,4
2021_35,5
2021_36,3
2021_37,3
2021_38,5
2021_39,3
2021_40,2
2021_41,2
2021_42,10
2021_43,8
2021_44,6
2021_45,3
2021_46,7
2021_47,2
2021_48,5
2021_49,1
2021_50,5
2021_51,2
2021_52,1
2022_00,3
2022_01,6
2022_02,2
2022_03,6
2022_04,6
2022_05,4
2022_06,4
2022_07,9
2022_08,4
2022_09,6
2022_10,5
2022_11,5
2022_12,5
2022_13,1
2022_14,2
2022_15,5
2022_16,7
2022_17,6
2022_18,5
2022_19,6
2022_20,8
2022_21,3
2022_22,9
2022_23,5
2022_24,10
2022_25,12
2022_26,5
2022_27,4
2022_28,3
2022_29,11
2022_30,6
2022_31,9
2022_32,7
2022_33,7
2022_34,4
2022_35,5
2022_36,9
2022_37,7
2022_38,5
2022_39,10
2022_40,10
2022_41,7
2022_42,4
2022_43,9
2022_44,3
2022_45,2
2022_46,8
2022_47,10
2022_48,5
2022_49,5
2022_50,8
2022_51,7
2023_00,4
2023_01,4
2023_02,8
2023_03,7
2023_04,7
2023_05,8
2023_06,7
2023_07,5
2023_08,3
2023_09,10
2023_10,10
2023_11,5
2023_12,10
2023_13,1
2023_14,10
2023_15,10
2023_16,8
2023_17,7
2023_18,4
2023_19,10
2023_20,9
2023_21,10
2023_22,6
2023_23,7
2023_24,8
2023_25,6
2023_26,7
2023_27,8
2023_28,7
2023_29,10
2023_30,8
2023_31,9
2023_32,6
2023_33,9
2023_34,5
2023_35,6
2023_36,7
2023_37,7
2023_38,7
2023_39,7
2023_40,5
2023_41,5
2023_42,11
2023_43,5
2023_44,4
2023_45,11
2023_46,11
2023_47,7
2023_48,5
2023_49,3
