year_week,count
2019_32,1
2019_33,3
2019_34,2
2019_35,7
2019_36,4
2019_37,2
2019_38,2
2019_39,2
2019_40,6
2019_41,4
2019_42,4
2019_43,3
2019_44,6
2019_45,4
2019_46,4
2019_47,9
2019_48,3
2019_49,10
2019_50,5
2019_51,7
2019_52,2
2020_00,11
2020_01,5
2020_02,13
2020_03,8
2020_04,22
2020_05,8
2020_06,11
2020_07,9
2020_08,8
2020_09,13
2020_10,8
2020_11,8
2020_12,8
2020_13,9
2020_14,12
2020_15,3
2020_16,16
2020_17,10
2020_18,14
2020_19,17
2020_20,10
2020_21,10
2020_22,7
2020_23,18
2020_24,17
2020_25,11
2020_26,16
2020_27,15
2020_28,11
2020_29,21
2020_30,18
2020_31,9
2020_32,20
2020_33,19
2020_34,14
2020_35,32
2020_36,21
2020_37,16
2020_38,30
2020_39,22
2020_40,16
2020_41,13
2020_42,22
2020_43,15
2020_44,22
2020_45,23
2020_46,18
2020_47,20
2020_48,23
2020_49,24
2020_50,16
2020_51,17
2020_52,7
2021_00,17
2021_01,32
2021_02,27
2021_03,27
2021_04,18
2021_05,28
2021_06,27
2021_07,18
2021_08,17
2021_09,27
2021_10,18
2021_11,32
2021_12,25
2021_13,21
2021_14,25
2021_15,33
2021_16,26
2021_17,22
2021_18,22
2021_19,31
2021_20,30
2021_21,38
2021_22,31
2021_23,40
2021_24,29
2021_25,26
2021_26,28
2021_27,29
2021_28,32
2021_29,29
2021_30,32
2021_31,28
2021_32,27
2021_33,31
2021_34,36
2021_35,37
2021_36,37
2021_37,45
2021_38,39
2021_39,30
2021_40,42
2021_41,35
2021_42,33
2021_43,28
2021_44,36
2021_45,35
2021_46,26
2021_47,30
2021_48,41
2021_49,43
2021_50,35
2021_51,40
2021_52,12
2022_00,32
2022_01,34
2022_02,47
2022_03,39
2022_04,36
2022_05,39
2022_06,49
2022_07,32
2022_08,47
2022_09,32
2022_10,37
2022_11,39
2022_12,50
2022_13,41
2022_14,43
2022_15,37
2022_16,37
2022_17,44
2022_18,25
2022_19,40
2022_20,39
2022_21,41
2022_22,48
2022_23,31
2022_24,42
2022_25,57
2022_26,38
2022_27,51
2022_28,47
2022_29,41
2022_30,53
2022_31,56
2022_32,45
2022_33,59
2022_34,49
2022_35,54
2022_36,48
2022_37,52
2022_38,34
2022_39,55
2022_40,33
2022_41,39
2022_42,48
2022_43,47
2022_44,58
2022_45,55
2022_46,48
2022_47,59
2022_48,50
2022_49,49
2022_50,44
2022_51,53
2022_52,14
2023_00,39
2023_01,78
2023_02,70
2023_03,46
2023_04,61
2023_05,57
2023_06,58
2023_07,58
2023_08,70
2023_09,57
2023_10,63
2023_11,47
2023_12,54
2023_13,55
2023_14,61
2023_15,67
2023_16,52
2023_17,57
2023_18,62
2023_19,58
2023_20,64
2023_21,51
2023_22,73
2023_23,59
2023_24,69
2023_25,58
2023_26,68
2023_27,52
2023_28,67
2023_29,84
2023_30,51
2023_31,56
2023_32,59
2023_33,61
2023_34,69
2023_35,67
2023_36,77
2023_37,71
2023_38,80
2023_39,57
2023_40,66
2023_41,65
2023_42,70
2023_43,66
2023_44,76
2023_45,77
2023_46,77
2023_47,80
2023_48,82
2023_49,32
