year_week,count
2019_30,1
2019_32,1
2019_34,4
2019_35,3
2019_36,2
2019_37,2
2019_39,3
2019_40,4
2019_41,1
2019_42,4
2019_44,3
2019_45,4
2019_46,5
2019_47,6
2019_48,5
2019_49,4
2019_50,5
2019_51,6
2019_52,1
2020_00,3
2020_01,4
2020_02,3
2020_03,10
2020_04,6
2020_05,11
2020_06,7
2020_07,13
2020_08,12
2020_09,12
2020_10,8
2020_11,9
2020_12,11
2020_13,10
2020_14,13
2020_15,10
2020_16,8
2020_17,11
2020_18,13
2020_19,7
2020_20,5
2020_21,12
2020_22,14
2020_23,10
2020_24,12
2020_25,7
2020_26,13
2020_27,11
2020_28,20
2020_29,12
2020_30,13
2020_31,12
2020_32,22
2020_33,18
2020_34,20
2020_35,16
2020_36,19
2020_37,19
2020_38,23
2020_39,22
2020_40,20
2020_41,21
2020_42,20
2020_43,19
2020_44,18
2020_45,20
2020_46,13
2020_47,26
2020_48,18
2020_49,15
2020_50,21
2020_51,26
2020_52,6
2021_00,13
2021_01,21
2021_02,22
2021_03,25
2021_04,27
2021_05,16
2021_06,14
2021_07,29
2021_08,21
2021_09,21
2021_10,27
2021_11,25
2021_12,22
2021_13,21
2021_14,22
2021_15,24
2021_16,20
2021_17,24
2021_18,20
2021_19,25
2021_20,21
2021_21,19
2021_22,31
2021_23,19
2021_24,27
2021_25,20
2021_26,24
2021_27,20
2021_28,28
2021_29,28
2021_30,28
2021_31,24
2021_32,34
2021_33,31
2021_34,30
2021_35,37
2021_36,28
2021_37,29
2021_38,30
2021_39,18
2021_40,18
2021_41,34
2021_42,36
2021_43,32
2021_44,28
2021_45,42
2021_46,24
2021_47,38
2021_48,39
2021_49,33
2021_50,32
2021_51,27
2021_52,7
2022_00,27
2022_01,32
2022_02,36
2022_03,39
2022_04,33
2022_05,30
2022_06,28
2022_07,25
2022_08,35
2022_09,38
2022_10,34
2022_11,37
2022_12,42
2022_13,32
2022_14,38
2022_15,30
2022_16,32
2022_17,29
2022_18,46
2022_19,43
2022_20,36
2022_21,32
2022_22,44
2022_23,41
2022_24,33
2022_25,38
2022_26,36
2022_27,47
2022_28,39
2022_29,34
2022_30,40
2022_31,58
2022_32,50
2022_33,30
2022_34,37
2022_35,48
2022_36,45
2022_37,33
2022_38,36
2022_39,38
2022_40,32
2022_41,49
2022_42,32
2022_43,44
2022_44,44
2022_45,48
2022_46,52
2022_47,49
2022_48,43
2022_49,50
2022_50,51
2022_51,37
2022_52,16
2023_00,38
2023_01,45
2023_02,53
2023_03,45
2023_04,52
2023_05,61
2023_06,59
2023_07,46
2023_08,50
2023_09,61
2023_10,55
2023_11,50
2023_12,64
2023_13,44
2023_14,50
2023_15,61
2023_16,42
2023_17,48
2023_18,57
2023_19,51
2023_20,60
2023_21,61
2023_22,69
2023_23,54
2023_24,57
2023_25,58
2023_26,66
2023_27,53
2023_28,73
2023_29,66
2023_30,51
2023_31,58
2023_32,56
2023_33,55
2023_34,61
2023_35,64
2023_36,62
2023_37,72
2023_38,65
2023_39,71
2023_40,58
2023_41,53
2023_42,53
2023_43,53
2023_44,70
2023_45,52
2023_46,62
2023_47,58
2023_48,60
2023_49,30
