year_week,count
2019_36,1
2019_40,1
2019_47,1
2020_00,1
2020_10,3
2020_12,2
2020_15,1
2020_16,1
2020_17,2
2020_18,1
2020_19,1
2020_20,4
2020_24,1
2020_25,3
2020_29,2
2020_30,2
2020_32,1
2020_33,1
2020_34,2
2020_36,4
2020_37,1
2020_38,2
2020_41,1
2020_42,2
2020_43,1
2020_44,1
2020_45,2
2020_46,2
2020_48,1
2020_49,5
2020_51,1
2021_02,1
2021_03,2
2021_04,1
2021_06,1
2021_07,3
2021_08,3
2021_10,1
2021_11,2
2021_12,1
2021_13,3
2021_14,3
2021_15,4
2021_16,1
2021_17,1
2021_18,1
2021_19,3
2021_21,2
2021_22,5
2021_23,1
2021_24,3
2021_25,3
2021_26,1
2021_27,2
2021_28,1
2021_29,2
2021_30,2
2021_31,3
2021_32,1
2021_33,2
2021_34,2
2021_35,4
2021_36,3
2021_37,2
2021_38,1
2021_39,1
2021_41,3
2021_42,2
2021_43,1
2021_45,1
2021_46,2
2021_47,1
2021_48,4
2021_49,5
2021_50,2
2021_51,1
2022_00,5
2022_01,2
2022_02,5
2022_03,1
2022_04,3
2022_05,2
2022_06,3
2022_07,3
2022_08,2
2022_09,2
2022_10,3
2022_11,6
2022_12,6
2022_13,4
2022_14,4
2022_15,6
2022_16,4
2022_17,4
2022_18,2
2022_19,4
2022_20,4
2022_21,4
2022_22,3
2022_23,2
2022_24,6
2022_25,5
2022_26,1
2022_27,5
2022_28,4
2022_29,1
2022_30,3
2022_31,4
2022_32,5
2022_33,5
2022_34,5
2022_35,4
2022_36,3
2022_37,3
2022_38,1
2022_39,1
2022_40,2
2022_41,2
2022_42,2
2022_43,1
2022_44,6
2022_45,4
2022_46,5
2022_47,1
2022_48,5
2022_49,6
2022_50,5
2022_51,7
2023_00,5
2023_01,4
2023_02,3
2023_03,7
2023_04,7
2023_05,2
2023_06,7
2023_07,6
2023_08,4
2023_09,4
2023_10,2
2023_11,3
2023_12,5
2023_13,5
2023_14,5
2023_15,3
2023_16,4
2023_17,4
2023_18,5
2023_19,3
2023_20,3
2023_21,3
2023_22,5
2023_23,5
2023_24,1
2023_25,2
2023_26,4
2023_27,1
2023_28,7
2023_29,5
2023_30,1
2023_31,5
2023_32,5
2023_33,4
2023_34,8
2023_35,5
2023_36,3
2023_37,2
2023_38,2
2023_39,6
2023_40,4
2023_41,2
2023_42,6
2023_43,3
2023_44,7
2023_45,2
2023_46,3
2023_47,1
2023_48,1
