year_week,count
2019_31,1
2019_36,1
2019_37,5
2019_38,2
2019_39,4
2019_40,3
2019_41,6
2019_42,4
2019_43,4
2019_44,4
2019_45,4
2019_46,4
2019_47,6
2019_48,4
2019_49,5
2019_50,3
2019_51,10
2019_52,2
2020_00,4
2020_01,5
2020_02,7
2020_03,9
2020_04,11
2020_05,9
2020_06,14
2020_07,9
2020_08,11
2020_09,11
2020_10,7
2020_11,11
2020_12,11
2020_13,16
2020_14,12
2020_15,6
2020_16,9
2020_17,13
2020_18,9
2020_19,14
2020_20,20
2020_21,11
2020_22,18
2020_23,8
2020_24,12
2020_25,14
2020_26,7
2020_27,8
2020_28,12
2020_29,14
2020_30,8
2020_31,9
2020_32,20
2020_33,19
2020_34,12
2020_35,20
2020_36,16
2020_37,17
2020_38,13
2020_39,19
2020_40,25
2020_41,18
2020_42,19
2020_43,17
2020_44,17
2020_45,28
2020_46,20
2020_47,12
2020_48,17
2020_49,22
2020_50,12
2020_51,11
2020_52,6
2021_00,13
2021_01,14
2021_02,21
2021_03,25
2021_04,13
2021_05,22
2021_06,11
2021_07,23
2021_08,22
2021_09,17
2021_10,29
2021_11,35
2021_12,28
2021_13,25
2021_14,18
2021_15,34
2021_16,25
2021_17,28
2021_18,18
2021_19,14
2021_20,31
2021_21,24
2021_22,28
2021_23,31
2021_24,26
2021_25,22
2021_26,20
2021_27,23
2021_28,34
2021_29,27
2021_30,30
2021_31,29
2021_32,33
2021_33,24
2021_34,26
2021_35,36
2021_36,27
2021_37,27
2021_38,34
2021_39,37
2021_40,40
2021_41,18
2021_42,32
2021_43,32
2021_44,38
2021_45,25
2021_46,32
2021_47,37
2021_48,30
2021_49,45
2021_50,27
2021_51,45
2021_52,7
2022_00,23
2022_01,26
2022_02,40
2022_03,25
2022_04,22
2022_05,40
2022_06,28
2022_07,39
2022_08,34
2022_09,33
2022_10,35
2022_11,46
2022_12,30
2022_13,39
2022_14,30
2022_15,27
2022_16,38
2022_17,36
2022_18,34
2022_19,45
2022_20,41
2022_21,35
2022_22,46
2022_23,28
2022_24,34
2022_25,51
2022_26,40
2022_27,41
2022_28,41
2022_29,40
2022_30,27
2022_31,45
2022_32,38
2022_33,42
2022_34,47
2022_35,42
2022_36,39
2022_37,51
2022_38,38
2022_39,45
2022_40,36
2022_41,43
2022_42,52
2022_43,48
2022_44,42
2022_45,47
2022_46,44
2022_47,59
2022_48,48
2022_49,48
2022_50,46
2022_51,35
2022_52,18
2023_00,34
2023_01,48
2023_02,51
2023_03,52
2023_04,56
2023_05,63
2023_06,48
2023_07,52
2023_08,59
2023_09,58
2023_10,46
2023_11,62
2023_12,59
2023_13,57
2023_14,59
2023_15,41
2023_16,45
2023_17,44
2023_18,68
2023_19,65
2023_20,52
2023_21,58
2023_22,50
2023_23,60
2023_24,57
2023_25,56
2023_26,56
2023_27,50
2023_28,53
2023_29,52
2023_30,59
2023_31,68
2023_32,62
2023_33,53
2023_34,53
2023_35,69
2023_36,56
2023_37,70
2023_38,47
2023_39,57
2023_40,44
2023_41,61
2023_42,52
2023_43,75
2023_44,64
2023_45,65
2023_46,69
2023_47,58
2023_48,65
2023_49,27
