year_week,count
2019_32,2
2019_35,1
2019_36,3
2019_39,2
2019_41,2
2019_42,1
2019_43,3
2019_45,2
2019_46,1
2019_47,1
2019_48,1
2019_49,2
2019_50,3
2019_51,2
2019_52,1
2020_00,2
2020_01,2
2020_02,2
2020_03,1
2020_04,4
2020_05,1
2020_06,4
2020_07,1
2020_08,2
2020_09,4
2020_10,4
2020_11,3
2020_13,2
2020_14,5
2020_16,3
2020_17,5
2020_18,1
2020_19,4
2020_20,4
2020_21,1
2020_22,7
2020_23,4
2020_24,4
2020_25,3
2020_26,2
2020_27,1
2020_28,8
2020_29,3
2020_30,5
2020_31,3
2020_32,3
2020_33,6
2020_34,2
2020_35,7
2020_36,4
2020_37,2
2020_38,6
2020_39,7
2020_40,1
2020_41,4
2020_42,2
2020_43,3
2020_44,7
2020_45,3
2020_46,6
2020_47,10
2020_48,7
2020_49,8
2020_50,2
2020_51,5
2020_52,5
2021_00,5
2021_01,8
2021_02,7
2021_03,7
2021_04,7
2021_05,6
2021_06,6
2021_07,8
2021_08,4
2021_09,7
2021_10,6
2021_11,6
2021_12,4
2021_13,4
2021_14,8
2021_15,7
2021_16,4
2021_17,4
2021_18,10
2021_19,8
2021_20,6
2021_21,11
2021_22,7
2021_23,5
2021_24,7
2021_25,10
2021_26,7
2021_27,4
2021_28,8
2021_29,6
2021_30,7
2021_31,6
2021_32,6
2021_33,7
2021_34,5
2021_35,4
2021_36,5
2021_37,6
2021_38,7
2021_39,11
2021_40,7
2021_41,9
2021_42,5
2021_43,6
2021_44,11
2021_45,5
2021_46,6
2021_47,10
2021_48,11
2021_49,9
2021_50,11
2021_51,7
2021_52,2
2022_00,12
2022_01,7
2022_02,5
2022_03,7
2022_04,5
2022_05,8
2022_06,8
2022_07,11
2022_08,11
2022_09,17
2022_10,8
2022_11,5
2022_12,18
2022_13,12
2022_14,13
2022_15,9
2022_16,12
2022_17,11
2022_18,13
2022_19,14
2022_20,10
2022_21,17
2022_22,12
2022_23,16
2022_24,14
2022_25,8
2022_26,13
2022_27,11
2022_28,12
2022_29,14
2022_30,15
2022_31,11
2022_32,10
2022_33,14
2022_34,13
2022_35,10
2022_36,11
2022_37,9
2022_38,13
2022_39,14
2022_40,14
2022_41,10
2022_42,21
2022_43,13
2022_44,16
2022_45,12
2022_46,6
2022_47,21
2022_48,17
2022_49,9
2022_50,10
2022_51,20
2022_52,5
2023_00,9
2023_01,13
2023_02,18
2023_03,9
2023_04,15
2023_05,14
2023_06,14
2023_07,12
2023_08,20
2023_09,11
2023_10,18
2023_11,14
2023_12,9
2023_13,21
2023_14,12
2023_15,14
2023_16,20
2023_17,15
2023_18,18
2023_19,15
2023_20,10
2023_21,13
2023_22,18
2023_23,14
2023_24,15
2023_25,15
2023_26,12
2023_27,17
2023_28,14
2023_29,12
2023_30,25
2023_31,17
2023_32,15
2023_33,17
2023_34,16
2023_35,10
2023_36,13
2023_37,13
2023_38,20
2023_39,8
2023_40,12
2023_41,15
2023_42,17
2023_43,17
2023_44,19
2023_45,15
2023_46,20
2023_47,25
2023_48,16
2023_49,7
