year_week,count
2019_34,2
2019_35,1
2019_37,1
2019_38,1
2019_39,4
2019_40,5
2019_41,3
2019_42,6
2019_43,4
2019_44,4
2019_45,3
2019_46,3
2019_47,5
2019_48,3
2019_49,5
2019_50,6
2019_51,8
2019_52,1
2020_00,3
2020_01,7
2020_02,4
2020_03,12
2020_04,8
2020_05,8
2020_06,4
2020_07,5
2020_08,7
2020_09,10
2020_10,7
2020_11,15
2020_12,8
2020_13,16
2020_14,11
2020_15,6
2020_16,10
2020_17,9
2020_18,14
2020_19,15
2020_20,15
2020_21,9
2020_22,10
2020_23,16
2020_24,8
2020_25,15
2020_26,18
2020_27,14
2020_28,6
2020_29,8
2020_30,14
2020_31,12
2020_32,21
2020_33,10
2020_34,14
2020_35,19
2020_36,17
2020_37,13
2020_38,18
2020_39,22
2020_40,13
2020_41,16
2020_42,25
2020_43,13
2020_44,19
2020_45,15
2020_46,11
2020_47,21
2020_48,19
2020_49,22
2020_50,21
2020_51,13
2020_52,5
2021_00,20
2021_01,24
2021_02,19
2021_03,11
2021_04,24
2021_05,24
2021_06,22
2021_07,18
2021_08,14
2021_09,22
2021_10,35
2021_11,26
2021_12,23
2021_13,32
2021_14,24
2021_15,28
2021_16,15
2021_17,26
2021_18,23
2021_19,20
2021_20,23
2021_21,25
2021_22,19
2021_23,30
2021_24,32
2021_25,15
2021_26,20
2021_27,20
2021_28,42
2021_29,35
2021_30,22
2021_31,27
2021_32,40
2021_33,35
2021_34,28
2021_35,30
2021_36,26
2021_37,36
2021_38,26
2021_39,29
2021_40,28
2021_41,31
2021_42,45
2021_43,28
2021_44,31
2021_45,23
2021_46,35
2021_47,37
2021_48,44
2021_49,41
2021_50,38
2021_51,39
2021_52,6
2022_00,16
2022_01,22
2022_02,33
2022_03,34
2022_04,25
2022_05,39
2022_06,38
2022_07,36
2022_08,31
2022_09,29
2022_10,16
2022_11,40
2022_12,34
2022_13,36
2022_14,39
2022_15,38
2022_16,35
2022_17,31
2022_18,24
2022_19,45
2022_20,29
2022_21,32
2022_22,37
2022_23,42
2022_24,26
2022_25,32
2022_26,36
2022_27,37
2022_28,44
2022_29,29
2022_30,42
2022_31,28
2022_32,35
2022_33,46
2022_34,53
2022_35,39
2022_36,44
2022_37,43
2022_38,35
2022_39,37
2022_40,50
2022_41,44
2022_42,37
2022_43,52
2022_44,42
2022_45,38
2022_46,55
2022_47,43
2022_48,48
2022_49,49
2022_50,45
2022_51,42
2022_52,17
2023_00,36
2023_01,48
2023_02,43
2023_03,52
2023_04,58
2023_05,46
2023_06,47
2023_07,45
2023_08,55
2023_09,65
2023_10,50
2023_11,78
2023_12,59
2023_13,45
2023_14,43
2023_15,46
2023_16,54
2023_17,54
2023_18,57
2023_19,47
2023_20,60
2023_21,54
2023_22,58
2023_23,52
2023_24,68
2023_25,55
2023_26,68
2023_27,68
2023_28,61
2023_29,62
2023_30,49
2023_31,64
2023_32,70
2023_33,64
2023_34,64
2023_35,54
2023_36,64
2023_37,49
2023_38,56
2023_39,83
2023_40,52
2023_41,67
2023_42,60
2023_43,55
2023_44,56
2023_45,68
2023_46,51
2023_47,52
2023_48,53
2023_49,26
