year_week,count
2019_32,2
2019_34,3
2019_35,2
2019_36,5
2019_37,4
2019_38,3
2019_39,4
2019_40,3
2019_41,5
2019_42,4
2019_43,3
2019_44,3
2019_45,8
2019_46,3
2019_47,7
2019_48,6
2019_49,10
2019_50,8
2019_51,5
2019_52,4
2020_00,12
2020_01,8
2020_02,6
2020_03,13
2020_04,8
2020_05,13
2020_06,17
2020_07,12
2020_08,9
2020_09,11
2020_10,11
2020_11,10
2020_12,11
2020_13,16
2020_14,8
2020_15,11
2020_16,13
2020_17,10
2020_18,9
2020_19,11
2020_20,12
2020_21,10
2020_22,16
2020_23,15
2020_24,18
2020_25,14
2020_26,14
2020_27,19
2020_28,15
2020_29,12
2020_30,16
2020_31,15
2020_32,13
2020_33,15
2020_34,17
2020_35,17
2020_36,20
2020_37,22
2020_38,22
2020_39,28
2020_40,14
2020_41,18
2020_42,28
2020_43,19
2020_44,19
2020_45,21
2020_46,18
2020_47,14
2020_48,19
2020_49,22
2020_50,22
2020_51,20
2020_52,5
2021_00,27
2021_01,16
2021_02,22
2021_03,26
2021_04,27
2021_05,28
2021_06,21
2021_07,28
2021_08,20
2021_09,26
2021_10,23
2021_11,29
2021_12,21
2021_13,27
2021_14,33
2021_15,25
2021_16,29
2021_17,33
2021_18,18
2021_19,24
2021_20,29
2021_21,27
2021_22,27
2021_23,27
2021_24,35
2021_25,27
2021_26,32
2021_27,24
2021_28,26
2021_29,33
2021_30,28
2021_31,28
2021_32,38
2021_33,27
2021_34,29
2021_35,36
2021_36,33
2021_37,47
2021_38,29
2021_39,36
2021_40,23
2021_41,43
2021_42,41
2021_43,42
2021_44,40
2021_45,30
2021_46,42
2021_47,36
2021_48,33
2021_49,46
2021_50,39
2021_51,40
2021_52,9
2022_00,35
2022_01,40
2022_02,42
2022_03,37
2022_04,55
2022_05,35
2022_06,39
2022_07,45
2022_08,51
2022_09,44
2022_10,43
2022_11,54
2022_12,47
2022_13,44
2022_14,39
2022_15,44
2022_16,35
2022_17,48
2022_18,40
2022_19,45
2022_20,41
2022_21,47
2022_22,47
2022_23,37
2022_24,33
2022_25,45
2022_26,34
2022_27,54
2022_28,43
2022_29,55
2022_30,50
2022_31,43
2022_32,44
2022_33,50
2022_34,42
2022_35,53
2022_36,42
2022_37,58
2022_38,48
2022_39,52
2022_40,48
2022_41,53
2022_42,56
2022_43,58
2022_44,58
2022_45,49
2022_46,36
2022_47,56
2022_48,52
2022_49,60
2022_50,51
2022_51,45
2022_52,9
2023_00,46
2023_01,52
2023_02,57
2023_03,47
2023_04,59
2023_05,60
2023_06,49
2023_07,62
2023_08,65
2023_09,66
2023_10,57
2023_11,57
2023_12,64
2023_13,51
2023_14,67
2023_15,54
2023_16,54
2023_17,60
2023_18,62
2023_19,55
2023_20,67
2023_21,55
2023_22,62
2023_23,78
2023_24,68
2023_25,88
2023_26,67
2023_27,52
2023_28,68
2023_29,69
2023_30,67
2023_31,55
2023_32,52
2023_33,67
2023_34,60
2023_35,69
2023_36,84
2023_37,70
2023_38,73
2023_39,73
2023_40,77
2023_41,72
2023_42,63
2023_43,58
2023_44,58
2023_45,60
2023_46,90
2023_47,62
2023_48,65
2023_49,20
