year_week,count
2019_32,1
2019_33,2
2019_34,1
2019_35,3
2019_36,3
2019_37,4
2019_38,3
2019_39,6
2019_40,2
2019_41,15
2019_42,4
2019_43,8
2019_44,2
2019_45,6
2019_46,3
2019_47,8
2019_48,8
2019_49,7
2019_50,2
2019_51,6
2019_52,1
2020_00,4
2020_01,8
2020_02,12
2020_03,8
2020_04,7
2020_05,12
2020_06,5
2020_07,17
2020_08,6
2020_09,10
2020_10,9
2020_11,11
2020_12,17
2020_13,11
2020_14,17
2020_15,15
2020_16,8
2020_17,15
2020_18,15
2020_19,13
2020_20,15
2020_21,13
2020_22,13
2020_23,17
2020_24,17
2020_25,9
2020_26,13
2020_27,15
2020_28,19
2020_29,18
2020_30,11
2020_31,19
2020_32,16
2020_33,21
2020_34,15
2020_35,20
2020_36,21
2020_37,21
2020_38,23
2020_39,27
2020_40,19
2020_41,22
2020_42,16
2020_43,24
2020_44,18
2020_45,19
2020_46,24
2020_47,21
2020_48,28
2020_49,35
2020_50,17
2020_51,17
2020_52,6
2021_00,21
2021_01,23
2021_02,22
2021_03,23
2021_04,26
2021_05,30
2021_06,22
2021_07,23
2021_08,26
2021_09,27
2021_10,19
2021_11,31
2021_12,30
2021_13,24
2021_14,24
2021_15,28
2021_16,31
2021_17,29
2021_18,24
2021_19,19
2021_20,28
2021_21,23
2021_22,28
2021_23,31
2021_24,35
2021_25,31
2021_26,19
2021_27,27
2021_28,35
2021_29,34
2021_30,36
2021_31,32
2021_32,34
2021_33,31
2021_34,47
2021_35,37
2021_36,28
2021_37,31
2021_38,45
2021_39,28
2021_40,38
2021_41,45
2021_42,42
2021_43,41
2021_44,33
2021_45,41
2021_46,51
2021_47,42
2021_48,42
2021_49,36
2021_50,44
2021_51,34
2021_52,8
2022_00,27
2022_01,44
2022_02,46
2022_03,47
2022_04,43
2022_05,50
2022_06,32
2022_07,47
2022_08,34
2022_09,45
2022_10,47
2022_11,39
2022_12,36
2022_13,41
2022_14,47
2022_15,32
2022_16,36
2022_17,51
2022_18,40
2022_19,38
2022_20,42
2022_21,34
2022_22,44
2022_23,52
2022_24,56
2022_25,41
2022_26,52
2022_27,55
2022_28,45
2022_29,66
2022_30,69
2022_31,51
2022_32,46
2022_33,57
2022_34,60
2022_35,52
2022_36,54
2022_37,46
2022_38,52
2022_39,51
2022_40,40
2022_41,41
2022_42,57
2022_43,47
2022_44,49
2022_45,64
2022_46,46
2022_47,48
2022_48,52
2022_49,57
2022_50,64
2022_51,57
2022_52,16
2023_00,41
2023_01,69
2023_02,62
2023_03,63
2023_04,64
2023_05,76
2023_06,69
2023_07,49
2023_08,68
2023_09,48
2023_10,70
2023_11,67
2023_12,66
2023_13,69
2023_14,49
2023_15,67
2023_16,58
2023_17,76
2023_18,62
2023_19,63
2023_20,68
2023_21,72
2023_22,65
2023_23,78
2023_24,68
2023_25,87
2023_26,70
2023_27,73
2023_28,56
2023_29,79
2023_30,70
2023_31,72
2023_32,79
2023_33,79
2023_34,76
2023_35,71
2023_36,81
2023_37,68
2023_38,70
2023_39,70
2023_40,63
2023_41,83
2023_42,76
2023_43,82
2023_44,85
2023_45,69
2023_46,79
2023_47,56
2023_48,78
2023_49,34
