year_week,count
2019_32,1
2019_33,2
2019_34,3
2019_35,5
2019_36,2
2019_37,2
2019_38,1
2019_39,2
2019_40,1
2019_41,1
2019_42,3
2019_43,3
2019_44,2
2019_45,2
2019_46,3
2019_47,6
2019_48,3
2019_49,9
2019_50,6
2019_51,7
2019_52,2
2020_00,4
2020_01,13
2020_02,5
2020_03,9
2020_04,11
2020_05,4
2020_06,7
2020_07,5
2020_08,7
2020_09,10
2020_10,8
2020_11,12
2020_12,5
2020_13,10
2020_14,14
2020_15,5
2020_16,6
2020_17,10
2020_18,14
2020_19,18
2020_20,5
2020_21,11
2020_22,13
2020_23,11
2020_24,11
2020_25,15
2020_26,11
2020_27,21
2020_28,7
2020_29,18
2020_30,18
2020_31,17
2020_32,11
2020_33,17
2020_34,17
2020_35,11
2020_36,13
2020_37,14
2020_38,21
2020_39,19
2020_40,19
2020_41,15
2020_42,9
2020_43,23
2020_44,19
2020_45,17
2020_46,17
2020_47,15
2020_48,20
2020_49,16
2020_50,12
2020_51,10
2020_52,5
2021_00,17
2021_01,16
2021_02,20
2021_03,20
2021_04,27
2021_05,19
2021_06,20
2021_07,19
2021_08,15
2021_09,24
2021_10,16
2021_11,32
2021_12,25
2021_13,26
2021_14,31
2021_15,20
2021_16,28
2021_17,26
2021_18,31
2021_19,24
2021_20,26
2021_21,21
2021_22,35
2021_23,22
2021_24,18
2021_25,33
2021_26,38
2021_27,25
2021_28,24
2021_29,36
2021_30,33
2021_31,31
2021_32,34
2021_33,29
2021_34,42
2021_35,32
2021_36,31
2021_37,41
2021_38,24
2021_39,38
2021_40,30
2021_41,25
2021_42,25
2021_43,22
2021_44,41
2021_45,31
2021_46,41
2021_47,33
2021_48,30
2021_49,30
2021_50,37
2021_51,45
2021_52,4
2022_00,21
2022_01,34
2022_02,51
2022_03,36
2022_04,34
2022_05,32
2022_06,38
2022_07,34
2022_08,32
2022_09,33
2022_10,35
2022_11,27
2022_12,44
2022_13,44
2022_14,37
2022_15,34
2022_16,30
2022_17,42
2022_18,33
2022_19,43
2022_20,38
2022_21,43
2022_22,35
2022_23,34
2022_24,42
2022_25,49
2022_26,34
2022_27,38
2022_28,31
2022_29,35
2022_30,45
2022_31,46
2022_32,44
2022_33,39
2022_34,39
2022_35,45
2022_36,46
2022_37,41
2022_38,47
2022_39,36
2022_40,31
2022_41,44
2022_42,51
2022_43,43
2022_44,46
2022_45,36
2022_46,38
2022_47,60
2022_48,46
2022_49,56
2022_50,38
2022_51,47
2022_52,14
2023_00,21
2023_01,57
2023_02,49
2023_03,54
2023_04,54
2023_05,57
2023_06,49
2023_07,49
2023_08,62
2023_09,49
2023_10,61
2023_11,47
2023_12,43
2023_13,50
2023_14,51
2023_15,55
2023_16,51
2023_17,46
2023_18,49
2023_19,60
2023_20,69
2023_21,51
2023_22,55
2023_23,52
2023_24,52
2023_25,52
2023_26,60
2023_27,59
2023_28,59
2023_29,48
2023_30,53
2023_31,66
2023_32,59
2023_33,61
2023_34,52
2023_35,64
2023_36,64
2023_37,47
2023_38,63
2023_39,63
2023_40,57
2023_41,54
2023_42,50
2023_43,57
2023_44,55
2023_45,68
2023_46,76
2023_47,72
2023_48,76
2023_49,32
