year_week,count
2019_30,4
2019_31,5
2019_32,2
2019_33,3
2019_34,2
2019_35,2
2019_36,4
2019_37,1
2019_38,9
2019_39,9
2019_40,2
2019_41,6
2019_42,12
2019_43,7
2019_44,7
2019_45,14
2019_46,6
2019_47,15
2019_48,10
2019_49,13
2019_50,16
2019_51,18
2019_52,2
2020_00,7
2020_01,16
2020_02,18
2020_03,18
2020_04,27
2020_05,21
2020_06,22
2020_07,20
2020_08,19
2020_09,27
2020_10,25
2020_11,15
2020_12,31
2020_13,21
2020_14,28
2020_15,25
2020_16,29
2020_17,25
2020_18,19
2020_19,28
2020_20,21
2020_21,16
2020_22,26
2020_23,24
2020_24,17
2020_25,26
2020_26,24
2020_27,30
2020_28,30
2020_29,26
2020_30,35
2020_31,23
2020_32,41
2020_33,39
2020_34,34
2020_35,37
2020_36,42
2020_37,35
2020_38,49
2020_39,43
2020_40,41
2020_41,42
2020_42,39
2020_43,39
2020_44,37
2020_45,31
2020_46,27
2020_47,31
2020_48,35
2020_49,40
2020_50,31
2020_51,49
2020_52,23
2021_00,42
2021_01,36
2021_02,45
2021_03,49
2021_04,43
2021_05,52
2021_06,42
2021_07,35
2021_08,48
2021_09,56
2021_10,42
2021_11,54
2021_12,68
2021_13,40
2021_14,54
2021_15,36
2021_16,47
2021_17,52
2021_18,56
2021_19,53
2021_20,59
2021_21,55
2021_22,51
2021_23,51
2021_24,44
2021_25,63
2021_26,60
2021_27,68
2021_28,52
2021_29,58
2021_30,51
2021_31,49
2021_32,71
2021_33,50
2021_34,66
2021_35,65
2021_36,77
2021_37,61
2021_38,76
2021_39,58
2021_40,67
2021_41,68
2021_42,74
2021_43,66
2021_44,62
2021_45,73
2021_46,74
2021_47,74
2021_48,94
2021_49,68
2021_50,70
2021_51,71
2021_52,17
2022_00,54
2022_01,63
2022_02,92
2022_03,62
2022_04,62
2022_05,92
2022_06,66
2022_07,76
2022_08,75
2022_09,77
2022_10,90
2022_11,73
2022_12,72
2022_13,71
2022_14,96
2022_15,78
2022_16,71
2022_17,89
2022_18,69
2022_19,73
2022_20,62
2022_21,77
2022_22,88
2022_23,85
2022_24,64
2022_25,82
2022_26,87
2022_27,95
2022_28,77
2022_29,88
2022_30,120
2022_31,78
2022_32,83
2022_33,91
2022_34,105
2022_35,79
2022_36,97
2022_37,98
2022_38,87
2022_39,85
2022_40,90
2022_41,84
2022_42,83
2022_43,86
2022_44,103
2022_45,98
2022_46,95
2022_47,99
2022_48,83
2022_49,114
2022_50,101
2022_51,97
2022_52,38
2023_00,91
2023_01,107
2023_02,84
2023_03,110
2023_04,105
2023_05,131
2023_06,109
2023_07,94
2023_08,108
2023_09,121
2023_10,108
2023_11,117
2023_12,107
2023_13,106
2023_14,117
2023_15,99
2023_16,112
2023_17,115
2023_18,123
2023_19,100
2023_20,125
2023_21,133
2023_22,101
2023_23,113
2023_24,125
2023_25,108
2023_26,127
2023_27,107
2023_28,135
2023_29,135
2023_30,120
2023_31,118
2023_32,111
2023_33,123
2023_34,120
2023_35,125
2023_36,142
2023_37,124
2023_38,125
2023_39,116
2023_40,123
2023_41,134
2023_42,93
2023_43,134
2023_44,121
2023_45,134
2023_46,136
2023_47,127
2023_48,116
2023_49,51
