year_week,count
2019_30,1
2019_31,2
2019_32,1
2019_33,3
2019_34,1
2019_35,3
2019_36,5
2019_37,4
2019_38,4
2019_39,1
2019_40,1
2019_41,4
2019_42,2
2019_43,4
2019_44,2
2019_45,8
2019_46,3
2019_47,6
2019_48,5
2019_49,9
2019_50,5
2019_51,7
2020_00,4
2020_01,9
2020_02,9
2020_03,3
2020_04,11
2020_05,10
2020_06,10
2020_07,12
2020_08,8
2020_09,12
2020_10,13
2020_11,15
2020_12,12
2020_13,20
2020_14,27
2020_15,13
2020_16,9
2020_17,8
2020_18,9
2020_19,12
2020_20,13
2020_21,12
2020_22,9
2020_23,9
2020_24,17
2020_25,10
2020_26,15
2020_27,11
2020_28,19
2020_29,14
2020_30,10
2020_31,15
2020_32,11
2020_33,21
2020_34,19
2020_35,16
2020_36,13
2020_37,18
2020_38,17
2020_39,14
2020_40,16
2020_41,20
2020_42,14
2020_43,18
2020_44,21
2020_45,19
2020_46,16
2020_47,21
2020_48,23
2020_49,23
2020_50,17
2020_51,15
2020_52,10
2021_00,10
2021_01,18
2021_02,21
2021_03,13
2021_04,32
2021_05,36
2021_06,17
2021_07,28
2021_08,30
2021_09,19
2021_10,27
2021_11,25
2021_12,20
2021_13,18
2021_14,23
2021_15,17
2021_16,24
2021_17,22
2021_18,19
2021_19,27
2021_20,22
2021_21,21
2021_22,27
2021_23,24
2021_24,29
2021_25,26
2021_26,37
2021_27,20
2021_28,30
2021_29,24
2021_30,38
2021_31,28
2021_32,38
2021_33,26
2021_34,34
2021_35,20
2021_36,32
2021_37,40
2021_38,36
2021_39,36
2021_40,36
2021_41,27
2021_42,30
2021_43,28
2021_44,40
2021_45,22
2021_46,35
2021_47,44
2021_48,22
2021_49,40
2021_50,29
2021_51,38
2021_52,7
2022_00,27
2022_01,32
2022_02,37
2022_03,33
2022_04,30
2022_05,42
2022_06,38
2022_07,42
2022_08,33
2022_09,34
2022_10,36
2022_11,51
2022_12,41
2022_13,30
2022_14,32
2022_15,35
2022_16,37
2022_17,26
2022_18,45
2022_19,43
2022_20,41
2022_21,37
2022_22,33
2022_23,40
2022_24,33
2022_25,28
2022_26,42
2022_27,49
2022_28,36
2022_29,31
2022_30,41
2022_31,35
2022_32,43
2022_33,53
2022_34,49
2022_35,41
2022_36,42
2022_37,52
2022_38,47
2022_39,45
2022_40,53
2022_41,46
2022_42,51
2022_43,48
2022_44,49
2022_45,47
2022_46,49
2022_47,57
2022_48,52
2022_49,41
2022_50,36
2022_51,42
2022_52,26
2023_00,30
2023_01,42
2023_02,52
2023_03,44
2023_04,54
2023_05,49
2023_06,40
2023_07,49
2023_08,49
2023_09,45
2023_10,48
2023_11,59
2023_12,52
2023_13,60
2023_14,44
2023_15,51
2023_16,53
2023_17,38
2023_18,40
2023_19,59
2023_20,57
2023_21,51
2023_22,58
2023_23,51
2023_24,57
2023_25,66
2023_26,50
2023_27,59
2023_28,64
2023_29,59
2023_30,55
2023_31,53
2023_32,59
2023_33,55
2023_34,41
2023_35,50
2023_36,61
2023_37,64
2023_38,64
2023_39,64
2023_40,84
2023_41,55
2023_42,66
2023_43,64
2023_44,63
2023_45,60
2023_46,59
2023_47,55
2023_48,68
2023_49,23
