year_week,count
2019_33,2
2019_34,2
2019_35,1
2019_36,4
2019_38,5
2019_39,5
2019_40,1
2019_41,1
2019_42,5
2019_43,5
2019_44,2
2019_45,3
2019_46,2
2019_47,5
2019_48,8
2019_49,9
2019_50,6
2019_51,3
2020_00,3
2020_01,6
2020_02,9
2020_03,5
2020_04,7
2020_05,12
2020_06,8
2020_07,5
2020_08,10
2020_09,9
2020_10,9
2020_11,9
2020_12,7
2020_13,14
2020_14,15
2020_15,9
2020_16,17
2020_17,7
2020_18,8
2020_19,14
2020_20,15
2020_21,12
2020_22,11
2020_23,25
2020_24,12
2020_25,11
2020_26,18
2020_27,17
2020_28,12
2020_29,17
2020_30,11
2020_31,17
2020_32,17
2020_33,13
2020_34,10
2020_35,15
2020_36,14
2020_37,13
2020_38,16
2020_39,13
2020_40,12
2020_41,11
2020_42,20
2020_43,16
2020_44,7
2020_45,16
2020_46,16
2020_47,12
2020_48,13
2020_49,25
2020_50,18
2020_51,20
2020_52,10
2021_00,18
2021_01,22
2021_02,25
2021_03,20
2021_04,26
2021_05,29
2021_06,22
2021_07,24
2021_08,27
2021_09,23
2021_10,21
2021_11,23
2021_12,24
2021_13,28
2021_14,29
2021_15,19
2021_16,20
2021_17,15
2021_18,16
2021_19,26
2021_20,24
2021_21,32
2021_22,20
2021_23,25
2021_24,24
2021_25,26
2021_26,32
2021_27,28
2021_28,27
2021_29,24
2021_30,28
2021_31,26
2021_32,28
2021_33,33
2021_34,33
2021_35,31
2021_36,35
2021_37,39
2021_38,32
2021_39,30
2021_40,36
2021_41,28
2021_42,30
2021_43,40
2021_44,33
2021_45,22
2021_46,26
2021_47,36
2021_48,26
2021_49,31
2021_50,25
2021_51,25
2021_52,6
2022_00,31
2022_01,39
2022_02,32
2022_03,31
2022_04,28
2022_05,29
2022_06,31
2022_07,38
2022_08,45
2022_09,34
2022_10,35
2022_11,35
2022_12,42
2022_13,36
2022_14,35
2022_15,38
2022_16,35
2022_17,37
2022_18,35
2022_19,35
2022_20,34
2022_21,34
2022_22,51
2022_23,30
2022_24,38
2022_25,34
2022_26,37
2022_27,41
2022_28,38
2022_29,39
2022_30,48
2022_31,41
2022_32,44
2022_33,46
2022_34,44
2022_35,41
2022_36,43
2022_37,50
2022_38,29
2022_39,54
2022_40,39
2022_41,53
2022_42,50
2022_43,48
2022_44,39
2022_45,46
2022_46,48
2022_47,47
2022_48,42
2022_49,50
2022_50,50
2022_51,58
2022_52,9
2023_00,37
2023_01,50
2023_02,40
2023_03,66
2023_04,58
2023_05,36
2023_06,46
2023_07,57
2023_08,47
2023_09,41
2023_10,63
2023_11,49
2023_12,65
2023_13,51
2023_14,50
2023_15,56
2023_16,44
2023_17,54
2023_18,71
2023_19,59
2023_20,57
2023_21,45
2023_22,58
2023_23,57
2023_24,48
2023_25,61
2023_26,51
2023_27,48
2023_28,58
2023_29,40
2023_30,81
2023_31,55
2023_32,68
2023_33,53
2023_34,46
2023_35,46
2023_36,55
2023_37,61
2023_38,69
2023_39,44
2023_40,69
2023_41,52
2023_42,63
2023_43,63
2023_44,68
2023_45,80
2023_46,68
2023_47,68
2023_48,71
2023_49,23
