year_week,count
2019_29,1
2019_31,1
2019_34,1
2019_35,2
2019_36,2
2019_37,1
2019_38,1
2019_39,1
2019_40,5
2019_41,7
2019_42,3
2019_43,3
2019_44,4
2019_45,5
2019_46,3
2019_47,8
2019_48,11
2019_49,4
2019_50,5
2019_51,7
2020_00,5
2020_01,12
2020_02,8
2020_03,8
2020_04,10
2020_05,7
2020_06,5
2020_07,12
2020_08,13
2020_09,11
2020_10,12
2020_11,13
2020_12,14
2020_13,8
2020_14,15
2020_15,17
2020_16,9
2020_17,5
2020_18,13
2020_19,7
2020_20,13
2020_21,12
2020_22,10
2020_23,11
2020_24,11
2020_25,15
2020_26,15
2020_27,19
2020_28,15
2020_29,9
2020_30,9
2020_31,15
2020_32,11
2020_33,21
2020_34,20
2020_35,18
2020_36,17
2020_37,21
2020_38,27
2020_39,25
2020_40,16
2020_41,17
2020_42,12
2020_43,26
2020_44,17
2020_45,15
2020_46,11
2020_47,19
2020_48,18
2020_49,24
2020_50,29
2020_51,19
2020_52,11
2021_00,9
2021_01,22
2021_02,19
2021_03,24
2021_04,23
2021_05,26
2021_06,19
2021_07,25
2021_08,25
2021_09,22
2021_10,28
2021_11,30
2021_12,20
2021_13,16
2021_14,25
2021_15,28
2021_16,23
2021_17,41
2021_18,27
2021_19,24
2021_20,25
2021_21,23
2021_22,28
2021_23,31
2021_24,34
2021_25,18
2021_26,24
2021_27,30
2021_28,24
2021_29,33
2021_30,29
2021_31,33
2021_32,30
2021_33,27
2021_34,28
2021_35,25
2021_36,35
2021_37,32
2021_38,34
2021_39,29
2021_40,33
2021_41,37
2021_42,41
2021_43,32
2021_44,38
2021_45,24
2021_46,39
2021_47,35
2021_48,26
2021_49,29
2021_50,36
2021_51,40
2021_52,9
2022_00,38
2022_01,43
2022_02,39
2022_03,29
2022_04,25
2022_05,33
2022_06,41
2022_07,37
2022_08,26
2022_09,29
2022_10,44
2022_11,41
2022_12,38
2022_13,43
2022_14,33
2022_15,31
2022_16,38
2022_17,37
2022_18,37
2022_19,37
2022_20,42
2022_21,34
2022_22,33
2022_23,29
2022_24,29
2022_25,49
2022_26,47
2022_27,54
2022_28,39
2022_29,37
2022_30,31
2022_31,46
2022_32,48
2022_33,44
2022_34,45
2022_35,43
2022_36,28
2022_37,44
2022_38,41
2022_39,45
2022_40,46
2022_41,52
2022_42,33
2022_43,43
2022_44,34
2022_45,37
2022_46,38
2022_47,35
2022_48,35
2022_49,53
2022_50,47
2022_51,47
2022_52,9
2023_00,32
2023_01,53
2023_02,52
2023_03,49
2023_04,59
2023_05,49
2023_06,48
2023_07,53
2023_08,47
2023_09,64
2023_10,59
2023_11,43
2023_12,50
2023_13,58
2023_14,54
2023_15,52
2023_16,50
2023_17,45
2023_18,53
2023_19,49
2023_20,51
2023_21,52
2023_22,60
2023_23,50
2023_24,65
2023_25,55
2023_26,51
2023_27,65
2023_28,61
2023_29,70
2023_30,67
2023_31,49
2023_32,51
2023_33,61
2023_34,54
2023_35,65
2023_36,55
2023_37,50
2023_38,61
2023_39,62
2023_40,68
2023_41,67
2023_42,59
2023_43,51
2023_44,55
2023_45,61
2023_46,61
2023_47,53
2023_48,68
2023_49,27
