year_week,count
2019_28,1
2019_31,1
2019_32,1
2019_33,6
2019_34,2
2019_35,1
2019_36,5
2019_37,4
2019_38,3
2019_39,1
2019_40,4
2019_41,3
2019_42,7
2019_43,11
2019_44,6
2019_45,7
2019_46,2
2019_47,8
2019_48,14
2019_49,9
2019_50,8
2019_51,9
2019_52,1
2020_00,9
2020_01,12
2020_02,15
2020_03,7
2020_04,10
2020_05,12
2020_06,11
2020_07,12
2020_08,7
2020_09,7
2020_10,9
2020_11,12
2020_12,21
2020_13,13
2020_14,9
2020_15,12
2020_16,19
2020_17,7
2020_18,14
2020_19,13
2020_20,19
2020_21,21
2020_22,20
2020_23,19
2020_24,13
2020_25,12
2020_26,12
2020_27,17
2020_28,26
2020_29,14
2020_30,22
2020_31,13
2020_32,16
2020_33,29
2020_34,20
2020_35,26
2020_36,19
2020_37,10
2020_38,18
2020_39,25
2020_40,24
2020_41,21
2020_42,27
2020_43,17
2020_44,25
2020_45,24
2020_46,28
2020_47,26
2020_48,25
2020_49,22
2020_50,31
2020_51,27
2020_52,6
2021_00,15
2021_01,32
2021_02,38
2021_03,22
2021_04,23
2021_05,34
2021_06,24
2021_07,23
2021_08,25
2021_09,34
2021_10,37
2021_11,33
2021_12,28
2021_13,21
2021_14,25
2021_15,38
2021_16,26
2021_17,34
2021_18,28
2021_19,26
2021_20,29
2021_21,26
2021_22,37
2021_23,33
2021_24,28
2021_25,45
2021_26,33
2021_27,39
2021_28,23
2021_29,30
2021_30,32
2021_31,30
2021_32,36
2021_33,37
2021_34,49
2021_35,52
2021_36,57
2021_37,44
2021_38,48
2021_39,34
2021_40,45
2021_41,43
2021_42,45
2021_43,38
2021_44,33
2021_45,42
2021_46,37
2021_47,52
2021_48,42
2021_49,44
2021_50,50
2021_51,45
2021_52,11
2022_00,38
2022_01,45
2022_02,45
2022_03,47
2022_04,48
2022_05,43
2022_06,50
2022_07,45
2022_08,48
2022_09,57
2022_10,48
2022_11,58
2022_12,66
2022_13,43
2022_14,55
2022_15,55
2022_16,51
2022_17,52
2022_18,50
2022_19,53
2022_20,60
2022_21,56
2022_22,58
2022_23,58
2022_24,52
2022_25,60
2022_26,52
2022_27,57
2022_28,58
2022_29,65
2022_30,56
2022_31,67
2022_32,64
2022_33,62
2022_34,68
2022_35,52
2022_36,53
2022_37,57
2022_38,67
2022_39,49
2022_40,63
2022_41,58
2022_42,55
2022_43,84
2022_44,54
2022_45,75
2022_46,67
2022_47,68
2022_48,52
2022_49,57
2022_50,64
2022_51,68
2022_52,21
2023_00,52
2023_01,78
2023_02,69
2023_03,75
2023_04,67
2023_05,64
2023_06,66
2023_07,66
2023_08,71
2023_09,69
2023_10,76
2023_11,65
2023_12,78
2023_13,71
2023_14,80
2023_15,77
2023_16,71
2023_17,71
2023_18,54
2023_19,89
2023_20,56
2023_21,69
2023_22,93
2023_23,75
2023_24,84
2023_25,61
2023_26,70
2023_27,78
2023_28,81
2023_29,87
2023_30,81
2023_31,81
2023_32,68
2023_33,96
2023_34,94
2023_35,89
2023_36,79
2023_37,82
2023_38,77
2023_39,89
2023_40,86
2023_41,92
2023_42,87
2023_43,85
2023_44,120
2023_45,86
2023_46,94
2023_47,99
2023_48,91
2023_49,36
