year_week,count
2019_28,1
2019_30,1
2019_31,1
2019_32,1
2019_33,4
2019_34,7
2019_35,5
2019_36,5
2019_37,4
2019_38,6
2019_39,11
2019_40,13
2019_41,9
2019_42,7
2019_43,14
2019_44,13
2019_45,13
2019_46,9
2019_47,17
2019_48,18
2019_49,11
2019_50,15
2019_51,20
2019_52,3
2020_00,20
2020_01,21
2020_02,27
2020_03,17
2020_04,26
2020_05,23
2020_06,26
2020_07,31
2020_08,37
2020_09,19
2020_10,34
2020_11,24
2020_12,29
2020_13,41
2020_14,38
2020_15,37
2020_16,29
2020_17,35
2020_18,33
2020_19,23
2020_20,30
2020_21,39
2020_22,40
2020_23,36
2020_24,41
2020_25,24
2020_26,42
2020_27,44
2020_28,41
2020_29,40
2020_30,56
2020_31,46
2020_32,47
2020_33,30
2020_34,45
2020_35,53
2020_36,45
2020_37,58
2020_38,45
2020_39,37
2020_40,51
2020_41,49
2020_42,43
2020_43,57
2020_44,42
2020_45,61
2020_46,53
2020_47,56
2020_48,64
2020_49,59
2020_50,76
2020_51,54
2020_52,20
2021_00,83
2021_01,61
2021_02,67
2021_03,61
2021_04,66
2021_05,71
2021_06,78
2021_07,61
2021_08,85
2021_09,90
2021_10,66
2021_11,95
2021_12,60
2021_13,66
2021_14,86
2021_15,86
2021_16,75
2021_17,78
2021_18,75
2021_19,78
2021_20,79
2021_21,59
2021_22,92
2021_23,70
2021_24,80
2021_25,81
2021_26,72
2021_27,99
2021_28,77
2021_29,71
2021_30,90
2021_31,104
2021_32,85
2021_33,78
2021_34,108
2021_35,89
2021_36,107
2021_37,92
2021_38,105
2021_39,107
2021_40,95
2021_41,100
2021_42,77
2021_43,102
2021_44,90
2021_45,106
2021_46,93
2021_47,101
2021_48,113
2021_49,114
2021_50,108
2021_51,117
2021_52,24
2022_00,106
2022_01,99
2022_02,112
2022_03,110
2022_04,103
2022_05,115
2022_06,114
2022_07,118
2022_08,102
2022_09,110
2022_10,97
2022_11,109
2022_12,125
2022_13,118
2022_14,121
2022_15,125
2022_16,117
2022_17,116
2022_18,110
2022_19,119
2022_20,139
2022_21,117
2022_22,119
2022_23,122
2022_24,132
2022_25,130
2022_26,111
2022_27,129
2022_28,126
2022_29,139
2022_30,143
2022_31,141
2022_32,150
2022_33,127
2022_34,136
2022_35,142
2022_36,119
2022_37,148
2022_38,136
2022_39,129
2022_40,142
2022_41,146
2022_42,151
2022_43,147
2022_44,125
2022_45,136
2022_46,145
2022_47,136
2022_48,119
2022_49,153
2022_50,135
2022_51,149
2022_52,60
2023_00,111
2023_01,152
2023_02,152
2023_03,157
2023_04,149
2023_05,159
2023_06,139
2023_07,161
2023_08,175
2023_09,153
2023_10,159
2023_11,172
2023_12,168
2023_13,156
2023_14,163
2023_15,176
2023_16,152
2023_17,149
2023_18,141
2023_19,160
2023_20,176
2023_21,182
2023_22,165
2023_23,167
2023_24,179
2023_25,172
2023_26,153
2023_27,180
2023_28,171
2023_29,182
2023_30,178
2023_31,161
2023_32,172
2023_33,201
2023_34,172
2023_35,195
2023_36,177
2023_37,195
2023_38,207
2023_39,205
2023_40,188
2023_41,198
2023_42,172
2023_43,201
2023_44,193
2023_45,189
2023_46,226
2023_47,218
2023_48,202
2023_49,90
