year_week,count
2019_34,1
2019_35,1
2019_36,3
2019_37,3
2019_38,3
2019_39,2
2019_40,2
2019_41,6
2019_42,7
2019_43,4
2019_44,1
2019_45,4
2019_46,3
2019_47,5
2019_48,7
2019_49,8
2019_50,7
2019_51,9
2019_52,4
2020_00,6
2020_01,12
2020_02,4
2020_03,6
2020_04,8
2020_05,10
2020_06,2
2020_07,13
2020_08,12
2020_09,6
2020_10,11
2020_11,12
2020_12,12
2020_13,8
2020_14,12
2020_15,9
2020_16,10
2020_17,15
2020_18,14
2020_19,13
2020_20,15
2020_21,11
2020_22,13
2020_23,15
2020_24,14
2020_25,12
2020_26,13
2020_27,13
2020_28,13
2020_29,18
2020_30,13
2020_31,16
2020_32,22
2020_33,25
2020_34,14
2020_35,23
2020_36,22
2020_37,16
2020_38,16
2020_39,20
2020_40,27
2020_41,21
2020_42,25
2020_43,17
2020_44,16
2020_45,16
2020_46,25
2020_47,28
2020_48,18
2020_49,24
2020_50,20
2020_51,24
2020_52,4
2021_00,20
2021_01,31
2021_02,23
2021_03,22
2021_04,23
2021_05,20
2021_06,16
2021_07,25
2021_08,23
2021_09,21
2021_10,28
2021_11,28
2021_12,27
2021_13,25
2021_14,30
2021_15,24
2021_16,17
2021_17,24
2021_18,26
2021_19,39
2021_20,29
2021_21,36
2021_22,26
2021_23,35
2021_24,24
2021_25,27
2021_26,29
2021_27,41
2021_28,22
2021_29,30
2021_30,36
2021_31,33
2021_32,36
2021_33,36
2021_34,27
2021_35,28
2021_36,31
2021_37,40
2021_38,34
2021_39,35
2021_40,34
2021_41,39
2021_42,27
2021_43,29
2021_44,33
2021_45,34
2021_46,33
2021_47,40
2021_48,41
2021_49,34
2021_50,35
2021_51,52
2021_52,7
2022_00,28
2022_01,36
2022_02,56
2022_03,38
2022_04,34
2022_05,39
2022_06,35
2022_07,36
2022_08,39
2022_09,26
2022_10,30
2022_11,38
2022_12,44
2022_13,47
2022_14,39
2022_15,39
2022_16,45
2022_17,53
2022_18,45
2022_19,38
2022_20,44
2022_21,52
2022_22,40
2022_23,39
2022_24,37
2022_25,53
2022_26,61
2022_27,45
2022_28,44
2022_29,40
2022_30,53
2022_31,38
2022_32,73
2022_33,57
2022_34,49
2022_35,50
2022_36,58
2022_37,45
2022_38,46
2022_39,45
2022_40,56
2022_41,56
2022_42,48
2022_43,41
2022_44,44
2022_45,40
2022_46,45
2022_47,50
2022_48,48
2022_49,35
2022_50,56
2022_51,56
2022_52,15
2023_00,37
2023_01,49
2023_02,52
2023_03,48
2023_04,55
2023_05,57
2023_06,56
2023_07,56
2023_08,62
2023_09,64
2023_10,70
2023_11,58
2023_12,62
2023_13,60
2023_14,63
2023_15,40
2023_16,51
2023_17,51
2023_18,65
2023_19,63
2023_20,71
2023_21,62
2023_22,68
2023_23,68
2023_24,51
2023_25,70
2023_26,88
2023_27,65
2023_28,69
2023_29,79
2023_30,77
2023_31,67
2023_32,67
2023_33,68
2023_34,77
2023_35,66
2023_36,62
2023_37,73
2023_38,56
2023_39,79
2023_40,74
2023_41,74
2023_42,74
2023_43,76
2023_44,78
2023_45,58
2023_46,65
2023_47,75
2023_48,78
2023_49,27
