year_week,count
2019_30,1
2019_31,1
2019_39,2
2019_40,1
2019_46,1
2019_47,3
2019_48,1
2019_49,3
2019_52,1
2020_01,2
2020_02,1
2020_03,3
2020_04,1
2020_05,2
2020_06,2
2020_07,5
2020_08,3
2020_09,3
2020_10,1
2020_11,1
2020_12,2
2020_13,2
2020_14,2
2020_15,2
2020_16,1
2020_17,3
2020_18,1
2020_19,1
2020_20,5
2020_21,5
2020_22,3
2020_23,3
2020_24,4
2020_26,3
2020_27,1
2020_28,2
2020_30,3
2020_31,2
2020_32,5
2020_33,3
2020_34,3
2020_35,4
2020_36,4
2020_38,2
2020_39,4
2020_40,6
2020_41,2
2020_42,4
2020_43,2
2020_44,5
2020_45,4
2020_46,1
2020_47,4
2020_48,7
2020_49,4
2020_50,4
2020_51,3
2020_52,3
2021_00,4
2021_01,5
2021_02,4
2021_03,3
2021_04,7
2021_05,1
2021_06,3
2021_07,3
2021_08,2
2021_09,5
2021_10,4
2021_11,5
2021_12,4
2021_13,3
2021_14,2
2021_15,2
2021_16,3
2021_17,7
2021_18,4
2021_19,4
2021_20,5
2021_21,2
2021_22,1
2021_23,5
2021_24,5
2021_25,3
2021_26,4
2021_27,6
2021_28,4
2021_29,2
2021_30,7
2021_31,7
2021_32,6
2021_33,6
2021_34,10
2021_35,7
2021_36,10
2021_37,11
2021_38,5
2021_39,2
2021_40,4
2021_41,6
2021_42,6
2021_43,7
2021_44,6
2021_45,10
2021_46,9
2021_47,10
2021_48,9
2021_49,5
2021_50,10
2021_51,2
2021_52,1
2022_00,6
2022_01,5
2022_02,8
2022_03,7
2022_04,6
2022_05,8
2022_06,6
2022_07,7
2022_08,13
2022_09,10
2022_10,10
2022_11,3
2022_12,5
2022_13,6
2022_14,9
2022_15,9
2022_16,7
2022_17,9
2022_18,5
2022_19,8
2022_20,11
2022_21,4
2022_22,7
2022_23,12
2022_24,13
2022_25,14
2022_26,14
2022_27,11
2022_28,7
2022_29,15
2022_30,9
2022_31,11
2022_32,5
2022_33,11
2022_34,6
2022_35,9
2022_36,6
2022_37,11
2022_38,8
2022_39,9
2022_40,12
2022_41,12
2022_42,7
2022_43,6
2022_44,10
2022_45,12
2022_46,13
2022_47,14
2022_48,12
2022_49,7
2022_50,6
2022_51,7
2022_52,3
2023_00,6
2023_01,14
2023_02,14
2023_03,10
2023_04,11
2023_05,12
2023_06,4
2023_07,13
2023_08,5
2023_09,8
2023_10,14
2023_11,5
2023_12,8
2023_13,11
2023_14,9
2023_15,14
2023_16,12
2023_17,11
2023_18,7
2023_19,12
2023_20,15
2023_21,10
2023_22,14
2023_23,13
2023_24,9
2023_25,12
2023_26,12
2023_27,15
2023_28,14
2023_29,9
2023_30,9
2023_31,9
2023_32,6
2023_33,9
2023_34,10
2023_35,11
2023_36,10
2023_37,11
2023_38,9
2023_39,13
2023_40,10
2023_41,15
2023_42,9
2023_43,12
2023_44,13
2023_45,10
2023_46,15
2023_47,17
2023_48,8
2023_49,5
