year_week,count
2019_31,1
2019_36,2
2019_38,1
2019_39,1
2019_40,1
2019_41,1
2019_43,2
2019_46,1
2019_47,1
2019_48,2
2019_49,1
2019_50,2
2020_00,3
2020_01,3
2020_02,3
2020_04,1
2020_05,1
2020_06,3
2020_07,2
2020_08,2
2020_09,2
2020_10,1
2020_12,2
2020_14,1
2020_15,4
2020_16,3
2020_18,2
2020_19,1
2020_20,1
2020_21,2
2020_22,1
2020_23,2
2020_24,1
2020_25,2
2020_26,6
2020_27,1
2020_28,1
2020_29,2
2020_30,1
2020_31,2
2020_32,1
2020_33,2
2020_34,2
2020_35,6
2020_37,2
2020_38,2
2020_39,2
2020_41,1
2020_42,4
2020_43,3
2020_45,4
2020_46,4
2020_47,4
2020_48,2
2020_49,3
2020_50,2
2020_51,5
2021_00,2
2021_01,4
2021_02,4
2021_03,1
2021_04,2
2021_05,4
2021_06,2
2021_07,5
2021_08,1
2021_09,3
2021_10,5
2021_11,1
2021_12,1
2021_13,5
2021_14,4
2021_15,5
2021_16,3
2021_17,1
2021_18,6
2021_19,6
2021_20,2
2021_21,2
2021_22,2
2021_23,4
2021_24,5
2021_25,5
2021_26,3
2021_27,5
2021_28,6
2021_29,1
2021_30,4
2021_31,6
2021_32,4
2021_33,3
2021_34,2
2021_35,2
2021_36,6
2021_37,2
2021_38,5
2021_39,5
2021_40,4
2021_41,5
2021_42,3
2021_43,2
2021_44,4
2021_45,4
2021_46,5
2021_47,3
2021_48,4
2021_49,8
2021_50,4
2021_51,11
2021_52,2
2022_00,1
2022_01,6
2022_02,7
2022_03,6
2022_04,4
2022_05,4
2022_06,4
2022_07,4
2022_08,7
2022_09,2
2022_10,7
2022_11,7
2022_12,8
2022_13,9
2022_14,8
2022_15,8
2022_16,4
2022_17,4
2022_18,4
2022_19,8
2022_20,9
2022_21,8
2022_22,6
2022_23,2
2022_24,6
2022_25,5
2022_26,5
2022_27,5
2022_28,5
2022_29,4
2022_30,9
2022_31,5
2022_32,7
2022_33,7
2022_34,10
2022_35,4
2022_36,10
2022_37,6
2022_38,5
2022_39,8
2022_40,6
2022_41,5
2022_42,5
2022_43,9
2022_44,6
2022_45,7
2022_46,5
2022_47,9
2022_48,6
2022_49,10
2022_50,5
2022_51,8
2022_52,1
2023_00,6
2023_01,5
2023_02,3
2023_03,4
2023_04,5
2023_05,7
2023_06,9
2023_07,7
2023_08,8
2023_09,18
2023_10,9
2023_11,6
2023_12,5
2023_13,2
2023_14,6
2023_15,10
2023_16,13
2023_17,5
2023_18,4
2023_19,10
2023_20,10
2023_21,4
2023_22,9
2023_23,1
2023_24,7
2023_25,3
2023_26,5
2023_27,5
2023_28,8
2023_29,7
2023_30,9
2023_31,9
2023_32,6
2023_33,9
2023_34,9
2023_35,4
2023_36,5
2023_37,17
2023_38,11
2023_39,10
2023_40,12
2023_41,6
2023_42,13
2023_43,10
2023_44,7
2023_45,8
2023_46,10
2023_47,9
2023_48,8
2023_49,4
