year_week,count
2019_30,1
2019_33,1
2019_34,2
2019_35,2
2019_36,2
2019_38,1
2019_39,1
2019_40,3
2019_41,5
2019_42,2
2019_43,4
2019_44,2
2019_45,6
2019_46,3
2019_47,6
2019_48,1
2019_49,5
2019_50,5
2019_51,5
2020_00,6
2020_01,4
2020_02,3
2020_03,11
2020_04,6
2020_05,11
2020_06,14
2020_07,11
2020_08,13
2020_09,8
2020_10,10
2020_11,14
2020_12,6
2020_13,14
2020_14,11
2020_15,17
2020_16,14
2020_17,17
2020_18,10
2020_19,10
2020_20,14
2020_21,9
2020_22,18
2020_23,14
2020_24,12
2020_25,12
2020_26,16
2020_27,22
2020_28,13
2020_29,13
2020_30,14
2020_31,13
2020_32,15
2020_33,8
2020_34,14
2020_35,12
2020_36,11
2020_37,14
2020_38,9
2020_39,13
2020_40,14
2020_41,17
2020_42,15
2020_43,16
2020_44,23
2020_45,19
2020_46,20
2020_47,20
2020_48,20
2020_49,11
2020_50,14
2020_51,23
2020_52,7
2021_00,18
2021_01,27
2021_02,21
2021_03,19
2021_04,27
2021_05,25
2021_06,21
2021_07,28
2021_08,19
2021_09,22
2021_10,25
2021_11,25
2021_12,23
2021_13,26
2021_14,31
2021_15,24
2021_16,17
2021_17,29
2021_18,24
2021_19,25
2021_20,20
2021_21,20
2021_22,30
2021_23,31
2021_24,25
2021_25,18
2021_26,22
2021_27,33
2021_28,28
2021_29,27
2021_30,27
2021_31,26
2021_32,27
2021_33,26
2021_34,34
2021_35,34
2021_36,22
2021_37,30
2021_38,29
2021_39,33
2021_40,35
2021_41,35
2021_42,38
2021_43,28
2021_44,25
2021_45,33
2021_46,33
2021_47,21
2021_48,32
2021_49,29
2021_50,33
2021_51,38
2021_52,6
2022_00,24
2022_01,38
2022_02,37
2022_03,33
2022_04,41
2022_05,34
2022_06,35
2022_07,37
2022_08,25
2022_09,30
2022_10,35
2022_11,40
2022_12,30
2022_13,29
2022_14,37
2022_15,40
2022_16,33
2022_17,39
2022_18,45
2022_19,48
2022_20,35
2022_21,41
2022_22,38
2022_23,37
2022_24,38
2022_25,46
2022_26,29
2022_27,35
2022_28,39
2022_29,47
2022_30,42
2022_31,49
2022_32,41
2022_33,38
2022_34,38
2022_35,33
2022_36,42
2022_37,42
2022_38,43
2022_39,41
2022_40,39
2022_41,48
2022_42,33
2022_43,42
2022_44,53
2022_45,35
2022_46,60
2022_47,60
2022_48,51
2022_49,37
2022_50,58
2022_51,55
2022_52,12
2023_00,38
2023_01,45
2023_02,52
2023_03,50
2023_04,47
2023_05,49
2023_06,59
2023_07,43
2023_08,47
2023_09,48
2023_10,51
2023_11,56
2023_12,51
2023_13,56
2023_14,51
2023_15,58
2023_16,58
2023_17,61
2023_18,55
2023_19,51
2023_20,53
2023_21,60
2023_22,60
2023_23,52
2023_24,76
2023_25,66
2023_26,62
2023_27,58
2023_28,57
2023_29,57
2023_30,48
2023_31,56
2023_32,65
2023_33,62
2023_34,59
2023_35,72
2023_36,57
2023_37,57
2023_38,56
2023_39,62
2023_40,59
2023_41,51
2023_42,54
2023_43,56
2023_44,59
2023_45,60
2023_46,74
2023_47,79
2023_48,69
2023_49,20
