year_week,count
2019_32,1
2019_34,2
2019_35,2
2019_39,1
2019_40,2
2019_41,2
2019_43,3
2019_44,2
2019_45,1
2019_46,2
2019_47,5
2019_48,2
2019_49,2
2019_50,1
2019_51,2
2020_00,3
2020_01,3
2020_02,3
2020_03,3
2020_04,3
2020_05,4
2020_06,5
2020_07,5
2020_08,2
2020_09,3
2020_10,2
2020_11,5
2020_12,1
2020_13,3
2020_14,4
2020_15,5
2020_16,6
2020_17,5
2020_18,3
2020_19,2
2020_20,3
2020_21,3
2020_22,5
2020_23,8
2020_24,8
2020_25,11
2020_26,4
2020_27,4
2020_28,6
2020_29,3
2020_30,7
2020_31,6
2020_32,5
2020_33,4
2020_34,3
2020_35,6
2020_36,1
2020_37,2
2020_38,4
2020_39,4
2020_40,6
2020_41,4
2020_42,4
2020_43,6
2020_44,5
2020_45,10
2020_46,5
2020_47,8
2020_48,1
2020_49,7
2020_50,8
2020_51,6
2020_52,1
2021_00,7
2021_01,6
2021_02,7
2021_03,3
2021_04,9
2021_05,6
2021_06,8
2021_07,6
2021_08,6
2021_09,7
2021_10,4
2021_11,7
2021_12,6
2021_13,6
2021_14,5
2021_15,9
2021_16,14
2021_17,2
2021_18,7
2021_19,6
2021_20,6
2021_21,5
2021_22,9
2021_23,11
2021_24,8
2021_25,7
2021_26,10
2021_27,10
2021_28,8
2021_29,7
2021_30,9
2021_31,7
2021_32,10
2021_33,15
2021_34,8
2021_35,17
2021_36,11
2021_37,11
2021_38,11
2021_39,13
2021_40,6
2021_41,14
2021_42,4
2021_43,9
2021_44,17
2021_45,12
2021_46,11
2021_47,9
2021_48,14
2021_49,16
2021_50,8
2021_51,10
2021_52,2
2022_00,6
2022_01,14
2022_02,12
2022_03,12
2022_04,12
2022_05,11
2022_06,12
2022_07,12
2022_08,18
2022_09,14
2022_10,14
2022_11,14
2022_12,27
2022_13,13
2022_14,19
2022_15,16
2022_16,10
2022_17,12
2022_18,9
2022_19,13
2022_20,21
2022_21,13
2022_22,12
2022_23,16
2022_24,20
2022_25,11
2022_26,12
2022_27,23
2022_28,18
2022_29,7
2022_30,17
2022_31,16
2022_32,14
2022_33,13
2022_34,18
2022_35,14
2022_36,20
2022_37,17
2022_38,6
2022_39,24
2022_40,16
2022_41,19
2022_42,17
2022_43,11
2022_44,22
2022_45,24
2022_46,11
2022_47,29
2022_48,15
2022_49,14
2022_50,24
2022_51,22
2022_52,8
2023_00,19
2023_01,19
2023_02,20
2023_03,14
2023_04,21
2023_05,10
2023_06,21
2023_07,16
2023_08,28
2023_09,16
2023_10,21
2023_11,14
2023_12,12
2023_13,20
2023_14,20
2023_15,18
2023_16,14
2023_17,12
2023_18,16
2023_19,16
2023_20,21
2023_21,19
2023_22,14
2023_23,17
2023_24,27
2023_25,20
2023_26,20
2023_27,19
2023_28,18
2023_29,16
2023_30,18
2023_31,19
2023_32,20
2023_33,21
2023_34,18
2023_35,17
2023_36,28
2023_37,22
2023_38,20
2023_39,22
2023_40,28
2023_41,17
2023_42,28
2023_43,19
2023_44,18
2023_45,24
2023_46,22
2023_47,21
2023_48,22
2023_49,6
