year_week,count
2019_29,1
2019_32,1
2019_33,1
2019_34,1
2019_35,2
2019_36,4
2019_37,2
2019_38,3
2019_39,10
2019_40,3
2019_41,6
2019_42,5
2019_43,2
2019_44,6
2019_45,6
2019_46,8
2019_47,3
2019_48,4
2019_49,8
2019_50,10
2019_51,8
2020_00,9
2020_01,5
2020_02,10
2020_03,11
2020_04,7
2020_05,12
2020_06,12
2020_07,11
2020_08,7
2020_09,8
2020_10,12
2020_11,17
2020_12,11
2020_13,12
2020_14,8
2020_15,14
2020_16,11
2020_17,15
2020_18,18
2020_19,15
2020_20,10
2020_21,15
2020_22,15
2020_23,10
2020_24,17
2020_25,16
2020_26,17
2020_27,9
2020_28,27
2020_29,18
2020_30,18
2020_31,20
2020_32,15
2020_33,14
2020_34,17
2020_35,18
2020_36,21
2020_37,25
2020_38,21
2020_39,18
2020_40,16
2020_41,20
2020_42,23
2020_43,23
2020_44,26
2020_45,16
2020_46,29
2020_47,16
2020_48,31
2020_49,25
2020_50,19
2020_51,22
2020_52,3
2021_00,12
2021_01,28
2021_02,26
2021_03,18
2021_04,42
2021_05,24
2021_06,25
2021_07,22
2021_08,27
2021_09,33
2021_10,35
2021_11,45
2021_12,24
2021_13,27
2021_14,29
2021_15,28
2021_16,29
2021_17,27
2021_18,24
2021_19,37
2021_20,33
2021_21,27
2021_22,29
2021_23,34
2021_24,26
2021_25,30
2021_26,51
2021_27,37
2021_28,36
2021_29,34
2021_30,33
2021_31,34
2021_32,35
2021_33,30
2021_34,34
2021_35,40
2021_36,35
2021_37,23
2021_38,31
2021_39,44
2021_40,36
2021_41,34
2021_42,43
2021_43,33
2021_44,37
2021_45,26
2021_46,46
2021_47,43
2021_48,42
2021_49,45
2021_50,36
2021_51,44
2021_52,9
2022_00,27
2022_01,35
2022_02,37
2022_03,50
2022_04,25
2022_05,42
2022_06,41
2022_07,35
2022_08,48
2022_09,35
2022_10,49
2022_11,46
2022_12,42
2022_13,51
2022_14,50
2022_15,51
2022_16,33
2022_17,51
2022_18,43
2022_19,59
2022_20,39
2022_21,32
2022_22,43
2022_23,40
2022_24,56
2022_25,55
2022_26,52
2022_27,47
2022_28,50
2022_29,45
2022_30,59
2022_31,57
2022_32,40
2022_33,49
2022_34,48
2022_35,46
2022_36,54
2022_37,61
2022_38,55
2022_39,53
2022_40,47
2022_41,48
2022_42,34
2022_43,56
2022_44,55
2022_45,52
2022_46,47
2022_47,66
2022_48,60
2022_49,61
2022_50,47
2022_51,59
2022_52,20
2023_00,35
2023_01,50
2023_02,64
2023_03,54
2023_04,58
2023_05,71
2023_06,60
2023_07,63
2023_08,60
2023_09,48
2023_10,73
2023_11,63
2023_12,68
2023_13,57
2023_14,55
2023_15,56
2023_16,68
2023_17,65
2023_18,61
2023_19,70
2023_20,71
2023_21,69
2023_22,67
2023_23,65
2023_24,51
2023_25,70
2023_26,69
2023_27,73
2023_28,67
2023_29,75
2023_30,49
2023_31,63
2023_32,70
2023_33,61
2023_34,66
2023_35,70
2023_36,85
2023_37,79
2023_38,64
2023_39,65
2023_40,86
2023_41,66
2023_42,73
2023_43,75
2023_44,79
2023_45,70
2023_46,61
2023_47,69
2023_48,88
2023_49,40
