year_week,count
2019_31,1
2019_35,2
2019_36,2
2019_37,4
2019_38,2
2019_39,4
2019_40,3
2019_41,2
2019_42,4
2019_43,2
2019_44,4
2019_45,5
2019_46,3
2019_47,6
2019_48,7
2019_49,7
2019_50,4
2019_51,6
2019_52,1
2020_00,4
2020_01,8
2020_02,7
2020_03,13
2020_04,7
2020_05,13
2020_06,10
2020_07,7
2020_08,12
2020_09,8
2020_10,9
2020_11,9
2020_12,10
2020_13,12
2020_14,15
2020_15,11
2020_16,10
2020_17,10
2020_18,12
2020_19,10
2020_20,15
2020_21,14
2020_22,12
2020_23,7
2020_24,14
2020_25,8
2020_26,21
2020_27,20
2020_28,16
2020_29,11
2020_30,8
2020_31,10
2020_32,20
2020_33,14
2020_34,8
2020_35,13
2020_36,19
2020_37,20
2020_38,15
2020_39,15
2020_40,15
2020_41,11
2020_42,16
2020_43,18
2020_44,27
2020_45,15
2020_46,19
2020_47,16
2020_48,15
2020_49,25
2020_50,17
2020_51,16
2020_52,1
2021_00,14
2021_01,13
2021_02,15
2021_03,19
2021_04,29
2021_05,17
2021_06,21
2021_07,29
2021_08,30
2021_09,26
2021_10,30
2021_11,24
2021_12,35
2021_13,13
2021_14,30
2021_15,19
2021_16,22
2021_17,19
2021_18,26
2021_19,27
2021_20,24
2021_21,16
2021_22,30
2021_23,25
2021_24,23
2021_25,42
2021_26,28
2021_27,28
2021_28,26
2021_29,25
2021_30,42
2021_31,22
2021_32,22
2021_33,22
2021_34,25
2021_35,26
2021_36,36
2021_37,36
2021_38,25
2021_39,38
2021_40,30
2021_41,30
2021_42,35
2021_43,48
2021_44,27
2021_45,23
2021_46,34
2021_47,30
2021_48,25
2021_49,48
2021_50,32
2021_51,44
2021_52,5
2022_00,25
2022_01,34
2022_02,27
2022_03,36
2022_04,38
2022_05,36
2022_06,30
2022_07,32
2022_08,35
2022_09,25
2022_10,42
2022_11,41
2022_12,43
2022_13,36
2022_14,36
2022_15,26
2022_16,30
2022_17,29
2022_18,40
2022_19,32
2022_20,36
2022_21,34
2022_22,42
2022_23,41
2022_24,33
2022_25,27
2022_26,47
2022_27,49
2022_28,47
2022_29,35
2022_30,47
2022_31,30
2022_32,38
2022_33,39
2022_34,34
2022_35,41
2022_36,49
2022_37,42
2022_38,45
2022_39,42
2022_40,39
2022_41,40
2022_42,50
2022_43,51
2022_44,44
2022_45,50
2022_46,50
2022_47,45
2022_48,53
2022_49,60
2022_50,53
2022_51,46
2022_52,19
2023_00,47
2023_01,55
2023_02,52
2023_03,32
2023_04,46
2023_05,47
2023_06,53
2023_07,49
2023_08,43
2023_09,55
2023_10,50
2023_11,45
2023_12,43
2023_13,46
2023_14,56
2023_15,43
2023_16,53
2023_17,66
2023_18,61
2023_19,51
2023_20,57
2023_21,42
2023_22,52
2023_23,56
2023_24,49
2023_25,83
2023_26,46
2023_27,37
2023_28,54
2023_29,58
2023_30,58
2023_31,68
2023_32,61
2023_33,58
2023_34,57
2023_35,54
2023_36,56
2023_37,62
2023_38,65
2023_39,60
2023_40,51
2023_41,71
2023_42,59
2023_43,64
2023_44,51
2023_45,55
2023_46,67
2023_47,58
2023_48,65
2023_49,25
