year_week,count
2019_28,1
2019_29,2
2019_31,1
2019_37,1
2019_38,2
2019_39,1
2019_41,3
2019_43,2
2019_44,1
2019_45,1
2019_46,2
2019_47,1
2019_49,4
2019_50,2
2019_51,6
2020_00,3
2020_01,3
2020_02,4
2020_03,3
2020_04,4
2020_05,4
2020_06,3
2020_07,6
2020_08,3
2020_09,5
2020_10,1
2020_11,5
2020_12,6
2020_13,11
2020_14,2
2020_15,3
2020_16,2
2020_17,5
2020_18,3
2020_19,6
2020_20,3
2020_21,8
2020_22,6
2020_23,6
2020_24,5
2020_25,7
2020_26,4
2020_27,7
2020_28,3
2020_29,6
2020_30,5
2020_31,4
2020_32,5
2020_33,6
2020_34,5
2020_35,7
2020_36,3
2020_37,2
2020_38,7
2020_39,4
2020_40,6
2020_41,6
2020_42,8
2020_43,5
2020_44,8
2020_45,13
2020_46,3
2020_47,9
2020_48,9
2020_49,6
2020_50,9
2020_51,7
2020_52,1
2021_00,8
2021_01,1
2021_02,8
2021_03,8
2021_04,7
2021_05,4
2021_06,15
2021_07,4
2021_08,7
2021_09,10
2021_10,7
2021_11,8
2021_12,5
2021_13,11
2021_14,11
2021_15,17
2021_16,15
2021_17,5
2021_18,11
2021_19,7
2021_20,12
2021_21,15
2021_22,14
2021_23,9
2021_24,18
2021_25,6
2021_26,14
2021_27,11
2021_28,9
2021_29,12
2021_30,10
2021_31,9
2021_32,14
2021_33,11
2021_34,10
2021_35,20
2021_36,17
2021_37,13
2021_38,14
2021_39,11
2021_40,15
2021_41,9
2021_42,9
2021_43,16
2021_44,18
2021_45,15
2021_46,9
2021_47,15
2021_48,15
2021_49,9
2021_50,11
2021_51,14
2021_52,3
2022_00,18
2022_01,18
2022_02,13
2022_03,12
2022_04,13
2022_05,10
2022_06,16
2022_07,14
2022_08,18
2022_09,11
2022_10,23
2022_11,7
2022_12,16
2022_13,16
2022_14,18
2022_15,12
2022_16,11
2022_17,14
2022_18,17
2022_19,19
2022_20,15
2022_21,21
2022_22,15
2022_23,24
2022_24,19
2022_25,14
2022_26,17
2022_27,27
2022_28,16
2022_29,19
2022_30,25
2022_31,28
2022_32,22
2022_33,14
2022_34,23
2022_35,23
2022_36,19
2022_37,27
2022_38,18
2022_39,22
2022_40,22
2022_41,17
2022_42,14
2022_43,19
2022_44,18
2022_45,14
2022_46,23
2022_47,22
2022_48,27
2022_49,23
2022_50,15
2022_51,16
2022_52,10
2023_00,19
2023_01,17
2023_02,18
2023_03,24
2023_04,16
2023_05,22
2023_06,18
2023_07,22
2023_08,28
2023_09,26
2023_10,15
2023_11,22
2023_12,26
2023_13,23
2023_14,26
2023_15,23
2023_16,15
2023_17,15
2023_18,18
2023_19,23
2023_20,20
2023_21,25
2023_22,31
2023_23,31
2023_24,24
2023_25,27
2023_26,29
2023_27,22
2023_28,13
2023_29,28
2023_30,22
2023_31,25
2023_32,23
2023_33,20
2023_34,34
2023_35,20
2023_36,24
2023_37,19
2023_38,22
2023_39,27
2023_40,22
2023_41,27
2023_42,35
2023_43,19
2023_44,19
2023_45,25
2023_46,33
2023_47,34
2023_48,29
2023_49,13
