year_week,count
2019_29,1
2019_30,2
2019_31,2
2019_33,1
2019_34,6
2019_35,4
2019_36,2
2019_37,6
2019_38,2
2019_39,5
2019_40,14
2019_41,6
2019_42,3
2019_43,4
2019_44,2
2019_45,16
2019_46,11
2019_47,7
2019_48,14
2019_49,8
2019_50,14
2019_51,12
2019_52,2
2020_00,10
2020_01,7
2020_02,12
2020_03,10
2020_04,13
2020_05,13
2020_06,17
2020_07,14
2020_08,12
2020_09,12
2020_10,17
2020_11,6
2020_12,19
2020_13,16
2020_14,13
2020_15,10
2020_16,17
2020_17,16
2020_18,17
2020_19,19
2020_20,32
2020_21,20
2020_22,15
2020_23,21
2020_24,16
2020_25,14
2020_26,14
2020_27,20
2020_28,25
2020_29,23
2020_30,24
2020_31,29
2020_32,16
2020_33,25
2020_34,22
2020_35,28
2020_36,21
2020_37,18
2020_38,21
2020_39,23
2020_40,19
2020_41,27
2020_42,27
2020_43,36
2020_44,32
2020_45,27
2020_46,24
2020_47,27
2020_48,30
2020_49,23
2020_50,22
2020_51,33
2020_52,8
2021_00,23
2021_01,28
2021_02,21
2021_03,23
2021_04,31
2021_05,28
2021_06,22
2021_07,22
2021_08,33
2021_09,39
2021_10,38
2021_11,41
2021_12,29
2021_13,32
2021_14,45
2021_15,43
2021_16,35
2021_17,41
2021_18,33
2021_19,33
2021_20,32
2021_21,39
2021_22,37
2021_23,34
2021_24,46
2021_25,25
2021_26,37
2021_27,38
2021_28,35
2021_29,34
2021_30,43
2021_31,47
2021_32,44
2021_33,41
2021_34,42
2021_35,52
2021_36,46
2021_37,45
2021_38,37
2021_39,37
2021_40,51
2021_41,38
2021_42,40
2021_43,43
2021_44,47
2021_45,46
2021_46,46
2021_47,43
2021_48,52
2021_49,50
2021_50,46
2021_51,55
2021_52,11
2022_00,43
2022_01,47
2022_02,44
2022_03,57
2022_04,55
2022_05,45
2022_06,48
2022_07,49
2022_08,51
2022_09,48
2022_10,48
2022_11,49
2022_12,62
2022_13,47
2022_14,42
2022_15,66
2022_16,64
2022_17,45
2022_18,70
2022_19,58
2022_20,51
2022_21,70
2022_22,76
2022_23,70
2022_24,69
2022_25,65
2022_26,55
2022_27,54
2022_28,58
2022_29,58
2022_30,64
2022_31,56
2022_32,77
2022_33,56
2022_34,73
2022_35,61
2022_36,54
2022_37,63
2022_38,73
2022_39,61
2022_40,82
2022_41,61
2022_42,75
2022_43,82
2022_44,72
2022_45,75
2022_46,73
2022_47,69
2022_48,67
2022_49,80
2022_50,87
2022_51,83
2022_52,23
2023_00,52
2023_01,83
2023_02,74
2023_03,63
2023_04,75
2023_05,64
2023_06,72
2023_07,100
2023_08,89
2023_09,89
2023_10,73
2023_11,72
2023_12,75
2023_13,73
2023_14,75
2023_15,77
2023_16,82
2023_17,95
2023_18,74
2023_19,97
2023_20,74
2023_21,88
2023_22,71
2023_23,85
2023_24,67
2023_25,86
2023_26,88
2023_27,90
2023_28,81
2023_29,79
2023_30,83
2023_31,108
2023_32,86
2023_33,95
2023_34,95
2023_35,98
2023_36,83
2023_37,84
2023_38,84
2023_39,96
2023_40,94
2023_41,97
2023_42,81
2023_43,97
2023_44,80
2023_45,79
2023_46,79
2023_47,95
2023_48,82
2023_49,44
