year_week,count
2019_37,1
2019_38,1
2019_40,1
2019_41,1
2019_43,1
2019_44,1
2019_45,1
2019_47,1
2019_48,1
2019_49,1
2019_50,2
2019_51,1
2019_52,2
2020_00,2
2020_01,3
2020_02,1
2020_03,2
2020_05,1
2020_06,4
2020_08,3
2020_09,2
2020_11,1
2020_12,4
2020_13,2
2020_14,3
2020_15,5
2020_16,4
2020_17,1
2020_18,3
2020_19,3
2020_22,1
2020_23,2
2020_24,4
2020_25,1
2020_26,1
2020_27,1
2020_28,1
2020_29,3
2020_30,5
2020_31,2
2020_32,2
2020_33,3
2020_34,6
2020_36,5
2020_37,1
2020_38,3
2020_39,2
2020_40,3
2020_41,1
2020_42,5
2020_43,3
2020_44,5
2020_45,3
2020_46,1
2020_47,1
2020_48,3
2020_49,4
2020_50,4
2020_51,5
2020_52,1
2021_00,2
2021_01,6
2021_02,2
2021_03,4
2021_04,2
2021_05,4
2021_06,2
2021_07,3
2021_08,4
2021_09,3
2021_10,4
2021_11,9
2021_12,6
2021_13,2
2021_15,5
2021_16,6
2021_17,4
2021_18,5
2021_19,8
2021_20,8
2021_21,6
2021_22,6
2021_23,7
2021_24,3
2021_25,4
2021_26,10
2021_27,2
2021_28,5
2021_29,2
2021_30,8
2021_31,9
2021_32,6
2021_33,3
2021_34,7
2021_35,5
2021_36,6
2021_37,7
2021_38,4
2021_39,8
2021_40,4
2021_41,5
2021_42,6
2021_43,4
2021_44,13
2021_45,9
2021_46,7
2021_47,12
2021_48,9
2021_49,10
2021_50,7
2021_51,7
2021_52,1
2022_00,7
2022_01,13
2022_02,8
2022_03,5
2022_04,4
2022_05,7
2022_06,10
2022_07,9
2022_08,8
2022_09,7
2022_10,12
2022_11,7
2022_12,7
2022_13,8
2022_14,12
2022_15,7
2022_16,8
2022_17,7
2022_18,13
2022_19,12
2022_20,8
2022_21,10
2022_22,9
2022_23,9
2022_24,11
2022_25,8
2022_26,14
2022_27,16
2022_28,12
2022_29,7
2022_30,11
2022_31,10
2022_32,9
2022_33,11
2022_34,9
2022_35,12
2022_36,10
2022_37,7
2022_38,8
2022_39,16
2022_40,11
2022_41,7
2022_42,10
2022_43,10
2022_44,7
2022_45,10
2022_46,15
2022_47,14
2022_48,10
2022_49,5
2022_50,8
2022_51,9
2022_52,3
2023_00,5
2023_01,14
2023_02,13
2023_03,8
2023_04,9
2023_05,7
2023_06,10
2023_07,15
2023_08,8
2023_09,10
2023_10,12
2023_11,10
2023_12,7
2023_13,13
2023_14,15
2023_15,12
2023_16,5
2023_17,6
2023_18,9
2023_19,18
2023_20,10
2023_21,11
2023_22,13
2023_23,19
2023_24,6
2023_25,10
2023_26,4
2023_27,12
2023_28,11
2023_29,19
2023_30,10
2023_31,11
2023_32,15
2023_33,5
2023_34,14
2023_35,13
2023_36,9
2023_37,15
2023_38,13
2023_39,13
2023_40,10
2023_41,9
2023_42,16
2023_43,15
2023_44,9
2023_45,4
2023_46,7
2023_47,13
2023_48,8
2023_49,4
