year_week,count
2019_28,1
2019_29,2
2019_31,1
2019_32,2
2019_33,7
2019_34,4
2019_35,6
2019_36,9
2019_37,9
2019_38,9
2019_39,13
2019_40,22
2019_41,17
2019_42,9
2019_43,17
2019_44,23
2019_45,25
2019_46,27
2019_47,21
2019_48,18
2019_49,19
2019_50,29
2019_51,30
2019_52,14
2020_00,26
2020_01,34
2020_02,33
2020_03,44
2020_04,43
2020_05,43
2020_06,42
2020_07,46
2020_08,37
2020_09,53
2020_10,55
2020_11,64
2020_12,55
2020_13,44
2020_14,55
2020_15,59
2020_16,59
2020_17,37
2020_18,57
2020_19,51
2020_20,45
2020_21,55
2020_22,71
2020_23,76
2020_24,65
2020_25,59
2020_26,69
2020_27,79
2020_28,89
2020_29,85
2020_30,70
2020_31,67
2020_32,82
2020_33,74
2020_34,74
2020_35,80
2020_36,79
2020_37,83
2020_38,87
2020_39,107
2020_40,77
2020_41,91
2020_42,90
2020_43,101
2020_44,97
2020_45,81
2020_46,79
2020_47,85
2020_48,99
2020_49,98
2020_50,93
2020_51,84
2020_52,35
2021_00,90
2021_01,92
2021_02,97
2021_03,113
2021_04,130
2021_05,113
2021_06,96
2021_07,106
2021_08,125
2021_09,86
2021_10,129
2021_11,129
2021_12,108
2021_13,102
2021_14,129
2021_15,131
2021_16,100
2021_17,126
2021_18,107
2021_19,121
2021_20,127
2021_21,106
2021_22,132
2021_23,151
2021_24,124
2021_25,124
2021_26,140
2021_27,129
2021_28,123
2021_29,138
2021_30,144
2021_31,143
2021_32,151
2021_33,148
2021_34,150
2021_35,132
2021_36,136
2021_37,171
2021_38,127
2021_39,143
2021_40,151
2021_41,150
2021_42,128
2021_43,165
2021_44,157
2021_45,164
2021_46,165
2021_47,178
2021_48,163
2021_49,177
2021_50,154
2021_51,152
2021_52,37
2022_00,168
2022_01,185
2022_02,186
2022_03,183
2022_04,166
2022_05,164
2022_06,181
2022_07,178
2022_08,160
2022_09,157
2022_10,156
2022_11,198
2022_12,161
2022_13,172
2022_14,166
2022_15,177
2022_16,181
2022_17,209
2022_18,216
2022_19,187
2022_20,203
2022_21,184
2022_22,190
2022_23,167
2022_24,199
2022_25,212
2022_26,207
2022_27,182
2022_28,205
2022_29,168
2022_30,208
2022_31,189
2022_32,191
2022_33,212
2022_34,221
2022_35,220
2022_36,229
2022_37,238
2022_38,221
2022_39,227
2022_40,206
2022_41,218
2022_42,220
2022_43,232
2022_44,230
2022_45,232
2022_46,197
2022_47,241
2022_48,218
2022_49,240
2022_50,222
2022_51,217
2022_52,79
2023_00,180
2023_01,240
2023_02,264
2023_03,269
2023_04,271
2023_05,268
2023_06,278
2023_07,237
2023_08,248
2023_09,272
2023_10,252
2023_11,292
2023_12,247
2023_13,267
2023_14,237
2023_15,279
2023_16,262
2023_17,233
2023_18,265
2023_19,276
2023_20,296
2023_21,277
2023_22,308
2023_23,277
2023_24,268
2023_25,304
2023_26,313
2023_27,269
2023_28,304
2023_29,331
2023_30,298
2023_31,264
2023_32,303
2023_33,311
2023_34,279
2023_35,285
2023_36,321
2023_37,313
2023_38,313
2023_39,304
2023_40,321
2023_41,285
2023_42,329
2023_43,335
2023_44,301
2023_45,300
2023_46,338
2023_47,317
2023_48,285
2023_49,118
