year_week,count
2019_28,1
2019_31,1
2019_32,1
2019_35,1
2019_36,1
2019_37,3
2019_38,3
2019_39,5
2019_40,5
2019_41,5
2019_42,5
2019_43,2
2019_44,6
2019_45,5
2019_46,3
2019_47,8
2019_48,6
2019_49,4
2019_50,4
2019_51,11
2019_52,3
2020_00,6
2020_01,3
2020_02,6
2020_03,4
2020_04,4
2020_05,8
2020_06,8
2020_07,8
2020_08,14
2020_09,5
2020_10,11
2020_11,7
2020_12,9
2020_13,9
2020_14,7
2020_15,10
2020_16,12
2020_17,6
2020_18,17
2020_19,11
2020_20,8
2020_21,14
2020_22,11
2020_23,15
2020_24,7
2020_25,7
2020_26,12
2020_27,10
2020_28,15
2020_29,9
2020_30,10
2020_31,18
2020_32,17
2020_33,15
2020_34,15
2020_35,22
2020_36,22
2020_37,15
2020_38,18
2020_39,19
2020_40,15
2020_41,19
2020_42,21
2020_43,18
2020_44,12
2020_45,16
2020_46,16
2020_47,19
2020_48,19
2020_49,17
2020_50,16
2020_51,16
2020_52,4
2021_00,19
2021_01,15
2021_02,14
2021_03,23
2021_04,30
2021_05,16
2021_06,19
2021_07,11
2021_08,23
2021_09,20
2021_10,18
2021_11,34
2021_12,30
2021_13,28
2021_14,15
2021_15,22
2021_16,17
2021_17,27
2021_18,30
2021_19,28
2021_20,20
2021_21,25
2021_22,22
2021_23,31
2021_24,24
2021_25,25
2021_26,31
2021_27,23
2021_28,26
2021_29,29
2021_30,22
2021_31,28
2021_32,18
2021_33,25
2021_34,25
2021_35,42
2021_36,31
2021_37,28
2021_38,33
2021_39,19
2021_40,32
2021_41,25
2021_42,37
2021_43,34
2021_44,30
2021_45,40
2021_46,23
2021_47,37
2021_48,34
2021_49,33
2021_50,37
2021_51,41
2021_52,9
2022_00,23
2022_01,35
2022_02,26
2022_03,34
2022_04,26
2022_05,30
2022_06,35
2022_07,27
2022_08,41
2022_09,44
2022_10,42
2022_11,46
2022_12,47
2022_13,44
2022_14,39
2022_15,42
2022_16,35
2022_17,50
2022_18,39
2022_19,41
2022_20,46
2022_21,30
2022_22,38
2022_23,32
2022_24,37
2022_25,41
2022_26,39
2022_27,41
2022_28,48
2022_29,53
2022_30,46
2022_31,46
2022_32,46
2022_33,40
2022_34,36
2022_35,56
2022_36,49
2022_37,49
2022_38,57
2022_39,44
2022_40,44
2022_41,41
2022_42,56
2022_43,50
2022_44,43
2022_45,44
2022_46,35
2022_47,50
2022_48,45
2022_49,45
2022_50,44
2022_51,30
2022_52,10
2023_00,36
2023_01,45
2023_02,49
2023_03,61
2023_04,61
2023_05,47
2023_06,43
2023_07,48
2023_08,57
2023_09,47
2023_10,61
2023_11,59
2023_12,62
2023_13,42
2023_14,51
2023_15,40
2023_16,39
2023_17,61
2023_18,71
2023_19,46
2023_20,52
2023_21,59
2023_22,58
2023_23,62
2023_24,47
2023_25,71
2023_26,40
2023_27,52
2023_28,71
2023_29,65
2023_30,56
2023_31,58
2023_32,56
2023_33,63
2023_34,60
2023_35,53
2023_36,69
2023_37,66
2023_38,59
2023_39,58
2023_40,56
2023_41,49
2023_42,70
2023_43,74
2023_44,70
2023_45,59
2023_46,81
2023_47,80
2023_48,76
2023_49,32
